item,value,unit,date_or_year,location,basis,source_ids,evidence_label,confidence,notes
Electricity: average retail price (all customers),2204.0655,VND/kWh excl. VAT,effective 2025-05-10; still in force Jul 2026,"Vietnam (national, EVN)","Regulated tariff, MOIT Decision 1279/QD-BCT of 9 May 2025 (+4.8%)",COST-01; COST-04,VN-direct,High,"Measured (official tariff). Press in Jul 2026 still quotes 2,204 VND/kWh, so no increase found between May 2025 and Jul 2026. Re-check before publication (EVN may adjust under Decree 278/2026)."
"Electricity: manufacturing tariff >=110 kV, normal hours",1811,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff >=110 kV, off-peak",1146,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff >=110 kV, peak",3266,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff 22 to <110 kV, normal hours",1833,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff. Most mid-size plants in industrial parks connect at 22 kV.
"Electricity: manufacturing tariff 22 to <110 kV, off-peak",1190,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff 22 to <110 kV, peak",3398,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff 6 to <22 kV, normal hours",1899,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff 6 to <22 kV, off-peak",1234,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff 6 to <22 kV, peak",3508,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff <6 kV, normal hours",1987,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01; COST-03,VN-direct,High,Official tariff.
