family,claim,value,unit,organism_or_product,scale,year,doi,fulltext_read,retraction_check,source_ids,evidence_label,confidence,notes
precision_fermentation,Titer needed for cost-efficient food protein by precision fermentation,above 50,g/L,"bulk food proteins (milk, egg)",n/a (expert assertion in review),2024,10.1146/annurev-food-072023-034256,N (abstract read),none found,SCI-01,general,Medium,"Nielsen MB, Meyer AS, Arnau J. Annu Rev Food Sci Technol 15:173-187 (online 2023, issue 2024). Wording: 'cost-efficiency requirements involve production titers above 50 g/L'. Assertion, not derived from a published TEA in the abstract. Prior lead 'Nielsen et al. 2023' is essentially correct (online-first 2023)."
precision_fermentation,Same authors repeat: 'Protein titers well above 50 g/L are needed',well above 50,g/L,bovine beta-lactoglobulin in A. oryzae,Ambr 250 mL,2025,10.1177/15509087251398318,Y,none found,SCI-02,general,High,"Nielsen MB, Meyer AS, Hansen K. Industrial Biotechnology 22(2):131-140. Cites SCI-01 as source. Also states cost target USD 10/kg by 2025 and USD 1/kg by 2035 ('envisaged'). Absolute titer not disclosed (confidential); reports +79% product amount and +73% carbon yield vs centre point at pH 6.9, 36 C."
precision_fermentation,Secreted leghemoglobin titer in Pichia pastoris,3.5,g/L,"soy leghemoglobin (LBC2), K. phaffii",fed-batch bioreactor,2022,10.1016/j.biortech.2022.127884,N (closed; value via citing paper SCI-04),none found,SCI-03;SCI-04,general,Medium,Shao Y et al. Bioresource Technology 363:127884. Value confirmed as cited by Tian et al. 2024 ('secretory expression ... titer of 3.5 g/L').
precision_fermentation,Intracellular leghemoglobin titer in Kluyveromyces marxianus,7.27,g/L,"leghemoglobin A, K. marxianus","fed-batch, 72 h",2024,10.3389/fbioe.2023.1329016,Y (excerpts),none found,SCI-04,general,High,"Tian T et al. Front Bioeng Biotechnol 11:1329016 (published 2024). 80% above parent strain (4.04 g/L). Authors call it the highest intracellular LBA titer reported to that date. Intracellular, so needs cell disruption."
precision_fermentation,Leghemoglobin titer after process optimisation in K. marxianus,10.1,g/L,"leghemoglobin A, K. marxianus Tra-23",5 L bioreactor,2026,10.1002/biot.70239,Y (abstract+excerpts),none found,SCI-05,general,High,"Chen H et al. Biotechnology Journal 21(5). Up from 6.13 g/L at initial conditions (+64.7%). Current best published LBA titer found in this review. Still 5x below the 50 g/L bulk-protein benchmark, but heme proteins are used at 0.5-2% of product so the benchmark is less binding."
precision_fermentation,T. reesei food-protein host: reported titers,not verified,g/L,"beta-lactoglobulin and ovalbumin, T. reesei (VTT)",bioreactor,2023,10.1016/j.foodres.2022.112131,N (no text available),none found,SCI-06,general,Low,"Aro N et al. Food Research International 163:112131 (dated 2023, online 2022; prior lead said 'Aro 2022'). Titers could not be read (full text denied; Europe PMC fetch rate-limited). Do not quote a titer from this paper until read."
precision_fermentation,"T. reesei single heterologous protein yield (VTT, unpublished)",above 80,g/L,"unspecified heterologous protein, T. reesei",not stated,2025,10.3389/fbioe.2025.1688495,Y (excerpts),none found,SCI-07,general,Low,"Mojzita D, Aro N et al. Front Bioeng Biotechnol 13:1688495. Claim is 'VTT, unpublished data'. Same paper: brazzein 1.3 g/L in 250 mL bioreactor; cost estimate EUR 57-80/kg brazzein at 1.3 g/L."
precision_fermentation,OPENPichia chassis licence terms,royalty-free commercial manufacture; liberal end-user distribution licences; toolkit free of third-party MTAs,text,K. phaffii NCYC 2543 hoc1tr (OPENPichia),n/a,2024,10.1038/s41564-023-01574-w,Y (excerpts),"none found (1 contrasting citation, not a notice)",SCI-08,general,High,Claes K et al. Nature Microbiology 9(3):864-876. Distributed by VIB (OPENPichia.com) with NCYC. Not literally 'licence-free': users accept a liberal licence. Strain is near-identical to NRRL Y-11430; no strain consistently better; HOC1 truncation restores transformability.
precision_fermentation,EFSA opinion: soy leghemoglobin from GM K. phaffii as a food additive (colour in meat analogues),opinion issued,text,"LegH Prep, K. phaffii MXY0541",regulatory,2024,10.2903/j.efsa.2024.8822,N (abstract),none found,SCI-09,general,Medium,"EFSA FAF Panel, EFSA Journal 22(6):e8822. Safety of GM aspect assessed separately by GMO Panel (EFSA-GMO-NL-2019-162). Check final conclusion before quoting."
cultivated_seafood,ICAR-NBFGR striped catfish thymus continuous cell line 'PHT' exists,"PHT, NRFC-078; 52 passages; L-15 + 20% FBS; 28 C; 2n=60; epithelial",text,Pangasianodon hypophthalmus thymus cells,lab (flasks),2023,10.56093/ijans.v93i2.128796,N (abstract),none found,SCI-10,VN-adjacent,High,"Soni P, Pradhan PK, Sood N et al. Indian J Anim Sci 93(2). Deposited at National Repository of Fish Cell Lines, ICAR-NBFGR Lucknow. Purpose: virology, toxicology, transgenics. Not a food cell line: serum-dependent (20% FBS), adherent, epithelial, not myogenic or adipogenic. Transfer to VN: same species as VN tra catfish."
