rank,assumption_varied,scenario,low_case,high_case,sbm_import_2050_low_mt,sbm_import_2050_central_mt,sbm_import_2050_high_mt,sbm_swing_mt,maize_import_2050_low_mt,maize_import_2050_central_mt,maize_import_2050_high_mt,maize_swing_mt,horizon_year,foresight_type,evidence_label,confidence,source_ids,notes
1,Soybean-meal inclusion trend,S-BASE,sbm_incl_trend (ALL: -1),sbm_incl_trend (ALL: 0.5),8.091,10.403,11.784,3.693,13.841,13.841,13.841,0.0,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
2,"Feed-efficiency gain (FCR) rate, livestock and aquaculture",S-BASE,fcr_improve_livestock (ALL: 0) | fcr_improve_aqua (ALL: 0),fcr_improve_livestock (ALL: 1) | fcr_improve_aqua (ALL: 0.8),11.424,10.403,9.004,2.42,15.549,13.841,11.561,3.987,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
3,Aquaculture growth after 2035,S-BASE,aq_index (2040: 1.1995; 2050: 1.1995),aq_index (2040: 1.3571; 2050: 1.7372),10.024,10.403,11.077,1.053,13.775,13.841,13.957,0.181,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
4,Poultry demand per person after 2030,S-BASE,pc_index_poultry (2035: 1.3102; 2040: 1.3771; 2050: 1.4475),pc_index_poultry (2035: 1.5152; 2040: 1.7143; 2050: 1.9895),9.966,10.403,11.011,1.046,13.093,13.841,14.882,1.789,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
5,"Meat self-sufficiency, pork and poultry",S-BASE,ssr_pork (2040: 0.911; 2050: 0.861) | ssr_poultry (2040: 0.825; 2050: 0.775),ssr_pork (2040: 0.98; 2050: 1) | ssr_poultry (2040: 0.895; 2050: 0.915),9.697,10.403,10.681,0.984,12.373,13.841,14.419,2.047,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
6,Population 2050 (illustrative plus or minus 5%),S-BASE,population (2040: 105.19; 2050: 104.51),population (2040: 111.69; 2050: 115.51),10.023,10.403,10.782,0.758,13.064,13.841,14.617,1.554,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
7,"Pig whole-herd FCR, which sets the 2025 compound share",S-BASE,fcr_pig (ALL: 2.6),fcr_pig (ALL: 3.2),10.172,10.403,10.864,0.692,13.593,13.841,14.697,1.104,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
8,Pork demand per person after 2035,S-BASE,pc_index_pork (2040: 1.0557; 2050: 1.0203),pc_index_pork (2040: 1.1669; 2050: 1.2471),10.08,10.403,10.725,0.646,13.037,13.841,14.644,1.608,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
9,Pig compound-feed share (industrialisation) by 2050,S-BASE,compound_share_pig (2040: 0.91; 2050: 0.9),compound_share_pig (2040: 0.97; 2050: 1),10.17,10.403,10.502,0.333,14.708,13.841,13.469,1.239,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
10,2025 aquafeed volume (industry 4.35 Mt vs USDA 6.5 Mt),S-BASE,base_aquafeed_mt (ALL: 4.35),base_aquafeed_mt (ALL: 6.5),10.426,10.403,10.403,0.023,13.843,13.841,13.841,0.002,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
11,Domestic maize production growth,S-BASE,maize_prod_growth (ALL: -2),maize_prod_growth (ALL: 1.4),10.403,10.403,10.403,0.0,15.466,13.841,12.136,3.33,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
12,Non-feed maize use (E10 ethanol stress test),S-BASE,maize_fsi_other_mt (ALL: 1.61),maize_fsi_other_mt (2035: 3; 2040: 3.7; 2050: 4.4),10.403,10.403,10.403,0.0,13.841,13.841,16.631,2.79,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
n/a (comparison),Microbial share of soybean-meal protein in S-ALT (0% vs 20% by 2050; S-ALT central 10%),S-ALT,alt_feed_sbm_share 0,alt_feed_sbm_share 0.20 in 2050,9.754,8.778,7.803,1.951,12.474,12.474,12.474,0.0,2050,estimate,VN-direct,Low,"QNT model (assumptions.csv, SENS-LOW and SENS-HIGH rows)","One assumption (or paired set) varied at a time, all else at S-BASE (or S-ALT for the comparison row)."
