record_id,product,hog_scenario,live_hog_vnd_per_kg,lean_trim_vnd_per_kg,extender,extender_dry_usd_per_kg,extender_protein_share_dry,hydration_kg_per_kg_dry,extender_hydrated_vnd_per_kg,replacement_share_of_lean,base_raw_material_cost_vnd_per_kg_product,extended_raw_material_cost_vnd_per_kg_product,saving_vnd_per_kg_product,saving_pct_of_raw_material_cost,saving_usd_per_t_product,saving_vnd_million_per_t_product,protein_g_per_100g_product,breakeven_extender_dry_usd_per_kg,breakeven_multiple_of_extender_price,source_ids,evidence_label,confidence,demand_evidence_type,notes
HSG-001,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.1,66022,61274,4748,7.2,183,4.7,12.2,8.86,8.6,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-002,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.2,66022,56526,9497,14.4,365,9.5,12.2,8.86,8.6,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-003,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.3,66022,51777,14245,21.6,548,14.2,12.1,8.86,8.6,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-004,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.1,66022,61477,4545,6.9,175,4.5,12.2,8.86,6.5,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-005,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.2,66022,56932,9090,13.8,350,9.1,12.2,8.86,6.5,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-006,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.3,66022,52387,13636,20.7,524,13.6,12.1,8.86,6.5,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-007,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.1,66022,61397,4625,7.0,178,4.6,12.2,15.95,7.2,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-008,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.2,66022,56772,9250,14.0,356,9.3,12.2,15.95,7.2,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-009,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.3,66022,52147,13875,21.0,534,13.9,12.1,15.95,7.2,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-010,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.1,66022,61323,4699,7.1,181,4.7,12.2,7.97,8.0,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
