school_en,province,sheet,meal_or_day,pupils,item,kg_bought,grams_per_pupil,unit_price_vnd_per_kg,vnd_per_pupil,source_ids,evidence_label,confidence,demand_evidence_type,notes
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding 21 to 30 Sep 2026,"lunch, pork day (Mon)",759,pork shoulder and rump,125,164.7,148000,24374,UPL-01,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding 21 to 30 Sep 2026,"lunch, pork and tofu day (Tue)",759,pork shoulder and rump,81,106.7,148000,15794,UPL-01,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding 21 to 30 Sep 2026,"lunch, pork and tofu day (Tue)",759,tofu,60,79.1,25000,1976,UPL-01,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding 21 to 30 Sep 2026,"dinner, pork day (Mon)",759,pork shoulder and rump,81,106.7,148000,15794,UPL-01,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding 21 to 30 Sep 2026,"dinner, chicken day (Tue)",759,live local cross-bred chicken (live weight),185,243.7,100000,24374,UPL-01,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding 21 to 30 Sep 2026,each lunch or dinner,759,rice (supplied in kind),170,224.0,in kind,,UPL-01,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch 21 to 30 Sep 2026,"lunch, pork day",14,pork shoulder and rump,2.2,157.1,148000,23257,UPL-04,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch 21 to 30 Sep 2026,"lunch, pork day (Fri, Mon 28, Wed 30)",14,pork shoulder and rump,2.5,178.6,148000,26429,UPL-04,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch 21 to 30 Sep 2026,"lunch, pork and tofu day",14,pork shoulder and rump,1.5,107.1,148000,15857,UPL-04,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch 21 to 30 Sep 2026,"lunch, pork and tofu day",14,tofu,1.4,100.0,25000,2500,UPL-04,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
