topic,claim_a,claim_b,position_taken,notes
Modern trade share of food retail,"USDA GAIN 2024 (CHN-02): modern trade 15% of retail value in 2023 (bar chart, Euromonitor)",USDA GAIN 2025 (CHN-01): modern retail 13% in 2024 (pie excludes food and drink specialists),"Use 13% (2024) for supermarkets, hypermarkets and convenience; the 15% includes specialists. Like-for-like the share rose from 12% (2023) to 13% (2024)","Definitional, not a real contradiction"
Modern trade share in 2025,"WinCommerce CEO (CHN-15): 12% to 14% of grocery, 2024 to 2025",Euromonitor via USDA (CHN-01): 13% in 2024,Report both; treat 14% for 2025 as a company claim (Low),No method disclosed by the company
Foodservice market size 2024,USDA HRI 2025 (CHN-03): USD 26.6 billion (Euromonitor),USDA Retail 2025 (CHN-01): Food Service-HRI USD 27.3 billion,Prefer USD 26.6 billion from the dedicated HRI report,"GSO accommodation and catering revenue (VND 733,920 bn, 2024) includes accommodation and is not comparable"
Number of foodservice outlets,"Euromonitor via CHN-03: over 323,000 outlets in 2024","iPOS via CHN-04: 304,700 operators in mid-2024 after 30,000 closures; over 50,000 more closed in H1 2025 (CHN-03)",Report both; different definitions (outlets vs operators) and dates,High churn means any count is a snapshot
KFC store count,USDA HRI 2024 (CHN-04): over 200 stores,Q&Me enumeration March 2025 (CHN-06): 172,Prefer 172 (store enumeration),Low stakes
Circle K store count,Q&Me March 2025 (CHN-06): 499,"SHS via CafeF, Nov 2025 (CHN-08): about 447",Report both; cannot tell whether closures or method explain the gap,"Also GS25 245 (SHS, Nov 2025) vs 236 (Q&Me, Mar 2025) and 318 (Q&Me 2026)"
Share of fresh meat through traditional channels,Euromonitor via B&Company (CHN-18): around 80% of fresh meat market,Systematic review (CHN-19): over 95% of pork retailers sell at wet markets,"Both hold: one is value share, the other a share of retailers. Use about 80% of value as the working figure (Low)",Rural Dien Bien respondents: almost 90% prefer wet markets (CHN-20)
Industrial catering market size,Saigon Times 2024 (CHN-41) and B&Company via CafeF 2026 (CHN-35): about USD 2 billion a year,"Cong Thuong 2019 (CHN-42): about VND 1,000 billion a day (about USD 14 billion a year)",Use USD 2 billion; reject the 2019 figure,The 2019 claim has no method and is seven times larger
Caterer margins,Saigon Times (CHN-41): margins 20% to 35% after commissions,Same source: food is 60% to 80% of meal value,Downgrade the margin claim to Low,Food plus labour plus commissions leaves little room for 20% to 35%
Bach Hoa Xanh store forecast,"Vietcap via CafeF, Dec 2024 (CHN-13): over 2,100 stores by end-2026","Actual: 2,180 in May 2025 (CHN-09); 3,612 in Aug 2026 (CHN-12)",Use actuals; the forecast is superseded,Shows how fast minimart expansion outran analyst views
US arrivals Jan to Aug 2026,"VietnamPlus (CHN-51): USA 887,000, up 20.4%","NSO (CHN-45): Americas 887,400, up 20.7%",Use NSO; the VietnamPlus label is likely wrong,
Date of Decision 1340/QD-TTg,Official portal (CHN-33): 8 July 2016,Tool summary of LuatVietnam page: 8 August 2016,Use 8 July 2016,The August date appears to be a summarisation error
Canteen meal price level,"Cong Thuong 2019 (CHN-42): VND 15,000 to 20,000","Hai Phong 2026 (CHN-39): VND 25,000 to 35,000; Saigon Times 2024 (CHN-41): VND 29,000 standard","Use 2026 figures; the gap is inflation and upgrading, not a contradiction",
