programme,funder,type,relevant_scope,typical_amount,status_2026,url,source_ids,evidence_label,confidence,notes
"NAFOSTED basic research grants (natural sciences, incl. biology/agriculture codes such as 106-NN, 106.02, 108)","National Foundation for Science and Technology Development (NAFOSTED), under Ministry of Science and Technology (MOST)",competitive research grant,"Basic research; categories listed: basic research in natural sciences, applied research, technology development, social solutions, international cooperation",Not published on pages fetched; typical project size NOT established in this wave,Operating: grant acknowledgements in 2024-2026 papers (e.g. 2026 chemistry papers). Position under Law 93/2025/QH15 fund provisions not verified,https://nafosted.gov.vn/en/,RD-06; RD-12,VN-direct,Medium,Dominant funder acknowledged in VN-affiliated literature relevant to this scope: 255 Scite records matched NAFOSTED + protein/fermentation/aquafeed terms. Amounts: close by reading the latest call notice or annual report
NAFOSTED international joint calls,NAFOSTED with foreign agencies,bilateral co-funded grants,"Joint projects with partner agencies (e.g. FWO Belgium, NRF Korea, others as announced)",Not established,"Category ""international cooperation"" listed on NAFOSTED site; specific 2025-2026 partner calls not verified",https://nafosted.gov.vn/en/,RD-06,VN-direct,Low,Partner names from agent knowledge; verify current partner list
"Vingroup Innovation Foundation (VINIF) programmes: research projects, Master/PhD scholarships, domestic postdoctoral fellowships, visiting professors, conferences",Vingroup JSC via VINIF,private philanthropic foundation,Research grants emphasise Big Data; scholarships cover STEM incl. biology and food-related PhDs,Amounts not shown on pages fetched,"2018-2023 metrics on website: >3,000 scientists supported; 117 S&T projects; ~1,300 Master/PhD scholarships; 180 postdoctoral fellowships. 2025-2026 status not shown",https://vinif.org/en/,RD-05; RD-12,VN-direct,Medium,"In relevant literature VINIF appears mainly as PhD/postdoc scholarship support, not project funding for food/protein. Check whether programmes continue in 2026"
"Law on Science, Technology and Innovation No. 93/2025/QH15",National Assembly (implemented by MOST),legal framework for S&T funding,"Provides specialised funds with state capital (Art 6), research risk exemption (Art 9(3)), controlled testing/sandbox (Arts 21-23), enterprise S&T development funds (Art 31)",Not applicable,"Issued 27 June 2025. Effective date not shown on fetched page (widely reported 1 Oct 2025, not verified here)",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Luat-Khoa-hoc-Cong-nghe-va-Doi-moi-sang-tao-2025-so-93-2025-QH15-581164.aspx,RD-08,VN-direct,Medium,Article summary is via a machine reading of the page; confirm article numbers against official text. Implementing decrees not reviewed
"Resolution 57-NQ/TW on breakthroughs in science, technology, innovation and digital transformation (22 Dec 2024)",Politburo / Communist Party of Vietnam,policy (budget targets),Sets national R&D and S&T budget targets that drive 2025-2026 funding expansion,"Targets (agent knowledge, NOT verified this wave): R&D 2% of GDP by 2030; at least 3% of annual state budget to S&T, innovation and digital transformation",In force,not fetched,RD-13,VN-direct,Low,Verify targets against the resolution text before quoting
Resolution 36-NQ/TW on developing and applying biotechnology (30 Jan 2023) and Government action programme,Politburo; Government,policy,"Biotechnology incl. agriculture, food and industrial biotech; basis for biotech programmes",Not established,In force,not fetched,RD-13,VN-direct,Low,Prior drafts cite it; provisions not examined by RND agent
National biotechnology programmes under MAE (agriculture) and MOIT (industrial biotech) to 2030,"Ministry of Agriculture and Environment (MAE, ex-MARD); Ministry of Industry and Trade (MOIT)",national S&T programmes (ministerial project funding),"Agricultural biotech (breeds, feed, probiotics); industrial biotech (fermentation, enzymes, food)",Not established,Not verified; decision numbers not retrieved this wave,not fetched,RD-13,VN-direct,Low,Lead only. Close by searching thuvienphapluat for the programme decisions and their 2025 revisions
Provincial S&T project funding (Departments of Science and Technology),Provincial People's Committees / DOSTs (34 provinces after 1 July 2025 merger),provincial research contracts,"Applied projects with local industry (e.g. aquaculture provinces, HCMC)",Not established,Operating; budgets not retrieved,not fetched,RD-13,VN-direct,Low,"Provincial mergers in 2025 may have consolidated programmes; verify per province (e.g. HCMC, Can Tho, Khanh Hoa)"
National Technology Innovation Fund (NATIF),MOST,"enterprise technology innovation fund (grants, loans)",Enterprise R&D and technology transfer,Not established,Not verified,not fetched,RD-13,VN-direct,Low,Agent knowledge only; relevant to startups more than academics
GFI Research Grant Program,The Good Food Institute (GFI),philanthropic open-access research grants,"Alternative protein research globally (plant-based, fermentation, cultivated)",Aggregate: USD 27M+ across 141 grants since 2019 in 26 countries; per-grant size not stated on page,"Not accepting research or planning grant submissions at time of fetch; ""Advancing Alternative Proteins Planning Grants"" run earlier in 2026 with awards expected later in the year",https://gfi.org/researchgrants/,RD-02; RD-03,general,High,No grantee in Vietnam (or any Southeast Asian country) shown on the grants database page fetched (Medium confidence: page may be paginated)
