source_id,prefix,agent,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes,wave,from_note
PRC-01,PRC,PROLOGUE,"Good Food Institute. 'Total investments' summary table (image) on the Alternative protein investment page, updated 4 Aug 2026. https://gfi.org/wp-content/uploads/2026/08/Q2_2026_total_investments.png","Total investments: invested capital Q2 2026, H1 2026, 2025 and 2017 to Q1 2026, by pillar",Good Food Institute (data: Net Zero Insights),4 Aug 2026,https://gfi.org/wp-content/uploads/2026/08/Q2_2026_total_investments.png,,advocacy,2026-09-25,Image embedded in the page recorded as CAP-51; read visually. Pillar values for H1 2026 and cumulative. Column header says 2017-Q1 2026 while page text says since 2017 including H1 2026.,wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-02,PRC,PROLOGUE,"Good Food Institute. 2024 State of the Industry report: Plant-based meat, seafood, eggs, dairy, and ingredients. PDF created June 2025. https://gfi.org/wp-content/uploads/2025/06/State-of-the-Industry-Plant-based-meat-seafood-eggs-dairy-and-ingredients-GFI.pdf","2024 State of the Industry report: Plant-based meat, seafood, eggs, dairy, and ingredients",Good Food Institute,Jun 2025,https://gfi.org/wp-content/uploads/2025/06/State-of-the-Industry-Plant-based-meat-seafood-eggs-dairy-and-ingredients-GFI.pdf,,advocacy,2026-09-25,"Openly linked from the GLB-06 resource page. Figures 8 and 9 (p. 29): annual plant-based investment 2015 to 2024, Net Zero Insights data; read from the rendered chart. 2024 value 309 later revised to 342 by GFI.",wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-03,PRC,PROLOGUE,"Green Queen. 'GFI: Plant-Based, Cultivated Meat Funding Underestimated.' 17 Apr 2024. https://www.greenqueen.com.hk/gfi-state-of-the-industry-report-2023/","GFI: Plant-Based, Cultivated Meat Funding 'Underestimated'",Green Queen,17 Apr 2024,https://www.greenqueen.com.hk/gfi-state-of-the-industry-report-2023/,,trade press,2026-09-25,"2023 investment as published at the time (USD 1.6 billion; 907, 515, 226 million) and 2022 total USD 2.9 billion. Used only to document revisions.",wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-04,PRC,PROLOGUE,FSR Magazine. 'Report: Record \$5 Billion Invested in Alt Proteins in 2021.' 2 Mar 2022. https://www.fsrmagazine.com/industry-news/report-record-5-billion-invested-alt-proteins-2021/,Report: Record \$5 Billion Invested in Alt Proteins in 2021,FSR Magazine (reporting GFI),2 Mar 2022,https://www.fsrmagazine.com/industry-news/report-record-5-billion-invested-alt-proteins-2021/,,trade press,2026-09-25,2021 figures as published by GFI at the time; later revised upwards. Used only to document the revision.,wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-05,PRC,PROLOGUE,Cultivated X. 'GFI's 2026 State of the Industry Reports Detail Mixed Year for Alternative Proteins Across All Three Sectors.' 2026. https://cultivated-x.com/studies-numbers/gfis-2026-state-of-industry-reports-detail-mixed-year-alternative-proteins-across-three-sectors/,GFI's 2026 State of the Industry Reports Detail Mixed Year for Alternative Proteins Across All Three Sectors,Cultivated X,Apr 2026,https://cultivated-x.com/studies-numbers/gfis-2026-state-of-industry-reports-detail-mixed-year-alternative-proteins-across-three-sectors/,,trade press,2026-09-25,Same article as EXP-04 (vegconomist). Government investment 'at least USD 2.5 billion since 2021'; 2024 pillar values that differ from GFI charts.,wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-06,PRC,PROLOGUE,"Beyond Meat, Inc. 'Beyond Meat Reports Fourth Quarter and Full Year 2025 Financial Results.' GlobeNewswire, 31 Mar 2026. https://www.globenewswire.com/news-release/2026/03/31/3266122/0/en/beyond-meat-reports-fourth-quarter-and-full-year-2025-financial-results.html",Beyond Meat Reports Fourth Quarter and Full Year 2025 Financial Results,"Beyond Meat, Inc.",31 Mar 2026,https://www.globenewswire.com/news-release/2026/03/31/3266122/0/en/beyond-meat-reports-fourth-quarter-and-full-year-2025-financial-results.html,,company,2026-09-25,Net revenues 2024 and 2025; USD 548.7 million non-cash gain on debt restructuring; China cessation expenses.,wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-07,PRC,PROLOGUE,"Beyond Meat, Inc. Form 8-K, event date 15 Oct 2025 (early settlement of exchange offer). SEC EDGAR. https://www.sec.gov/Archives/edgar/data/1655210/000119312525240364/d60690d8k.htm",Form 8-K: early settlement of exchange offer for 0% Convertible Senior Notes due 2027,"Beyond Meat, Inc. (SEC filing)",15 Oct 2025,https://www.sec.gov/Archives/edgar/data/1655210/000119312525240364/d60690d8k.htm,,company,2026-09-25,"Principal tendered (96.92%), new 2030 notes and shares issued. The results release (PRC-06) says the exchange was completed on 30 Oct 2025.",wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-08,PRC,PROLOGUE,"Beyond Meat, Inc. 'Beyond Meat Announces Pricing of Initial Public Offering.' GlobeNewswire, 1 May 2019. https://www.globenewswire.com/news-release/2019/05/01/1813979/0/en/Beyond-Meat-Announces-Pricing-of-Initial-Public-Offering.html",Beyond Meat Announces Pricing of Initial Public Offering,"Beyond Meat, Inc.",1 May 2019,https://www.globenewswire.com/news-release/2019/05/01/1813979/0/en/Beyond-Meat-Announces-Pricing-of-Initial-Public-Offering.html,,company,2026-09-25,IPO price USD 25; trading from 2 May 2019 on Nasdaq (BYND).,wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-09,PRC,PROLOGUE,"Impossible Foods. 'The debut of the world's most anticipated burger.' News release, Redwood City, 26 Jul 2016. https://impossiblefoods.com/media/news-releases/2016/07/momofuku-nishi-launch",The debut of the world's most anticipated burger,Impossible Foods,26 Jul 2016,https://impossiblefoods.com/media/news-releases/2016/07/momofuku-nishi-launch,,company,2026-09-25,"Restaurant debut at Momofuku Nishi, Manhattan, 27 Jul 2016.",wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-10,PRC,PROLOGUE,"Oatly Group AB. 'Oatly Reports Fourth Quarter and Full Year 2025 Financial Results.' GlobeNewswire, 11 Feb 2026. https://www.globenewswire.com/news-release/2026/02/11/3236134/0/en/oatly-reports-fourth-quarter-and-full-year-2025-financial-results.html",Oatly Reports Fourth Quarter and Full Year 2025 Financial Results,Oatly Group AB,11 Feb 2026,https://www.globenewswire.com/news-release/2026/02/11/3236134/0/en/oatly-reports-fourth-quarter-and-full-year-2025-financial-results.html,,company,2026-09-25,Revenue 2024 and 2025; adjusted EBITDA; net loss.,wave10,working-papers/wave10/prologue-C-international-landscape.md
PRC-11,PRC,PROLOGUE,EIT Food. 'GOURMEY files the first EU novel food submission for cultured meat.' 29 Jul 2024. https://www.eitfood.eu/news/gourmey-files-the-first-eu-novel-food-submission-for-cultured-meat,GOURMEY files the first EU novel food submission for cultured meat,EIT Food,29 Jul 2024,https://www.eitfood.eu/news/gourmey-files-the-first-eu-novel-food-submission-for-cultured-meat,,trade press,2026-09-25,"News item from an EU-funded innovation community relaying the company announcement; parallel filings in the US, UK, Switzerland and Singapore.",wave10,working-papers/wave10/prologue-C-international-landscape.md
