stream,vn_name,annual_volume,unit,year,main_regions_current,main_regions_former,n_sites_or_key_companies,current_use,price,price_unit,price_date,protein_pct_dm,moisture_pct,seasonality,source_ids,evidence_label,confidence,notes
Cassava roots (domestic harvest),sắn / khoai mì (củ tươi),10.24,Mt fresh roots,2025,Tay Ninh; Gia Lai; Dak Lak; Quang Ngai; Dong Nai; Son La; Thanh Hoa,Tay Ninh; Gia Lai (+Binh Dinh); Dak Lak (+Phu Yen); Quang Ngai (+Kon Tum); Binh Phuoc (now Dong Nai),~1.2 million farm households (VietnamPlus Jan 2026),"~85% to industry (starch, ethanol, MSG, chips); rest food/feed",3000-3550,VND/kg (30% starch basis),2026-04-09,,,Main harvest about Oct/Nov to Apr; 70-80% of area harvested by late March 2026,FS-01;FS-11;FS-12;FS-03;FS-14;FS-08,VN-direct,High,"Area 499,100 ha (-18,600 ha vs 2024); yield 20.5 t/ha. 2024: ~10.5 Mt on ~517,000 ha. Measured (Statistics Office via press). Province list compiled from price-reporting regions and press; provincial shares not sourced. Root prices ~75% above Apr 2025 (Tay Ninh 3,000-3,500 vs ~2,000)."
Cassava roots and chips imported,"sắn nhập khẩu (Campuchia, Lào)",~8,Mt fresh-root equivalent,2025,Border provinces: Tay Ninh; Gia Lai; Dak Lak; Quang Tri,Tay Ninh (+Long An); Gia Lai; Dak Lak; Quang Tri (+Quang Binh),Suppliers in Cambodia and Laos,Starch factories and chip traders (re-export to China),,,,,,Cambodian supply near-exhausted in early 2026; Cambodian area down ~30% in 2026,FS-14;FS-15;FS-11,VN-direct,Medium,"VietnamPlus (Jan 2026): total supply >18 Mt roots, 42% imported. Cambodia (all destinations) 2025: fresh roots 3.1 Mt (-10%), chips 1.56 Mt (+62%). Border provinces are an inference, not sourced."
Cassava starch (native),tinh bột sắn,"2.28 (exports, 11 months)",Mt starch,2025,Tay Ninh; Gia Lai; Dak Lak; Quang Ngai; Dong Nai; Son La,see cassava roots,~120 industrial factories in 27 provinces (2023) or 150+ (2025 claim); Tay Ninh 65-68 factories,"Export (>90% to China); domestic MSG, food, paper, modified starch",12500-13200,VND/kg,2026-03-31,,,Campaign follows root harvest; peak Nov to Apr,FS-01;FS-02;FS-07;FS-03;FS-12;FS-13,VN-direct,High,"Exports +69.8% volume in 11M 2025; VN overtook Thailand as top starch supplier to China (48.8% share, 10M 2025). Design capacity 11.3 Mt roots/yr, actual 8.62 Mt (ASEAN Cassava Centre, 2023). Domestic starch use not quantified."
Cassava pulp (starch residue),bã sắn / bã mì,~6.2 (derived; range 4-8),Mt wet (~80% moisture); ~1.3 Mt dry matter,2025,Same as starch factories; largest cluster Tay Ninh,Tay Ninh; Gia Lai; Dak Lak; Kon Tum; Binh Phuoc; Son La,All starch factories (~120-150); example Dinh Khue (Tay Ninh) 280 t roots/day,Wet sale to cattle/pig farms; sun- or drum-dried and sold to feed mills (e.g. Son La to former Ha Nam and Bac Giang mills); pellets; biogas; fertiliser,"~1700 (implied, product form unclear)",VND/kg,2024-12,1.5-2.6,77-85,Produced Nov to May with the campaign; self-ensiles in pits (pH 3.2-3.5) and stores for years with small losses (Laos study),FS-05;FS-06;FS-53;FS-01;FS-03;FS-16;FS-17;FS-18;FS-19;FS-20;FS-22,VN-adjacent,Low,"DERIVED: 2.49 Mt starch (11M exports 2.28 Mt x 12/11) x 2.5 t wet pulp per t starch (Thai ratio; 4.4 t roots per t starch) = 6.2 Mt wet = 0.57 t wet or 0.12 t DM per t root. 2024 equivalent ~3.7 Mt wet (lower starch exports). Ignores domestic starch use (would raise) and re-exported imported starch (would lower). Composition (DM): starch 37-75%, cellulose 5-25%, CP 1.5-2.6%. Implied price = Dinh Khue 6 bn VND revenue / 3,500 t pulp (Dec 2024). Old quote (2005): wet 200, dry 800-1,000 VND/kg. No current published pulp price found."
Cassava peel and rhizomes,"vỏ sắn, đầu mặt, xơ",~0.25 peel + ~1.5 rhizomes (derived),Mt fresh,2025,Starch factories,,All starch factories,"Fertiliser, biogas, some feed; often dumped",,,,,,With campaign,FS-53;FS-06;FS-04,VN-adjacent,Low,"DERIVED from Thai ratio per t starch: 100 kg peel, 600 kg rhizomes, 170 kg sand (Lerdlattaporn 2021) x 2.49 Mt starch. VN factory example (Long Giang Thinh, 2021): >5,000 t peel from >50,000 t roots (~10%), so definitions differ."
Cassava starch wastewater,nước thải tinh bột sắn,~2,m3 per t roots (one VN factory); national total not published,2021,Starch factories,,All starch factories,Anaerobic lagoons/biogas for boiler fuel; covered-lagoon biogas common,,,,,,With campaign,FS-04;FS-06,VN-direct,Low,"Long Giang Thinh: >100,000 m3/yr from >50,000 t roots. Thailand national: ~21 million m3/yr with 9.5 Mt pulp. Biogas = potential methane feedstock for methanotroph protein; not quantified."
Cassava chips (dried),sắn lát khô,"0.96 (exports, 10-11 months)",Mt,2025,"Gia Lai (Quy Nhon port area, former Binh Dinh); Central Highlands",Binh Dinh; Gia Lai; Kon Tum; Dak Lak,Traders; 3 fuel-ethanol plants; feed mills,"Export to China/Korea; fuel ethanol; feed (550 kt cassava in feed, CY2025)",5800-6200,VND/kg,2026-03-31,,,Dried Dec to Apr,FS-01;FS-13;FS-12;FS-11;FS-23;FS-08,VN-direct,Medium,"2.5 t fresh roots per t dry chips (FS-08). Two export figures conflict (967,460 t in 10M vs 955,670 t in 11M 2025): see disagreements log. FOB Quy Nhon USD 260 (China) to 315 (Korea)/t, Apr 2026."
Fuel ethanol (cassava/corn),ethanol nhiên liệu,"~277,000","m3/yr capacity (830 m3/day, 3 plants)",2026,Quang Ngai (Dung Quat); Da Nang (Quang Nam plant); Dong Nai,Quang Ngai; Quang Nam; Dong Nai,"Dung Quat BSR-BF 330 m3/d; Quang Nam 300 m3/d; Dong Nai 200 m3/d; planned An Khe (QNS, Gia Lai) 200 m3/d Q1 2028",E10 gasoline sold nationwide from 1 June 2026,,,,,,Continuous,FS-09;FS-10;FS-08,VN-direct,High,"June 2026 output of the 3 plants: 20,875 m3. Dung Quat ran ~60% (Mar 2026) to 75-80% (mid-2026); switching partly to imported corn from Q3 2026. Stillage/distillers grains volumes not published. E10 pilot resolution named in one source (29/2026/NQ-CP) not verified."
Rice paddy,lúa,43.5,Mt paddy,2025,An Giang; Dong Thap; Can Tho; Vinh Long; Tay Ninh; Ca Mau; Red River Delta provinces,"An Giang (+Kien Giang); Dong Thap (+Tien Giang); Can Tho (+Soc Trang, Hau Giang); Vinh Long (+Tra Vinh, Ben Tre); Long An (now Tay Ninh); Ca Mau (+Bac Lieu)",Thousands of mills; Vinafood 2 etc.,"Food, export",5700-6200,"VND/kg (fresh paddy, An Giang)",2026-09-19,,,2-3 crops/yr in Mekong Delta,FS-25;FS-23;FS-26,VN-direct,High,"NSO 2025: 7.13 Mha, 43.5 Mt. USDA MY2024/25: 42.96 Mt paddy, 26.85 Mt milled; MY2025/26 41.92 Mt. Province list is regional knowledge, not sourced this wave."
Rice bran,cám gạo,~4.35 (derived); ~5 (claimed),Mt,2025,"Mekong Delta mills (An Giang, Dong Thap, Can Tho)",An Giang; Kien Giang; Dong Thap; Tien Giang; Can Tho,"Oil: Calofic (Can Tho), Uni-Bran (2018: both ~10% of Mekong bran)","Domestic feed (bran+broken 2.8 Mt, CY2025); export 1.2 Mt (2025, mostly China); bran oil",7300-7650,VND/kg (An Giang),2026-09-19,"11-17 (full-fat, as-is basis)",5-15,"Year-round, peaks after harvests; full-fat bran goes rancid in days unless stabilised or defatted",FS-27;FS-28;FS-23;FS-26;FS-29;FS-56;FS-57,VN-direct,Medium,DERIVED: 43.5 Mt paddy x 10% (ratio from FS-27: 4.4 Mt bran per 44 Mt paddy). nutriNews claim ~5 Mt. Cross-check: USDA feed use 2.8 Mt (bran+broken) + 1.2 Mt bran exports is consistent with ~4 Mt. Oil 12-24% in full-fat bran; VN full-fat bran lower in fat and amino acids than Australian/Thai bran (Fanelli 2023).
