question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"What share of fresh meat, eggs, tofu and chay foods do urban and rural households buy in each channel in 2025 to 2026?",Decides whether a meat alternative can follow the meat purchase into modern trade or must go through kitchens,Buy a one-off cut of household panel data by channel and category,Kantar Worldpanel Vietnam (Worldpanel by Numerator); NielsenIQ Vietnam,High
"What listing fees, trade margins, promotion contributions and payment terms do Bach Hoa Xanh, WinCommerce, Saigon Co.op, Lotte and AEON charge for frozen chay and processed meat?",Without them no consumer product can be priced; we found no retrievable source,Three buyer interviews using a supplier onboarding enquiry,"Category buyers at MWG (Bach Hoa Xanh), WinCommerce, Saigon Co.op; incumbent suppliers SG Food, Vissan, CJ Cau Tre",High
"What does frozen distribution cost per kg from a factory to modern stores in HCMC, Hanoi and Nha Trang, and what margin do distributors take?",Frozen formats depend on it; also a gap in the supply study,Two quotes from cold-chain logistics firms and one distributor interview,Cold-chain 3PLs; Vietnam Logistics Business Association; frozen-food distributors,High
"How much protein and meat is in a typical factory canteen meal, what does the protein component cost, and do caterers already use chay or textured soy?",Sets the cost and protein target for an ingredient in the largest price-set channel,Interviews and menu sheets from three large caterers and two factory canteens,"Vietnam EOC, Hoang Kim, Vinastory, Dussmann, Thao Ha; union canteen committees (VGCL)",High
"Would a large caterer run a blind trial of a blended or chay protein dish, and with what acceptance?",Would give the first tested evidence in any Vietnamese channel,One four-week trial at one factory with plate-waste and preference measures,A large caterer and a willing FDI factory; university sensory lab,High
"Is Lotteria's Burger Zero Meat still on the menu, and what were its sales and repeat rates? What happened to KFC's 2018 chay menu?",The only mass-chain meat-free trials; outcomes decide whether QSR is a route,Menu check in five stores plus a request to the chains' marketing teams,Lotteria Vietnam; KFC Vietnam,High
"Do Nha Trang hotels and restaurants report unmet demand for vegetarian or plant-based protein, and from which guests?",Tests the project's HoReCa hypothesis directly,Interview 20 hotel and restaurant F&B managers and audit 30 menus in Nha Trang,Khanh Hoa Department of Tourism; Khanh Hoa Tourism Association; hotel F&B managers,High
"How many pupils eat ban tru nationally, at what meal prices, and who supplies the kitchens?",Sizes the school channel beyond Hanoi,"Request MOET data or provincial DOET reports for Hanoi, HCMC, Da Nang, Khanh Hoa",Ministry of Education and Training; provincial DOETs,Medium
"What are hospital patient meal budgets and military ration values, and how is food procured?",Large price-set channels not covered here,Written enquiry and document search,Ministry of Health; Ministry of National Defence General Department of Logistics,Medium
"What share of households own a freezer or fridge-freezer in 2024, by region?",Decides where frozen formats can sell outside big cities,Extract durable goods tables from VHLSS 2024,National Statistics Office (Ministry of Finance),Medium
"What is the frozen and ready-meal share of food retail, and how fast is it growing?",Sizes the format most novel products would use,Buy Euromonitor or NielsenIQ category data,Euromonitor; NielsenIQ Vietnam,Medium
"How large are frozen food and protein categories on Shopee, TikTok Shop, Lazada and GrabMart?",E-commerce is the test channel for premium products,Buy a category report,Metric.vn; YouNet ECI,Medium
"How many international visitors, from which markets, did Da Nang, Phu Quoc and Hoi An receive in 2025 to 2026?",Indian and Western vegetarian demand may concentrate there rather than in Nha Trang,Provincial tourism department statistics,"Da Nang, An Giang (Phu Quoc) and Da Nang (Hoi An, post-merger) tourism departments",Medium
"How many vegan, vegetarian and veg-friendly listings does HappyCow show for Nha Trang, Da Nang, Hoi An, HCMC, Hanoi and Phu Quoc?",Cheap proxy for tourist-facing vegetarian supply,Manual count in a browser (site blocks automated access),AltProtein Vietnam team,Low
"How many halal-certified restaurants and hotel kitchens exist in tourist cities, and how many Muslim visitors arrive?",Halal certification may be a cheap add-on for plant products,Enquiry to halal certification bodies,Halal certification agencies in Vietnam; VNAT,Low
"What volume of dried textured soy, tofu skin and gluten moves through wholesale and wet markets to households and street vendors?",The only no-cold-chain route for a plant protein ingredient,Interviews with three wholesale-market traders in HCMC and Hanoi,"Binh Dien, Hoc Mon, Long Bien wholesale markets; chay ingredient importers",Medium
"Did the April 2026 school pork case change school procurement (certified suppliers, fewer pork dishes, more chay or egg dishes)?",A structural shift could open or close the school route,Interview Hanoi DOET and two caterers,Hanoi Department of Education and Training; school caterers,Medium
Has the 2025 to 2026 tax and e-invoice reform measurably shifted grocery spending from traditional to modern trade?,Speeds or slows the modern retail route,Household panel trend data,Kantar Worldpanel Vietnam,Medium
