record_id,sku_id,product_name,brand,product_type,protein_g_per_100g,energy_kcal_per_100g,protein_g_per_100kcal,meets_source_per_100g,meets_high_per_100g,meets_source_any_route,meets_high_any_route,claim_on_pack,source_ids,evidence_label,confidence,demand_evidence_type,notes
P105,P105,Há Cảo Chay Cải Bó Xôi,Cholimex,dumpling/spring roll/bun with vegetable filling,1.53,166.0,0.92,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P063,P063,"Sữa Chua Thực Vật Yến Mạch Chanh Dây Xoài (plant-based yogurt, oat / passion-fruit / mango)",Vinamilk,plant yogurt/creamer,1.6,,,no,no,no (per 100 g only),no (per 100 g only),none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,"Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded). No energy value, so only the per 100 g route is tested."
P044,P044,Hà Cảo Chay (vegetarian dumplings),Cầu Tre (CJ Foods Vietnam),dumpling/spring roll/bun with vegetable filling,1.68,189.0,0.89,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P062,P062,"Sữa Chua Thực Vật 9 Loại Hạt (plant-based yogurt, 9-seed blend)",Vinamilk,plant yogurt/creamer,1.9,,,no,no,no (per 100 g only),no (per 100 g only),none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,"Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded). No energy value, so only the per 100 g route is tested."
P109,P109,Bánh Cuốn Chay,Co.op Select,dumpling/spring roll/bun with vegetable filling,2.0,115.0,1.74,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P167,P167,Coconut Yogurt Plain,Deep Blue Island,plant yogurt/creamer,2.93,257.7,1.14,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P098,P098,Bánh Bột Lọc Chay,Sông Hương Foods,dumpling/spring roll/bun with vegetable filling,2.97,237.0,1.25,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P093,P093,Thanh Cua Chay (Vegetarian Crab Stick),Thoại An,frozen meat/seafood analog,3.0,125.0,2.4,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P023,P023,Đậu Hũ Hải Sản Chay (vegetarian seafood tofu),Thoại An,frozen meat/seafood analog,3.03,,,no,no,no (per 100 g only),no (per 100 g only),none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,"Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded). No energy value, so only the per 100 g route is tested."
P113,P113,Chả Giò Chay,Co.op Select,dumpling/spring roll/bun with vegetable filling,3.1,129.0,2.4,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P043,P043,Chả Giò Bánh Rế Chay Đặc Biệt (special net-wrapped vegetarian spring rolls),Cầu Tre (CJ Foods Vietnam),dumpling/spring roll/bun with vegetable filling,3.36,172.0,1.95,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P128,P128,Đậu Hũ Trắng,Co.op Select,tofu,3.8,48.0,7.92,no,no,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P148,P148,Chả Giò Chay Rau Nấm,LC Foods,dumpling/spring roll/bun with vegetable filling,3.8,200.0,1.9,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P155,P155,Vegetable Samosa,Spring Home,dumpling/spring roll/bun with vegetable filling,4.1,178.0,2.3,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P018,P018,Mì Sủi Cảo Chay / Vegetarian Gyoza with Noodles,Co.op Select,ready meal,4.2,146.0,2.88,no,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P120,P120,Cơm Nấm Hàn Quốc Rong Biển Gimjaban,bibigo (CJ Foods Vietnam),ready meal,4.2,214.0,1.96,no,no,no,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
