ingredient,supplier_or_importer,country_of_origin,vn_location,evidence,source_ids,evidence_label,confidence,notes
"Protein concentrates and textured protein (HS 2106.10; includes TVP and soy protein concentrate, also some dairy/supplement protein blends)","Chinese exporters (aggregate, mirror data)",China,n/a (imports),"China reports exports to Vietnam of 7,957 t worth USD 12.63 million in 2023 (unit value USD 1.59/kg). Measured (customs, partner-reported).",FORM-05,[VN-direct],High,"Vietnam-reported imports from China for the same code are USD 9.15 million and 1,551 t; the Vietnam-side quantity is imputed (identical USD 5.90/kg for every partner). Prefer the China-reported tonnage."
Protein concentrates and textured protein (HS 2106.10),All origins (Vietnam-reported),"United States 46%, China 27%, Other Asia n.e.s. (Taiwan) 16%, India 5%, Netherlands 2%, Malaysia 2% (share of value)",n/a (imports),"Vietnam imports USD 33.98 million in 2023. Measured value; tonnage (5,763 t) is imputed.",FORM-02,[VN-direct],High,The US share is probably mostly dairy or supplement protein blends rather than TVP (not verified). 2024 data not yet reported to UN Comtrade/WITS when accessed.
"Other protein substances (HS 35.04; includes soy protein isolate, also peptones and collagen peptides)","Chinese exporters (aggregate, mirror data)",China,n/a (imports),"China reports exports to Vietnam of 10,028 t worth USD 16.31 million in 2023 (USD 1.63/kg).",FORM-06,[VN-direct],High,"Unit value is consistent with soy protein isolate plus lower-value protein substances. Vietnam-reported HS 35.04 imports: USD 22.18 million, China 45%, US 15%, Spain 12%, Japan 8% (FORM-04; tonnage imputed at USD 9.16/kg)."
Wheat gluten (HS 11.09),All origins (Vietnam-reported),"China 59%, Australia 13%, France 11%, Belgium 9%, Germany 5%, Austria 2% (share of value)",n/a (imports),"Vietnam imports USD 31.06 million in 2023; reported 12,337 t (imputed at USD 2.52/kg).",FORM-03,[VN-direct],High,"China reports 10,338 t worth USD 17.85 million to Vietnam in 2023 (USD 1.73/kg; FORM-07). Vietnam grows no wheat, so all gluten, including gluten washed from imported flour for ""mì căn"", rests on imported wheat."
"Soybeans (whole, for tofu, soy milk, tàu hũ ky and crushing)",Importers and crushers (aggregate),"Brazil 48.4%, United States 41.4%, Canada minor (MY2023/24 import shares)",n/a,"USDA Post: production 42,000 t on 27,000 ha (MY2024/25); imports forecast 2.5 Mt (MY2024/25) and 2.8 Mt (MY2025/26); food use 540,000 t rising to 550,000 t. Domestic share of supply about 1.6%.",FORM-09,[VN-direct],High,"Estimates by USDA Post (Hanoi), not official Vietnamese statistics. Prior-lead figure of 3.2 Mt imports refers to a different year/report and was not reconfirmed here."
"Mung beans (đậu xanh, HS 0713.31)",All origins (Vietnam-reported),"Myanmar 65%, Cambodia 13%, Argentina 8%, Australia 5%, Brazil 3% (share of value)",n/a (imports),"Vietnam imports USD 138.3 million in 2023; reported 103,835 t (imputed at USD 1.33/kg).",FORM-08,[VN-direct],Medium,"HS 0713.31 covers Vigna mungo/radiata beans. Domestic mung bean production was not established in this wave, so the ""domestic"" label on mung-bean fillings is only partly true."
"Soy protein isolate (""đạm đậu nành"", 20 kg bags)",Phụ Gia Việt Mỹ (VMC Group),China,Hanoi head office (Cầu Giấy); claims 19 branches nationwide,"Distributor page lists China-origin soy protein isolate for giò chả, sausages and vegetarian meat.",FORM-11; FORM-39,[VN-direct],Medium,Distributor claim; brand of the Chinese maker not named on the page.
Soy protein (70-90% protein),Ingreda Vietnam,Not stated,Not stated,Named as a soy protein distributor on a competitor list page.,FORM-11,[VN-direct],Low,Single mention.
Soy protein and additives,"Luân Kha Co., Ltd (Công ty TNHH Luân Kha)",Not stated,Not stated,Named as a soy protein distributor on a competitor list page.,FORM-11,[VN-direct],Low,Single mention.
"Vital wheat gluten (""bột mì căn"", 25 kg bags)","TDGIMEX (Công ty TNHH TMDV TDGIMEX, ""Vua Hóa Chất"")",China,Hanoi (Phú Nghĩa commune),Product page markets China-origin gluten for mì căn and vegetarian food.,FORM-12,[VN-direct],Medium,Distributor page; no volumes.
"Wheat gluten, Xinrui brand (25 kg bags)","VMC Group, Đà Nẵng branch (hoachatdanang.vn)",China,Đà Nẵng (Hòa Khánh ward),Product page lists Xinrui (China) gluten for vegetarian and processed food.,FORM-13,[VN-direct],Medium,Distributor page; no volumes.
Soy protein concentrate,Not named (label says soy protein from Serbia),Serbia,Used by An Nhiên (packed in Vietnam),"An Nhiên Gà Viên Chay label: ""soy protein concentrate"", origin Serbia (field photo).",FORM-01,[VN-direct],Medium,"Serbia has one large soy protein plant (believed Sojaprotein, Bečej; not verified). A retailer listing gives a different recipe (soy protein isolate, corn starch, wheat fiber, soybean oil; FORM-18)."
Textured soy protein granules 4-7 mm,Not disclosed (used by LC Foods),Not disclosed (no Vietnamese extruder identified),"LC Foods plant: Rạch Bắp IP, Tây Nam ward, Ho Chi Minh City (former Bình Dương)","LC Foods product page lists ""soya TVP Granule 4-7mm"" in chay spring rolls.",FORM-28,[VN-direct],Medium,The granule spec is a standard imported extrudate size; origin not stated.
"Tofu skin / yuba (""tàu hũ ky"")","Mỹ Hòa craft village (27 households, 200+ workers)",Made in Vietnam from mainly imported soybeans,"Vĩnh Long (former Vĩnh Long province, Bình Minh town)","Nhân Dân (20 Sep 2022): about 7 t/day output; producers prefer imported soybeans (""increase product quality by more than 20%""); recognised as national intangible heritage.",FORM-14,[VN-direct],Medium,Unclear whether 7 t/day refers to product or beans. Imports of tàu hũ ky from China are likely but were not measured in this wave.
Tofu,ToFu House (founded April 2021 by Trần Việt Bách),"Non-GMO soybeans; pilot soybean fields in Hải Phòng, Lạng Sơn and Bắc Kạn",Hưng Yên (Văn Giang),"VNA (27 Feb 2023): capacity 150-500 t/month; supplies canteens, schools, retail chains in Hanoi.",FORM-36,[VN-direct],Medium,"Example of a modern domestic tofu maker trying domestic beans. Post-merger provinces: Hải Phòng (incl. former Hải Dương), Thái Nguyên (incl. former Bắc Kạn), Hưng Yên (incl. former Thái Bình)."
Soybean meal and oil (potential source of food-grade defatted soy flour),"VAL (Vietnam Agricultural Trading Co., Ltd), joint venture of Bunge (US) and Wilmar (Singapore)",Imported soybeans,"Phú Mỹ 1 Industrial Park, Phú Mỹ ward, Ho Chi Minh City (former Bà Rịa-Vũng Tàu)","Dân Trí (10 Dec 2025): second line (USD 100 million) takes capacity to 2.6 Mt soybeans and nearly 2 Mt meal per year, about 30% of domestic meal demand; Vietnam imports about 5.9-6 Mt meal per year.",FORM-10,[VN-direct],Medium,Output is feed-grade. No evidence found of a food-grade white-flake or soy protein line in Vietnam. A food-grade side stream here is the obvious domestic feedstock for TVP.
Extrusion lines for soy-based vegetarian products,"Tân Sao Bắc Á Machinery Co., Ltd",China (machines),"Ho Chi Minh City (Vĩnh Lộc A, former Bình Chánh district)","Vendor page sells Chinese lines, 100-2,000 kg/h, 22-120 kW, for dried ""beef/chicken/fish/squid"" chay snacks from soy protein.",FORM-34,[VN-direct],Medium,Shows extruders are marketed in Vietnam; no named Vietnamese buyer. Not evidence that TVP itself is extruded in Vietnam.
TVP and chay products (maker),"Thực phẩm chay Thanh Dũng (tax code 3702548219, est. 2009)","States raw materials imported from the USA, Australia and Canada","Ho Chi Minh City (Thuận An, former Bình Dương)",Company site lists TVP among its products and says raw materials are imported.,FORM-35,[VN-direct],Low,Unclear whether Thanh Dũng extrudes TVP or repacks imported TVP. A call would settle it.
Pea protein,Not disclosed (used by Vinamilk in high-protein nut milk and plant yogurt),Not disclosed,n/a,Vinamilk labels list pea protein (field photos and brand pages).,FORM-01,[VN-direct],Low,No Vietnamese pea protein producer found; Vietnam does not grow field peas at scale (not verified). China and the EU dominate world supply [general].
Chickpea,"Not disclosed (used by Maris falafel, Tartine hummus)","Not disclosed (imported; no commercial chickpea crop in Vietnam, not verified)",n/a,Labels list chickpeas.,FORM-01,[VN-direct],Low,
Cashew kernels (for cultured cashew cheese),Vietnamese cashew processors (not named),"Processed in Vietnam; raw nuts largely imported (prior lead: raw nut imports USD 4.49 bn in 2025, unverified here)",n/a,Kashew and Deep Blue Island labels list cashews.,FORM-01,[VN-direct],Low,"Counted as ""partial"" import dependence."
"Hemp, pea/rice protein powders",Specialty importers (not named),"Bulgaria, Lithuania, United States (finished products)",Ho Chi Minh City premium stores,Imported finished products on shelf.,FORM-01,[VN-direct],High,Retail-only; not an ingredient channel.
