record_id,exercise,organisation,year,horizon,method,number_of_scenarios,lessons,source_ids,confidence,notes
FSM-001,The future of food and agriculture: Alternative pathways to 2050,FAO,2018,2050,"Exploratory quantitative scenarios on alternative driver trends (income, population, productivity, climate)",3,"Three scenarios is the minimum that avoids a 'good, bad, middle' reading only if each differs on named drivers",VIS-33,Medium,"Scenario names (business as usual, towards sustainability, stratified societies) from agent knowledge; page read confirms three scenarios and 2050"
FSM-002,The future of food and agriculture: Drivers and triggers for transformation,FAO,2022,2050,"Corporate strategic foresight exercise: 40+ internal experts, about 300-staff survey, external consultation, 18 drivers, quantitative dashboard",4 (More of the Same; Adjusted Future; Race to the Bottom; Trading Off for Sustainability),"Pair exploratory scenarios with named 'triggers' (governance, consumer awareness, income distribution, innovation) that move a system between them; fed FAO Strategic Framework 2022 to 2031",VIS-32,High,Triggers are a template for Vietnam 'robust moves'
FSM-003,Foresight: The Future of Food and Farming,UK Government Office for Science,2011,2050,Two-year evidence-led foresight; several hundred experts; challenge framing rather than formal scenarios,"0 (challenges, not scenarios)","Evidence synthesis builds credibility but, without scenarios or milestones, gives no signposts to track",VIS-34,Medium,Primary report not read; journal summary read
FSM-004,Delivering on EU Food Safety and Nutrition in 2050,European Commission JRC,2015 to 2016,2050,9 drivers; 2 axes (global trade; food values); stakeholder workshops; policy stress-test; serious game (Scenario Exploration System),4 (Global Food; Regional Food; Partnership Food; Pharma Food),"Stress-testing found 29 challenges, 8 common to all scenarios: the common ones are the no-regret agenda",VIS-35,High,Method maps directly onto F10 no-regret moves
FSM-005,Foresight scenarios for the EU bioeconomy in 2050,European Commission JRC,2021,2050,Scenario development (not read in full),4,Lead only,VIS-50,Low,Pages returned 403; scenario names not verified
FSM-006,Quantitative food-system scenario studies (review of 36 studies),UCLouvain (Riera et al.),2025,various,"Typology: normative types A (one scenario, feasibility) and B (many, conditions); exploratory types C (one variable) and D (many variables)",n/a,State the scenario purpose up front; a vision is a type A or B normative scenario and should not be read as a forecast,VIS-36,High,Peer-reviewed
FSM-007,"Novel Protein Foods (NPF) backcasting case, Sustainable Technology Development programme",Dutch inter-ministerial programme; later Profetas research programme,1990s,long range (horizon not verified),"Participatory backcasting from a sustainable future vision, followed by a multi-year research programme (Profetas)",1 normative vision,Cited as one of the more successful backcasting cases for follow-up and spin-off; but three decades later Dutch protein policy still lacks measurable targets (VIS-05),VIS-37; VIS-38; VIS-41; VIS-42,Medium,Full texts closed; vision numbers not verified
FSM-008,Participatory backcasting for European plant-protein production and consumption to 2030,Universidad Politecnica de Madrid (Manners et al.),2020,2030,"Participatory backcasting with interim milestones, barriers, opportunities and actions",1 normative vision,"Four strategies (R&D, consumer education, connected supply chains, policy support); actions to reach milestones were needed 'immediately'",VIS-40,High,Peer-reviewed; directly on protein
FSM-009,Six backcasting cases in agri-food systems,"Alliance Bioversity-CIAT, Cornell and others (Remans et al.)",2021 to 2024,various,Four steps: visioning; bottlenecks and solutions; pathway building; reflection and adaptation,1 vision per case,Bundle social and technical innovations; surface trade-offs early; monitoring for adaptive management is the weak link,VIS-39,High,"Includes a Danish national dialogue (2021, 90 people)"
FSM-010,Backcasting methodological framework,Delft University of Technology (Quist and Vergragt),2006,n/a,Five-step participatory framework (problem orientation; vision; backcasting analysis; follow-up agenda; embedding),n/a,Embedding and follow-up decide impact more than vision quality,VIS-37,Medium,Step list from agent knowledge; metadata only read
FSM-011,Singapore strategic futures system,Prime Minister's Office (Scenario Planning Office 1995; Strategic Policy Office 2003; Centre for Strategic Futures 2009),late 1980s onwards,long range,"Whole-of-government scenario planning and horizon scanning, housed at the centre of government",varies,Institutional continuity for three decades; foresight sits next to decision makers,VIS-43,Medium,Methods detail not on page read
FSM-012,Government Report on the Future,"Prime Minister's Office, Finland; National Foresight Network",each electoral term,long range,Report to Parliament each term; ministries' joint foresight group; national network,varies,A fixed review cycle tied to the political calendar,VIS-44,Medium,Start year and Committee for the Future not verified
FSM-013,Thailand foresight system,NXPO; APEC Center for Technology Foresight (1998); Thailand Foresight Alliance,1998 onwards,various,Horizon scanning; 2x2 scenarios; Future Triangle; Mont Fleur and spiderweb scenarios,varies,Regional foresight hub Vietnam has drawn on since the late 1990s,VIS-31; VIS-45,Medium,No food or protein exercise found this wave
FSM-014,Technology foresight for Vietnam's STI strategy 2021 to 2030,NISTPASS (Vien Chien luoc va Chinh sach KH&CN),about 2019 to 2020 (report 18040/2020),2030,Delphi plus literature on foreign foresight; earlier food-processing foresight pilot (2002),0 (priority lists),"Only 15 experts per field; no ranking of priorities; authors advise small, high-quality scenario workshops because statistics are thin",VIS-45,High,VN-direct; shows capacity limits
