source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
CHY-01,W&S Market Research (via Vinaresearch). Bao cao nghien cuu thi truong: Xu huong an chay cua nguoi Viet Nam. August 2012. https://vinaresearch.net/public/news/563-Xu_huong_an_chay_cua_nguoi_Viet_Nam.vnrs,Xu hướng ăn chay của người Việt Nam,W&S / Vinaresearch,2012-08,https://vinaresearch.net/public/news/563-Xu_huong_an_chay_cua_nguoi_Viet_Nam.vnrs,,market research,2026-09-24,"Online quick poll n=659 aged 16+; 14 years old; online panel, not population"
CHY-02,"Rakuten Insight. Plant-based food alternatives: future or present? Survey report, fieldwork 12 to 30 November 2021. https://insight.rakuten.com/wordpress/wp-content/uploads/Report_Plant_based_food.pdf",Plant-based food alternatives: future or present?,Rakuten Insight,2022,https://insight.rakuten.com/wordpress/wp-content/uploads/Report_Plant_based_food.pdf,,market research,2026-09-24,"Primary PDF read; Vietnam page N=4,018 online panel aged 16+; self-funded by Rakuten Insight"
CHY-03,"Statista. Vietnam: frequency of plant-based food consumption 2024 (source Rakuten Insight, 8 to 29 February 2024, n=2,757). https://www.statista.com/statistics/1073092/vietnam-frequency-of-plant-based-food-consumption/",Vietnam: frequency of plant-based food consumption 2024,Statista / Rakuten Insight,2024-03,https://www.statista.com/statistics/1073092/vietnam-frequency-of-plant-based-food-consumption/,,database,2026-09-24,Values paywalled; only survey metadata and question wording read
CHY-04,"Statista. Share of plant-based food consumers in Vietnam 2024 (source Rakuten Insight, 8 to 29 February 2024, n=3,206). https://www.statista.com/statistics/1072890/vietnam-plant-based-food-consumers",Share of plant-based food consumers in Vietnam 2024,Statista / Rakuten Insight,2024-03,https://www.statista.com/statistics/1072890/vietnam-plant-based-food-consumers,,database,2026-09-24,Values paywalled; metadata and question wording read
CHY-05,"Statista. Vietnam: reasons against plant-based food 2024 (source Rakuten Insight, n=332 non-consumers). https://www.statista.com/statistics/1073090/vietnam-reasons-against-plant-based-food/",Vietnam: reasons against plant-based food 2024,Statista / Rakuten Insight,2024-03,https://www.statista.com/statistics/1073090/vietnam-reasons-against-plant-based-food/,,database,2026-09-24,Values paywalled; sample size of non-consumers read
CHY-06,"Pew Research Center. Religion and Spirituality in East Asian Societies. 17 June 2024. Vietnam fieldwork 2 June to 17 September 2023, face-to-face CAPI, n=2,255. https://www.pewresearch.org/wp-content/uploads/sites/20/2024/06/PR_2024.06.17_religion-in-east-asia_report.pdf",Religion and Spirituality in East Asian Societies,Pew Research Center,2024-06-17,https://www.pewresearch.org/religion/2024/06/17/religion-and-spirituality-in-east-asian-societies/,,other,2026-09-24,Primary PDF read; probability sample; no diet question
CHY-07,"Giac Ngo Online. Sach trang cong bo Viet Nam co 26,5 trieu tin do ton giao, trong do Phat giao hon 14 trieu nguoi (reporting the Government Committee for Religious Affairs White Paper). 9 March 2023. https://giacngo.vn/sach-trang-cong-bo-viet-nam-co-265-trieu-tin-do-ton-giao-trong-do-phat-giao-hon-14-trieu-nguoi-post66060.html","Sách trắng công bố Việt Nam có 26,5 triệu tín đồ tôn giáo",Giac Ngo (Vietnam Buddhist Sangha HCMC newspaper),2023-03-09,https://giacngo.vn/sach-trang-cong-bo-viet-nam-co-265-trieu-tin-do-ton-giao-trong-do-phat-giao-hon-14-trieu-nguoi-post66060.html,,press,2026-09-24,Secondary report of government White Paper; registered followers
CHY-08,The Vietnamese Magazine. Vietnam officially announces national decline in the number of Buddhist followers. February 2021 (reporting 2019 Population and Housing Census). https://thevietnamese.org/2021/02/vietnam-officially-announces-national-decline-in-the-number-of-buddhist-followers-shocking-its-buddhist-sangha/,Vietnam officially announces national decline in the number of Buddhist followers,The Vietnamese Magazine,2021-02,https://thevietnamese.org/2021/02/vietnam-officially-announces-national-decline-in-the-number-of-buddhist-followers-shocking-its-buddhist-sangha/,,press,2026-09-24,Advocacy outlet reporting census figure 4.6 million Buddhists; census PDF not read
CHY-09,"Nguyen T.L., Do H.T., Lam T.H., et al. A novel model to predict plant-based food choice: empirical study in Southern Vietnam. Sustainability 12(9):3847, 2020. https://doi.org/10.3390/su12093847",A Novel Model to Predict Plant-Based Food Choice: Empirical Study in Southern Vietnam,MDPI Sustainability,2020-05-08,https://www.mdpi.com/2071-1050/12/9/3847,10.3390/su12093847,peer-reviewed,2026-09-24,"n=1,477 convenience sample at vegetarian restaurants and temples, Sep to Oct 2019; no retraction notice in Scite"
CHY-10,"Nguyen T.Q.N., Nguyen V.N., Nguyen M.D. The transformation of traditional Buddhist vegetarianism into a modern lifestyle trend: exploring the intention to adopt a periodic vegetarian diet. Veredas do Direito 22(6):e223884, 2025. https://doi.org/10.18623/rvd.v22.n6.3884",The transformation of traditional Buddhist vegetarianism into a modern lifestyle trend,Veredas do Direito,2025,https://revista.domhelder.edu.br/index.php/veredas/article/download/3884/26348,10.18623/rvd.v22.n6.3884,peer-reviewed,2026-09-24,"n=378 convenience sample at chay restaurants, stores and pagodas in Ho Chi Minh City; PDF read"
