where,current,proposed,evidence_source_ids,strength,type
target_product_profiles.csv TPP-03 label_and_claims and avoid; ch24.6 Labels; ch29.1 finding 8,Honest percentage labelling; value lines first; no imitation claims; avoid 'just like real meat'; ch24.6: avoid nhân tạo (artificial) and anything that sounds like giả (fake),"Add: avoid độn (padding) and 'x% meat replaced' wording. In press advice, a provincial CDC page and seller claims, độn means hidden cost-cutting (giò độn bột); sellers advertise không độn bột and không độn đạm đậu nành. A listed soy ingredient in branded sausages draws no observed penalty (Vissan; Masan's cây thịt thật lists đạm đậu nành). Name the plant part as a culinary or health ingredient (nấm hương, đạm nấm, hạt sen) and state the meat share only as the label law requires.",TRU-02; TRU-03; TRU-27; TRU-28; TRU-25; BUY-05; GLB-30,moderate,adds
TPP-03 cheapest_first_test; play_demand_check.csv T9 demand_kill_test (as amended by W8-L6),W8-L6: one fine emulsion (giò lụa or xúc xích) and one coarse format (xíu mại or dumpling filling),"Fine emulsion = industrial xúc xích, not giò lụa: the public quality test for giò lụa is the absence of starch, artisan sellers compete on no filler, and 2019 starch extension cost sellers customers. Add an informed arm: the same product with the fungal ingredient named on the front.",TRU-02; TRU-03; TRU-27; HXE-01; GLB-30,moderate,corrects
"ch24.4 Why blending is the likely route, first bullet","It avoids the 'fake meat' and 'artificial' frames: the product is still meat, and the novel part is an ingredient.","Add: it does not avoid the older độn (filler) frame, which Vietnamese buyers apply to hidden or cost-cutting extension of giò and chả; the frame attaches to how extension is done and named, not to a listed ingredient.",TRU-02; TRU-03; TRU-25; TRU-27,moderate,adds
demand_moves.csv DMV-07; ch29.4; ch22 For each reader (research bodies),"Chay composition and authenticity survey: measured protein, additives and meat DNA; closes the trust gap and gives makers protein targets","Re-weight: test borax, preservatives, microbes and protein first, and add animal DNA as a low-cost screen (QUATEST 3 sells real-time PCR for 86 species at 0.001% since February 2025). The 2015 to 2026 record has no confirmed case of meat in chay but repeated borax, botulism and unlabelled-origin cases. Publish with VFA, publish methods and do not name small makers: the 2016 Vinastas fish-sauce survey (101 of 150+ samples flagged) led to delistings, a Ministry of Health rebuttal and a backlash against the testers.",TRU-24; TRU-14; TRU-16; TRU-17; TRU-18; TRU-19; LBL-23,moderate,corrects
ch22.4 Trust is the weakest point,"A Can Tho University team built a DNA test for meat in vegetarian food, citing many cases of meat found in chay foods; we found no survey of how often this happens","Add: we also found no press or official report confirming meat in a Vietnamese chay product in 2015 to 2026. The only official case is an April 2021 seizure of more than 3 t of chả đòn chay in An Giang on suspicion of meat and fish, with no published result. Meat-in-chay stories circulate as a relayed Taiwanese scandal (2015) and social-media videos; the press record on chay is about borax, microbes and unlabelled goods.",TRU-18; TRU-01; TRU-30; TRU-16; CHY-23,moderate,adds
target_product_profiles.csv TPP-02 label_and_claims; ch23.8,Numeric protein claim (giàu đạm); short ingredient list; traceable origin and verified meat-free status,"Add: fake chay is a latent rumour, not a live scandal, so it does not weaken a protein claim now. Chay's live trust problems are safety and additives; the protein claim is credible when it rides on a registered maker, a full label and a short additive list. Keep 'verified meat-free' as a secondary reassurance, bought as a PCR screen.",TRU-18; TRU-24; TRU-04; CHY-23; TRU-15,moderate,updates
demand_moves.csv DMV-14 (as recast by W8-L1),W8-L1: largely in force; narrow to generic names: a voluntary industry code to state the meat share when a plant or fungal protein replaces 10% or more of the meat,"Add to rationale: declared percentages are enforced criminally (2017 beef balls labelled 70% or more beef, pork DNA only). The fraud frame lives in unlabelled market giò and exempt small businesses, which a label rule does not reach. The code's value is defensive: proof against a độn accusation.",TRU-09; TRU-03; LBL-06; LBL-09,moderate,updates
ch24.5 'Artificial' and 'fake' are loaded,The Vietnamese press uses thịt nhân tạo for cultivated meat ...; thịt giả (fake meat) is a crime story in Vietnam,Add: the same outlet uses thịt giả for both; 6 of Dan Tri's first 11 results for the term are about plant-based or cultivated meat and 4 about fraud; a 2020 headline warned that soy pork in restaurants could be a cú lừa (a trick).,TRU-22; TRU-10; TRU-12,moderate,strengthens
ch28.2 R3 row; demand_assumptions.csv R3 adoption basis,Adoption 'our judgement'; D-STRETCH hybrids in 15% of processed meat by 2035 and 35% by 2050,"Add to basis (no number change): no Vietnamese brand sells a declared meat and plant-protein blend; buyers read hidden extension as cheating; 2026 is a processed-meat trust crisis (borax prosecutions, ASF pork in schools and cans, fake beef). R3 adoption is most plausible inside industrial xúc xích and fillings under ingredient names. D-STRETCH assumes a positive blend frame not yet observed in Vietnam.",TRU-22; TRU-03; TRU-07; TRU-20; NOV-72,weak,adds
"ch25.6 hybrid row, schools (as recast by W7-L1)","W7-L1: schools only as a named processor's labelled blend for minced-meat and fish-cake dishes, after canteens",Strengthen with: in September 2026 Hanoi parents took school-meal samples to the national food-safety testing institute to check meat composition.,TRU-21; TRU-20,weak,strengthens
