record_id,year,date,country,category,count_or_item,event_type,source_ids,evidence_label,confidence,notes
FTBA-01,2024,2024-01,United States,precision fermentation,"Imagindairy: FDA GRAS ""no questions"" letter for precision-fermented dairy protein",approval,FTB-19,general,Low,"Headline only (FoodNavigator, 17 Jan 2024, found in search). Protein and GRN not verified."
FTBA-02,2025,by 2025-01,United States,precision fermentation,"Shanghai Changing Biotechnology: bovine beta-lactoglobulin with FDA ""no questions"" letter",approval,FTB-18,general,Medium,Listed in an advisory note dated 27 Jan 2025. First Chinese firm we found with a US GRAS letter for a precision-fermented dairy protein. Exact date and GRN to verify in the FDA GRAS inventory.
FTBA-03,2025,by 2025-01,United States,precision fermentation,"Geltor: chicken collagen with FDA ""no questions"" letter",approval,FTB-18,general,Low,Advisory note; date and GRN not verified.
FTBA-04,2025,2025-03,United States,precision fermentation,"Vivici: Vivitein beta-lactoglobulin, FDA ""no questions"" letter",approval,FTB-19; FTB-18,general,Medium,FoodNavigator dates the letter March 2025; the Jan 2025 advisory note already lists Vivici. See Disagreements log.
FTBA-05,2025,2025-03,United States,precision fermentation,"TurtleTree: LF+ recombinant bovine lactoferrin, FDA ""no questions"" letter",approval,FTB-19; FTB-41; FTB-18,general,Medium,Singapore-founded company. Date conflict between sources (see Disagreements log). All G (Australia) also reported a lactoferrin letter (search headline only).
FTBA-06,2025,2025-09,United States,precision fermentation,"Onego Bio: Bioalbumen (ovalbumin), FDA ""no questions"" letter",approval,FTB-19; FTB-18,general,Medium,Onego Bio and VTT are in an IP dispute with The EVERY Company over egg-protein strains (FTB-17).
FTBA-07,2025,2025-09,United States,precision fermentation,"Verley (formerly Bon Vivant): FermWhey Native and FermWhey MicroStab whey proteins, GRN 1241",approval,FTB-19,general,Medium,"FoodNavigator, 10 Oct 2025."
FTBA-08,2025,2025-01 (reported),United States,precision fermentation (policy),Proposed rule to make FDA notification mandatory for all GRAS substances sent for White House review; Senate Better Food Disclosure Act of 2025 introduced,policy signal,FTB-18,general,Medium,Would end self-affirmed GRAS. Final rule status as of Sept 2026 not checked.
FTBA-09,2024,2024-04,United States,molecular farming,Moolec Piggy Sooy (soybean with pork proteins): USDA APHIS found not subject to regulation; FDA consultation pending,"regulatory clearance (plant pest), not food approval",FTB-29; FTB-28,general,Medium,Expression up to 26.6% of total soluble protein (company claim).
FTBA-10,2024,2024-10,United States,molecular farming,"Moolec PEEA1 (pea with bovine myoglobin in seeds): APHIS Regulatory Status Review response, unlikely to pose increased plant pest risk","regulatory clearance (plant pest), not food approval",FTB-31; FTB-28,general,High,"APHIS page read (""pea with a meat protein in seeds""); month from ISAAA."
FTBA-11,2024,2024 (month not verified),United States,molecular farming,Moolec safflower expressing bovine chymosin: APHIS-cleared,regulatory clearance (plant pest),FTB-29,general,Low,Trade press only.
FTBA-12,2024,by 2024-05,United States,molecular farming,PoLoPo (potato tubers expressing egg ovalbumin): Regulatory Status Review filed,application,FTB-30,general,Medium,Decision not found in this session.
FTBA-13,2025,2025,Australia,cultivated,Vow: retail launch of cultivated quail products (Forged brand) after 2025 FSANZ approval,market launch,FTB-24,general,Medium,Approval itself is edition 1.0 APR-024.
FTBA-14,2025,2025,United States,cultivated,Mission Barns first US retail availability; Wildtype cultivated salmon in restaurants,market launch,FTB-24,general,Medium,Approvals are edition 1.0 APR-021 and APR-022.
FTBA-15,2025,2025,United Kingdom,cultivated (pet food),Meatly cultivated chicken pet food on sale,market launch,FTB-24; FTB-45,general,Medium,"UK pet food route, not human food. Approval date not verified in this session."
FTBA-16,2025,2025-09-02,European Union,cultivated (pet food),"Umami Bioworks: two cultivated white-fish ingredients registered in the EU Feed Materials Register (Category 10), pet food with a US partner","registration (notification), not a novel food authorisation",FTB-25,VN-adjacent,Medium,Singapore company (merged with Shiok Meats). Said its Singapore human-food dossier was in the final stage (Sept 2025).
FTBA-17,2025,2025-12,United States,cultivated,"Believer Meats shut down after FDA ""no questions"" letter (July 2025) and USDA inspection grant",exit after approval,FTB-24; FTB-45,general,Medium,"Plant cost USD 154 million, 11% over budget. Evidence that approval is not the binding constraint."
FTBA-18,2025,2025,China,precision fermentation and biomass,"""Several companies achieved regulatory approval in the United States and China"" in 2025",approval (unspecified),FTB-17,general,Low,GFI gives no names; NHC announcements not read.
FTBA-19,2025,2025 (enforced),South Korea,policy (all novel protein),"Food Tech Industry Promotion Act, giving MAFRA a direct support mandate",policy,FTB-20; FTB-17,VN-adjacent,Medium,GFI report gives both Dec 2025 and Mar 2026; FoodNavigator says enforced in 2025.
FTBA-20,2026,2026-06,South Korea,cultivated,"MFDS announced formal standards and specifications for ""cell-cultured processed foods"" as a new category",regulatory framework,FTB-20,VN-adjacent,Medium,"No approval yet found. Korean application fee KRW 45 million (about USD 35,000 to 40,000) pushes startups to launch abroad (FTB-44)."
FTBA-21,2026,2026-02,European Union,cultivated,Applications under EFSA novel-food review; none authorised,status,FTB-45,general,Medium,"First EU cultivated application (Gourmey, 2024) and others not re-verified here."
FTBA-22,2026,2026-02,Japan,cultivated,Safety analysis and review under way; no approval,status,FTB-45,VN-adjacent,Medium,Edition 1.0 APR-032 notes draft safety checkpoints of 28 May 2026.
FTBA-23,2026,2026-09,European Union,precision fermentation,No EU novel-food authorisation of a precision-fermented animal protein found,status (absence),FTB-10,general,Low,One search only; check the EU Union list of novel foods before citing.
FTBA-24,2026,2026-09,Vietnam,all categories,No novel-food route; no approvals; Decree 43/2026 closed-production GMO certificate available in law but no issuance found,status,FTB-34,VN-direct,Medium,See edition 1.0 ch05 and APR-033.
