source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
HXE-01,"Pham T.H., Nguyen V.V.T., Nguyen H.D., Nguyen T.T.H. (2021). Identifying the drivers of liking for texture attributes of Vietnamese sausage. Science and Technology Development Journal: Engineering and Technology 4(2).",Identifying the drivers of liking for texture attributes of Vietnamese sausage,Ho Chi Minh City University of Technology (VNU-HCM),2021-05-10,https://et.vnuhcmjournal.com.vn/index.php/et/article/download/819/1127,10.32508/stdjet.v4i2.819,peer-reviewed,2026-09-25,"Full text read via fetch summary. Eight cha lua recipes (lean 70 to 90%, lard 10 to 30%, starch 0 to 10%) with fixed seasonings per kg; 68 consumers aged 18 to 26; best liked 70/25/5 (6.79 of 9); penalty analysis on graininess and heterogeneity."
HXE-02,"Nguyen H.T., Tang M.N., Doan D.P., Le V.V.M. (2018). Substitution of peanut protein for soy protein as a non-meat binder in emulsion-type sausage production. Science and Technology Development Journal 20(K7), pp. 41 to 49.",Substitution of peanut protein for soy protein as a non-meat binder in emulsion-type sausage production,Vietnam National University Ho Chi Minh City,2018-11-27,http://stdj.scienceandtechnology.com.vn/index.php/stdj/article/download/1210/1576,10.32508/stdj.v20ik7.1210,peer-reviewed,2026-09-25,Abstract only (Scite). Seven commercial Vietnamese emulsion sausages containing soy protein; preference mapping.
HXE-03,"Le M.H., Tran T.L., Tran T.N. (2024). Nghien cuu che bien gio lua su dung phu gia co nguon goc tu nhien va bo sung vi chat. Tap chi Dinh duong va Thuc pham 20(4).",Nghiên cứu chế biến giò lụa sử dụng phụ gia có nguồn gốc tự nhiên và bổ sung vi chất,Tap chi Dinh duong va Thuc pham (National Institute of Nutrition journal),2024-08-30,https://tapchidinhduongthucpham.org.vn/index.php/jfns/article/download/705/1126,10.56283/1859-0381/705,peer-reviewed,2026-09-25,"Read via fetch summary. Gio lua protein 19.09 to 19.42 g per 100 g; 1% modified starch chosen; cites a claim that more than 90% of market pork gio lua contained borax or chemical additives (secondary, not verified)."
HXE-04,"Rentfrow G.K., Brewer M.S., Weingartner K.E., McKeith F.K. (2004). Sensory characteristics of beef and pork processed meats containing nonsolvent extracted texturized soy protein. Journal of Muscle Foods 15(4), pp. 225 to 234.",Sensory characteristics of beef and pork processed meats containing nonsolvent extracted texturized soy protein,University of Illinois,2004-10-01,https://doi.org/10.1111/j.1745-4573.2004.06303.x,10.1111/j.1745-4573.2004.06303.x,peer-reviewed,2026-09-25,"Abstract only (OpenAlex). 15, 30, 45% lean replacement; practical level below 30%."
HXE-05,"Moazzam M., Ali S.M., Khan M.A., et al. (2025). Impact of soy protein concentrate and storage on the safety, quality and shelf stability of beef patties. Food Science and Nutrition 14(1), e71327.","Impact of Soy Protein Concentrate and Storage on the Safety, Quality and Shelf Stability of Beef Patties",Wiley (Food Science and Nutrition),2025-12-26,https://doi.org/10.1002/fsn3.71327,10.1002/fsn3.71327,peer-reviewed,2026-09-25,"Abstract. SPC hydrated 1:2 at 10 to 25%; 25% improved juiciness, tenderness and cooking yield (83.07%)."
HXE-06,"Li X., Qi X., Deng J.-C., et al. (2025). Characterization of Fusarium venenatum mycoprotein-based Harbin red sausages. Foods 14(4), 556.",Characterization of Fusarium venenatum Mycoprotein-Based Harbin Red Sausages,MDPI (Foods),2025-02-07,https://doi.org/10.3390/foods14040556,10.3390/foods14040556,peer-reviewed,2026-09-25,Abstract and full-text excerpts via Scite. 25% mycoprotein replacing lean pork preferred; higher levels lowered preference.
HXE-07,"Fu Q., Yang J., Lv L., Shen T., Peng Y., Zhang W. (2023). Effects of replacing chicken breast meat with Agaricus bisporus mushrooms on the qualities of emulsion-type sausages. LWT 184, 114983.",Effects of replacing chicken breast meat with Agaricus bisporus mushrooms on the qualities of emulsion-type sausages,Elsevier (LWT),2023-06-15,https://doi.org/10.1016/j.lwt.2023.114983,10.1016/j.lwt.2023.114983,peer-reviewed,2026-09-25,Abstract (OpenAlex). 10 to 70% substitution; only 10% kept quality; protein 16.22 to 12.95%; cooking loss 21.43 to 36.07%.
HXE-08,"Yeung C.K., Huang S.C. (2017). Effects of food proteins on sensory and physico-chemical properties of emulsified pork meatballs. Journal of Food and Nutrition Research 6(1), pp. 8 to 12.",Effects of Food Proteins on Sensory and Physico-Chemical Properties of Emulsified Pork Meatballs,"Food Industry Research and Development Institute, Taiwan",2017-12-24,http://pubs.sciepub.com/jfnr/6/1/2/jfnr-6-1-2.pdf,10.12691/jfnr-6-1-2,peer-reviewed,2026-09-25,Abstract only. Soy protein lowered sensory acceptance of kung-wan; whey best.
HXE-09,"Baune M.-C., Broucke K., Ebert S., et al. (2023). Meat hybrids: an assessment of sensorial aspects, consumer acceptance, and nutritional properties. Frontiers in Nutrition 10, 1101479.","Meat hybrids: An assessment of sensorial aspects, consumer acceptance, and nutritional properties",Frontiers Media,2023-02-07,https://doi.org/10.3389/fnut.2023.1101479,10.3389/fnut.2023.1101479,peer-reviewed,2026-09-25,Abstract and excerpts via Scite. 70/30 hybrids; about 50% of consumers would rather not buy; cites UK hybrids above 30% often failing.
HXE-10,"Electronic Code of Federal Regulations. 7 CFR Part 210, Appendix A: Alternate foods for meals, alternate protein products.",7 CFR Part 210 Appendix A (Alternate protein products),US Department of Agriculture (eCFR),current as accessed,https://www.ecfr.gov/current/title-7/subtitle-B/chapter-II/subchapter-A/part-210/appendix-Appendix%20A%20to%20Part%20210,,gov/statistics,2026-09-25,At least 18% protein by weight when fully hydrated; PDCAAS at least 80% of casein; may fulfil all or part of the meat component. Used for the hydration basis.
