fact_id,topic,claim,value,unit,year_of_data,scope,source_ids,evidence,confidence,quote,notes
PB-01,for: demand growth,"OECD and FAO project that the world's average intake of calories from meat, dairy, eggs and fish will rise by 6% per person over 2025 to 2034, and by 24% in lower-middle-income countries.",6; 24,percent change in per capita calorie intake from livestock and fish products,2034 (vs 2022 to 2024 base),world; lower-middle-income countries,PRB-04,general,High,global per capita calorie intake of livestock and fish products will increase by 6 percent over the next decade,"Second quote: 'growth is anticipated to reach 24 percent, nearly four times faster than the global average'. The Executive Summary (PRB-05) as read gives 25% for the same group; we report the press figure and flag the one-point gap for a checker. Projection (baseline), not a forecast of what must happen."
PB-02,for: demand growth,"The same Outlook projects world output of meat, dairy and eggs to grow by 17% to 2034, while herds of cattle, sheep, pigs and poultry grow by only 7%.",17; 7,percent change (output; animal inventories),2034 (vs 2022 to 2024 base),world,PRB-04,general,High,"the output of meat, dairy products and eggs is set to increase by 17 percent","Second quote: 'total global inventories of cattle, sheep, pigs and poultry will expand by 7 percent'. The gap reflects expected productivity gains per animal."
PB-03,context: demand growth,"India and Southeast Asia are projected to supply 39% of the growth in world food consumption to 2034, up from 32% in the past decade, while China's share falls from 32% to 13%.",39; 13,percent of global consumption growth,2034,India plus Southeast Asia; China,PRB-04,VN-adjacent,High,India and Southeast Asian countries are projected to account for 39 percent of global consumption growth by 2034,"Applies to agricultural and fish commodities in total, not only protein. Useful to place Vietnam inside the region where demand growth now concentrates."
PB-04,context: demand growth,"The newest edition of the Outlook (2026 to 2035) projects world agricultural and fish production to grow 13% over ten years, with direct agricultural greenhouse gas emissions up 6%.",13; 6,percent change (production; direct agricultural emissions),2035,world,PRB-06; QNT-01,general,Medium,Global production is projected to expand by 13% over the next ten years,"Second quote: 'Direct agricultural greenhouse gas emissions are expected to increase by 6%'. Read from the OECD landing page only; the report PDF is blocked to automated fetching (robots.txt) and the chapter pages render without text, so animal-product detail for 2035 was not read. The package holds the 2026 to 2035 data via the SDMX API (QNT-01)."
PB-05,for: demand growth,"FAO's long-term projection is that demand for meat, milk and eggs from land animals will rise by about 20% between the 2020s and 2050.",20,percent increase in demand for terrestrial animal products,2050,world,PRB-07,general,Medium,a projected 20 percent increase in demand for terrestrial animal products by 2050,Base year not stated in the press release (the report's reference year for emissions is 2015). Much lower than FAO's 2011 projection (next fact); the two are not averaged.
PB-06,context: demand growth,"An older FAO projection (2011) expected meat consumption to rise by nearly 73% and dairy by 58% by 2050, a much steeper path than FAO's 2023 estimate.",73; 58,percent increase (meat; dairy),2050 (vs about 2010),world,PRB-27,general,Medium,Meat consumption is projected to rise nearly 73 percent by 2050,"World Livestock 2011 press release, 14 Dec 2011. Different base year, population path and model from the 2023 figure of about 20% for all terrestrial animal products. Shows how long-range demand projections have been revised down; the often-repeated claim that protein demand will 'double by 2050' is not supported by either FAO figure."
PB-07,for: food and feed security,"Two countries dominate the world's soybean exports: in marketing year 2024/25 Brazil shipped about 56% and the United States about 28%, together about 84%.",56; 28; 84,percent of world soybean exports,2024/25 (marketing year),world soybean trade,QNT-07,general,High,"Table values read (Mt, MY2024/25): world exports 184.330; Brazil 103.142; United States 51.495","Shares are our division of USDA figures. USDA estimates for 2025/26: Brazil 115.0 of 187.2 Mt (61%), United States 41.4 Mt (22%), combined 84%. Vietnam's own soybean imports are 45.8% Brazil and 43.6% US (ch01)."
PB-08,for: food and feed security,"Much of the feed trade passes through a few sea lanes: over a quarter of world soybean exports transit the Strait of Malacca, and 54% of traded grain and fertiliser passed at least one maritime chokepoint in 2015.",25; 54,percent of trade,2015 (2017 data for soy),world,GEO-40,general,Medium,"over a quarter of world soybean exports transit Malacca (package wording, app-x X.1.7)",Reused from the package (app-x-drivers-signals). Chatham House think-tank report; older data.
PB-09,for: food and feed security,"Protein feed prices can spike: the world fishmeal price reached about USD 2,500 per tonne in August 2026, up 43% on a year earlier.","2,500; 43",USD per tonne; percent year on year,Aug 2026,"world price (Peru 65%, CIF)",FM-01; GT-15,general,High,"Fishmeal peak (Aug 2026): USD 2,500 per t (up 43% year on year) (package shock register SHK-014)",Reused from package app-x X.11. El Nino years reprice aquafeed.
PB-10,for: food and feed security,Animal disease can remove a large share of supply at once: African swine fever killed or forced the culling of about 40% of China's pigs in 2018 to 2019.,40,percent of pig herd,2018 to 2019,China,GEO-14,VN-adjacent,Medium,ASF in China (2018 to 2019): About 40% of China's pigs (as cited) (package shock register SHK-002),"Figure as cited in a Vietnam ASF paper; the package labels it 'as cited'. Vietnam lost nearly 6 million pigs (over 20% of the herd) in 2019 (GEO-14, GEO-15)."
PB-11,for: food and feed security,"Bird flu (H5N1) jumped into US dairy cattle in 2024 and spread to more than 1,000 herds, with 71 human cases recorded in the US since February 2024.","1,000; 71",herds; human cases,2024 to 2026,United States,GEO-21; GEO-22; GEO-23,general,Medium,"H5N1 in US dairy cattle (from 2024): Over 1,000 herds; 71 human cases (package shock register SHK-007)",Reused from package. CDC rates the public risk 'low' (GEO-23). Science paper (GEO-21) traces it to a single spillover spread by cattle movement.
PB-12,for: feed-food competition,"About 36% of the calories produced by the world's crops go to animal feed, and only about 12% of those feed calories come back as human food.",36; 12,percent of crop calories; percent of feed calories returned as food,circa 2000 (crop data),"world, 41 crops",PRB-10,general,High,only 12% of those feed calories ultimately contribute to the human diet,"Preceding words: '36% of the calories produced by the world's crops are being used for animal feed'. Put another way, about 4% of crop calories reach people as animal products (paper's own figure). Calorie basis only; protein and micronutrient quality of animal foods is not counted. Data are about 25 years old."
PB-13,for: feed-food competition,"The same study estimates that growing crops only for direct human consumption could raise available food calories by up to 70%, enough in principle for about 4 billion more people.",70; 4,percent more calories; billion people,circa 2000,world,PRB-10,general,Medium,"could, in principle, increase available food calories by as much as 70%, which could feed an additional 4 billion people","Theoretical upper bound: counts biofuel and other uses too, assumes all feed crops are edible and ignores grassland and by-products (see Mottet et al. 2017)."
PB-14,context: feed-food competition,"OECD and FAO project that by 2034 a third (33%) of the world's cereals will be fed to animals, against 40% eaten directly by people.",33; 40,percent of cereal use,2034,world,PRB-04,general,High,"By 2034, 40 percent of all cereals will be consumed directly by humans, while 33 percent will be used for animal feed","Cereals only; soybean meal, the main protein feed, is not included in this share."
PB-15,for: land use,"Meat, farmed fish, eggs and dairy use about 83% of the world's farmland but provide 37% of its protein and 18% of its calories.",83; 37; 18,percent of farmland; of protein; of calories,about 2010 (data reference year),world,PRB-01,general,High,use ~83% of the world's farmland ... despite providing only 37% of our protein and 18% of our calories,"Confirms the task's figures. FAO gives livestock 34% of global food protein supply (PRB-17): different scope (FAO excludes farmed fish) and year, so both stand."
PB-16,for: land use,"In the same model, a world without animal products would need 76% less land for food (3.1 billion hectares) and emit 49% less food-related greenhouse gas (6.6 Gt CO2e).",76; 49,percent reduction (land; GHG),about 2010,"world, modelled scenario",PRB-01,general,High,reducing food's land use by 3.1 (2.8-3.3) billion hectares (a 76% reduction),"Second quote: 'food's GHG emissions by 6.6 (5.5-7.4) billion metric tons of CO2eq (a 49% reduction)'. A thought experiment, not a policy proposal; assumes plant foods replace animal foods nutritionally."
