topic,claim_a,claim_b,position_taken,notes
What the GFI 5% to 63% figure means,GFI SOTIR 2023 and 10-charts page: share who would eat plant-based meat rises from 5% who eat it regularly now to 63% who would eat it always (15%) or often (48%) if all concerns were resolved (ECO-23; ECO-24),"GFI press release Feb 2024: if cost and other challenges are resolved, three-quarters of Southeast Asian consumers say they would regularly consume plant-based meat (CON-02)","Use 63% always or often, as charted with n=5,971. The three-quarters wording seems to count a broader group and is not shown in any chart we could read","Both are hypothetical, regional and stated; neither is a forecast; no Vietnam split is public"
Vinasoy share of soy milk,"About 80% of soy milk (brief context, ECO-41, press from QNS filings, 2024)","90.6% of branded soy milk in 2024, up 1 point (Bao Viet Securities via CON-27; Mirae Asset CON-26)",Use 90.6% of branded (packaged) soy milk for 2024; treat 80% as an older or broader-base figure,"Bases differ (branded packaged versus all soy milk, including fresh street soy milk); neither method is published"
How many Vietnamese have tried plant-based products,Rakuten Insight 2025: 92% have tried plant-based alternatives (CON-07),GFI 2023: 42% have ever tried plant-based meat (CON-02),Both hold: Rakuten counts any plant-based alternative (89% of triers had plant milk); GFI counts plant-based meat only. Use GFI for meat analogues,"Rakuten 47% trial of plant-based meat alternatives is close to GFI 42%, but may include traditional mock meat"
Regular consumption,Rakuten 2025: 43% consume plant-based alternatives several times a week (CON-07),GFI 2023: 3% eat plant-based meat one or more times a week (CON-02),Both hold; different categories. For product design use GFI for meat analogues and Rakuten for plant milk,Neither is revealed purchase data
Awareness of novel alternative protein among Hanoi youth,Nguyen M.Q. et al. 2025 text: 84% aware but not used (CON-12); RD-32 reports the same 84%,Same paper: 202 of 288 respondents (70%) were aware but had not used,"Use 70% if anything, rated Low; the identical 84% in two samples suggests reuse",Both are student convenience samples
Plant-based dairy trend in 2023,Euromonitor: plant-based dairy retail value fell strongly in 2023 (CON-30),Google Trends: search interest in sữa hạt peaked in 2023 (index 82 against 44 in 2022) (CON-37),Prefer Euromonitor for sales; search interest is not sales and is driven by home nut-milk machines,Consistent with a DIY shift: people searching how to make nut milk at home may buy less packaged product
Who the early adopters are by age,GFI 2023: 18 to 24 year olds are the least aware; about two-thirds of Enthusiasts are over 35 (CON-02),Vietnamese academic studies focus on 18 to 25 students and report high willingness (CON-12; CON-13; RD-32),Prefer GFI: target 25 to 44 urban earners; student intentions are cheap talk with low incomes,Faunalytics literature review also names older (55+) health-conscious consumers (CON-05)
Income and meat reduction,GFI 2023: plant-based meat Expanders tend to be higher income; Rejectors lower (ECO-23),Delley et al. 2024: Vietnamese proactive meat reducers skew to the two lowest income bands (CON-08),"Both hold: premium plant-based meat skews rich; meat reduction for health or money skews poorer and will use cheap chay and tofu, not premium analogues",Different constructs (product use versus intention to cut meat)
Role of environmental concern,Nguyen M.Q. et al. 2025: environmental and sustainability concern raises attitude to novel protein (CON-12),Ly and Ly 2025: environmental concern has a small negative effect on intention (CON-13); Rakuten: environment ranks 6th of 7 reasons in Vietnam (CON-07),"Treat environment as a weak and unstable driver in Vietnam; lead with health, safety and value",Both academic samples are small and student-based
Role of religion,Nguyen T.L. et al. 2020 (spirituality) and Nguyen T.Q.N. et al. 2025 (religious values) find positive effects; Rakuten: 35% cite following a vegetarian diet (CON-11; CON-16; CON-07),Ly and Ly 2025: religious beliefs not significant among Hanoi students (CON-13),"Religion drives chay and periodic vegetarian demand among the general population, less so among students choosing modern products",Seasonal search peaks for chay in August support the religious calendar effect (CON-37)
Share of Vietnamese who eat vegetarian,Unnamed 2019 survey in CafeF: 55% eat chay (CON-20),Delley et al. 2024: 4% of urban meat eaters call themselves flexitarian (CON-08),Reject the 55% (no source; arithmetic does not reconcile). The 4% excludes non-meat eaters and is urban only,Definitions differ: occasional chay days versus a self-declared diet
Size of Vietnam plant-based markets,"Press and consultancy figures: VND 1,000 billion plant-based meat (ECO-17), USD 500 million (ECO-18), USD 112 million vegan food 2025 (IMARC via CON-38)",Revealed evidence: no Mintel launches 2022 to Q2 2023 (ECO-23); one imported analogue brand in 186 audited SKUs (FORM-01),Do not use the market-size claims; no method is traceable,"Branded soy milk alone is about VND 5,300 billion (our derivation), which suggests these figures lump in soy milk or chay"
