record_id,forecaster,year_made,target_year,metric,forecast,actual_or_latest_comparable,actual_year,gap,source_ids,evidence_label,confidence,demand_evidence_type,notes
FTR-001,A.T. Kearney,2019,2025,novel vegan meat replacements share of global meat market,"10% of a USD 1,200 billion market (about USD 120 billion)",USD 6.6 billion global retail plant-based meat and seafood sales (about 0.55% of Kearney's own 2025 market size),2025,actual about 5.5% of forecast; share overstated about 18 times,GLB-45; GLB-05,general,Medium,inferred,Retail only; foodservice would add some value but not an order of magnitude. Kearney calls its method qualitative
FTR-002,A.T. Kearney,2019,2030,vegan replacements plus cultured meat share of global meat market,"18% vegan plus 10% cultured of USD 1,400 billion",cultivated meat sold in a handful of restaurants and one butchery; no sales volumes published,2025,off track; cultivated investment fell to USD 73.9 million in 2025,GLB-45; GLB-60; GLB-07,general,Medium,inferred,
FTR-003,A.T. Kearney,2019,next several years from 2018,annual growth of plant-based meat alternatives,20 to 30% per year from USD 4.6 billion (2018),about 5% per year to USD 6.6 billion in 2025 (our derivation across two data providers),2018 to 2025,growth about a quarter of forecast,GLB-45; GLB-05,general,Low,inferred,Different providers and definitions for base and actual
FTR-004,Barclays,2019,2029,alternative meat market value,"USD 140 billion, about 10% of a USD 1.4 trillion meat market",USD 6.6 billion retail plant-based meat and seafood,2025,would need about 115% growth per year from 2025 to 2029,GLB-44; GLB-05,general,Medium,inferred,Original Barclays note not read
FTR-005,Bloomberg Intelligence,2021,2030,plant-based foods market value and share of protein market,"USD 162 billion, 7.7% of global protein market, from USD 29.4 billion in 2020",USD 28.9 billion (Euromonitor scope via GFI),2025,flat vs BI's own 2020 base; would need about 41% growth per year 2025 to 2030,GLB-43; GLB-06,general,Medium,inferred,Scopes differ between BI and Euromonitor; direction is clear
FTR-006,Bloomberg Intelligence,2021,2030,alternative meat market value,USD 74 billion (aggressive case USD 118 billion),USD 6.6 billion retail plant-based meat and seafood,2025,would need about 62% growth per year 2025 to 2030,GLB-43; GLB-05,general,Medium,inferred,
FTR-007,BCG and Blue Horizon,2021,2023,plant-based price parity with animal protein,parity by 2023 'if not sooner',US plant-based meat 77% above conventional meat per lb (2023) and about 2 times beef (2025); Germany +45% per kg (2024); Netherlands +35% (2024); Thailand 8 times chicken (2024),2023 to 2025,not met at category-average level; cheapest private labels at parity in Germany and the Netherlands,GLB-42; GLB-03; GLB-01; GLB-09; GLB-10; GLB-53,general,High,revealed,Parity defined by the forecaster as a tipping point; see price section
FTR-008,BCG and Blue Horizon,2021,2035,alternative protein volume and share of protein market,"97 Mt and 11% (base), 16% or 22% (upside), 10% (downside), from 13 Mt and 2% in 2020",global plant-based meat and seafood retail volume +3% in 2025; US units -21% 2023 to 2025; no global tonnage retrieved,2025,implied growth 14.3% per year; observed volume growth in low single digits globally and negative in the US,GLB-42; GLB-06; GLB-01,general,Medium,inferred,Target year not yet reached
FTR-009,BCG and Blue Horizon,2021,2025,microorganism (fermentation) protein price parity,parity by 2025,no evidence of parity found; fermentation investment fell to USD 357 million in 2025 amid closures,2025,not met on available evidence,GLB-42; GLB-63,general,Low,inferred,Absence of evidence; cost data are proprietary
FTR-010,Good Food Institute,2022,not dated,US plant-based meat share of total meat,"could reach plant-based milk's 16% dollar share, worth USD 16 billion","0.7% of total meat dollar sales, USD 1.0 billion; plant-based milk itself fell to 13%",2025,share halved instead of rising,GLB-02; GLB-01,general,High,revealed,"Framed by GFI as potential, not a forecast"
FTR-011,Krungthai COMPASS (via USDA FAS),2020 to 2021,2024,Thai plant-based food market value,USD 1.5 billion from USD 935 million in 2019 (10 to 35% growth per year),Euromonitor dairy plus meat alternatives USD 842.7 million (2019) and 824.1 million (2020); no same-scope 2024 value retrieved,2020,early years below the growth path; 2024 comparison open,GLB-52,VN-adjacent,Low,inferred,Scopes may differ; logged as an open question
