name,field_changed,old_value,new_value,source_ids,evidence_label,confidence,notes
Vedan Vietnam Enterprise Corp.,scale_indicators (glutamic acid capacity),"GA fermentation 36,000 t/yr (1995); expanded 1998 and 2004-05; current total not published","Glutamic acid (GA) production raised from 140,000 to 180,000 t/yr in 2004 (latest published nameplate); caustic soda 60,000 to 80,000 t/yr (2004)",VCO-03,VN-direct,Medium,"Company milestones page (undated, historic nameplate). Annual Report 2025 gives no capacity (VCO-01). Treat 180,000 t/yr GA as the last published nameplate, not current output."
Vedan Vietnam Enterprise Corp.,scale_indicators (fermentation tank count),700 m3 per tank; tank count unknown,"Still not disclosed (AR 2025, interim 2026, website). Modelled: about 11 to 17 tanks of 700 m3 needed for 180,000 t/yr GA (about 7,700 to 11,900 m3 for GA alone)",VCO-01; VCO-02; VCO-03; VCO-05,VN-direct,Low,"Modelled estimate by VERIFY-CO: titre 150 to 180 g/L, 75 to 80% working volume, 150 to 180 batches per tank per year, 90% recovery. Excludes lysine and PGA tanks. Older tanks may be smaller."
Vedan Vietnam Enterprise Corp.,revenue,Vietnam revenue USD 166 m in 2024 (43.7% of group),Vietnam revenue USD 154.3 m in 2025 (41.2% of group; down 7.0%); H1 2026 USD 79.6 m (up 8.5%; 38.7% share),VCO-01; VCO-02,VN-direct,High,"Primary HKEX filings. 2024 figure confirmed (USD 165.956 m). 'Vietnam' is revenue by customer market, not plant output."
Vedan International (Holdings),revenue by product 2025,Group MSG and seasoning revenue about USD 218 m (2024),2025 group: revenue USD 374.7 m; net profit USD 17.1 m; MSG and seasonings USD 202.4 m (54.0%); starch and starch sugar USD 63.5 m (17.0%); coffee beans USD 46.8 m (12.5%); fertiliser and feed USD 27.1 m (7.2%); specialty chemicals USD 19.6 m (5.2%),VCO-01,general,High,"Group level (Vietnam, China, Japan, ASEAN, etc.). Capex 2025 USD 9.8 m, for replacing obsolete equipment at a Vietnamese subsidiary: no sign of new capacity."
Vedan Vietnam Enterprise Corp.,feedstock_context,n/a,Cassava prices rose sharply from Q4 2025 through H1 2026; molasses tight in H1 2026 (shipping costs),VCO-01; VCO-02,VN-adjacent,High,Company commentary; no prices given.
Vedan Vietnam Enterprise Corp.,"scale_indicators (staff, site)","About 3,830 staff (2024); 120 ha","More than 3,000 employees; 120 ha; on-site plants: starch and glucose syrup, MSG, modified starch, chlor-alkali, lysine, co-generation, PGA, Vedagro pellet",VCO-04,VN-direct,Medium,"Company page, undated."
CJ Feed & Care (CJ CheilJedang feed and livestock unit),ownership,'De Heus reportedly took over CJ's feed plants in early 2026' / 'De Heus has 17 plants from buying CJ Feed & Care' (unverified),"Royal De Heus announced acquisition of CJ Feed & Care on 1 Oct 2025 and completed it on 3 Mar 2026. Scope: Vietnam, Indonesia, Cambodia, South Korea and the Philippines; 17 feed mills in total across all five countries plus livestock operations. Price not disclosed.",VCO-07; VCO-08,VN-direct,High,"Correction: 17 mills is the five-country total, not Vietnam. Vietnam mill count within the deal not disclosed."
De Heus Vietnam,scale_indicators (plant count),23 facilities (2023); about 4 Mt/yr claimed,"21 plants nationwide: 14 livestock feed, 6 aquafeed, 1 premix (company Vietnam site, Sept 2026)",VCO-09,VN-direct,Medium,"Unclear whether the 21 include former CJ Vietnam mills. If they do, some sites were closed or merged. Ask De Heus."
De Heus Vinh Long marine and cold-water fish feed mill,capacity,"84,000 t/yr (July 2026)","168,000 t/yr (De Heus global release, 22 Jul 2026); first De Heus mill dedicated to marine and cold-water fish (sea bass, barramundi); ISO 22000, ASC Feed, BAP",VCO-10,VN-direct,Medium,"Conflict with wave-1 84,000 t/yr (trade press). 84,000 may be phase 1 or a different basis. Use 168,000 t/yr as company-stated design capacity."
CJ Foods Vietnam (CJ Cau Tre; bibigo),history (Cau Tre acquisition),CJ in Vietnam since 1999; Cau Tre acquisition date not verified,"Still not verified this wave. CJ Foods Vietnam describes itself as a business unit of CJ CheilJedang with brands bibigo, Cau Tre, Ong Kim's, Ohya!, Beksul, Hetbahn, Dasida. HQ: CJ Building, 2 Bis 4-6 Le Thanh Ton, HCMC",VCO-12,VN-direct,Low,"Acquisition year commonly reported as 2016 (analyst recollection, unsourced). Close with CJ CheilJedang 2016 disclosure (DART) or HOSE/UPCoM filing."
