question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AFN-Q01,AFN-A02; AFN-A01,international,"Is there a Vietnamese public body that buys meals at scale (schools, factory canteens, hospitals, army) with a named decision-maker, a reason to move and a window in 2026 to 2028, that could procure an innovative protein product rather than a whole-food dish?",Whether a market-shaping funder backs procurement advocacy in Vietnam or keeps to Japan and Korea,partly,"ch25.3; app-ad AD.4; ch29.4 DMV-17; OQ-219, OQ-220, OQ-228",moderate,yes,High,"Part VI sizes schools (Hanoi) and canteens and cites Dispatch 64, but gives no decision-maker or window map, misses Decision 973/QĐ-TTg (School Health Programme 2026 to 2035), and has no data on hospitals or the army."
AFN-Q02,AFN-A02; AFN-A09; AFN-A10; AFN-A12; AFN-A17,international,"Which retailers, caterers and hotel groups operating in Vietnam have published protein-diversification, plant-based sales or plant-based menu targets, and how are they measured?",Whether 'retailer and corporate commitments' is a live lever in Vietnam,not answered,ch25.1 to 25.2 list chains and meat-free trials only,none,yes,High,"Accor's 50% vegetarian or plant-based dishes target (all hotels, 2030) covers 43 Vietnamese hotels (AFN-40, AFN-41); ARE scores five Vietnamese buyers (AFN-18). Part VI mentions neither."
AFN-Q03,AFN-A09; AFN-A10,investors,"What share of Vinamilk's, Masan's and other listed Vietnamese protein buyers' sales or ranges is plant or alternative protein, and has any set a sourcing target?",Which Vietnamese companies investors engage and what they ask for,partly,ch26.3 (Vinamilk pea protein; Masan no plant product); ch26.6; ch23.5,moderate,maybe,Medium,"FAIRR 2024: Vinamilk plant-based 1.30% of product range, no timebound target (AFN-21). APB 100: Vinamilk in Tier 3 (AFN-18)."
AFN-Q04,AFN-A02; AFN-A01,international,"Would an advance market commitment or public purchase of domestic textured plant protein (TPP-01, TPP-04) at the Chinese landed price pull a first plant, and how many tonnes would it have to cover?",Design and size of a demand-pull instrument for Vietnam,partly,"ch28.3 (R1 about 11.6 kt protein by 2035; about 7,000 t offtake per 1 t per hour line); ch26.2; ch29.2 TPP-01, TPP-04",weak,yes,High,"Part VI gives the offtake a line needs and the price to beat, but no instrument design and no view on whether a funder would class textured soy as 'innovative protein' rather than whole food."
AFN-Q05,AFN-A01,research,"Is there demand from Vietnamese buyers or exporters for plant-based or fermented catfish, tilapia or shrimp analogues that would turn fish-flavour research into industry uptake?",Whether Vietnamese applicants can show a 'credible pathway to industry uptake' in the fish-flavour topic,partly,ch27.7 (plant-based seafood the weakest export bet); ch21.3 (shrimp price headroom); ch24.1,moderate,maybe,Medium,
AFN-Q06,AFN-A01; AFN-A04,research,"In Vietnamese dishes (toppings, fillings, rolls), is taste or price the binding barrier for plant and fermented proteins?",Whether taste R&D is the right lever for Vietnam,partly,"ch21.3 (price ladder, revealed); ch23.3 (stated: least interest in meat-like taste); ch24.4; OQ-197",moderate,maybe,Medium,Price evidence is strong and revealed; taste evidence in Vietnamese formats is absent (no tested study).
AFN-Q07,AFN-A05; AFN-A01,manufacturers,"Will a Vietnamese processor or foodservice chain launch plant-enhanced meat at price parity in 2026 to 2028, and who would make it?",GFI APAC corporate engagement targets; investors' pipeline for extender ingredients,partly,"ch24.4; ch26.3 (Vissan 31% of formulations list soy protein); ch25.6; DMV-03, DMV-14",moderate,yes,High,Revealed evidence covers conventional binders only; no processor interest in novel extenders found.
AFN-Q08,AFN-A05,startups,"Does a high-protein claim (giàu đạm) sell to Vietnamese adults, as GFI APAC's 'protein maximisation' positioning assumes?",Product specification and messaging,partly,ch21.8 ('do not sell more protein to adults'); ch23.5 (high-protein nut milk); ch23.8; DMV-04,weak,maybe,Medium,Part VI and GFI APAC agree on protein density in meat-replacing formats; they differ on protein as the pitch.
AFN-Q09,AFN-A05; AFN-A04; AFN-A07,international,What would a probability sample including rural and older people show against the online-panel figures funders cite for Vietnam (74% choose at parity; 15% intend to cut meat)?,Whether funders should keep citing Decoding Demand for Vietnam,partly,ch23.1; ch24.6,weak,maybe,Medium,Part VI flags the gap clearly but cannot close it.
AFN-Q10,AFN-A07,research,"Which Vietnam-specific acceptance and nutrition studies (20 to 30% blends in giò lụa, okara protein, protein quality) could the Bezos Centre at NUS co-run with Vietnamese institutes?",Partnership scoping for research funders,partly,"ch29.4 DMV-03, DMV-04; ch24.6 (HUST as partner)",weak,maybe,Medium,
AFN-Q11,AFN-A07; AFN-A08,investors,Is there a Vietnam-based or Vietnam-focused alternative-protein startup at TRL 7 to 9 with a named commercial partner?,Whether accelerators and startup competitions scout Vietnam,partly,ch23.5 (VMEAT inactive after 2022); ch26.6 (no novel-protein pilots); ch07,moderate,no,Low,Part VI's clean negative is adequate for this decision.
AFN-Q12,AFN-A11; AFN-A12; AFN-A13,international,"How many meals a year could a plant-forward or blended menu commitment by one large Vietnamese caterer or hotel group shift, and at what cost per meal replaced?",Whether diet-change funders allocate to Vietnam rather than Thailand or Indonesia,partly,"ch25.3 (up to 1.2 billion canteen meals; caterers serve 30,000 to 120,000 meals a day); ch28.2 R4; DMV-05",weak,yes,High,Benchmark: ACE estimates 3.4 meals replaced per USD for Sinergia's institutional work (AFN-26). Part VI gives no cost per meal replaced.
AFN-Q13,AFN-A11,international,"Which Vietnamese institutions took part in Humane World's 2025 plant-based chef and nutritionist training, and did any commit to menu shifts?",Whether an implementer for canteen or hospital menu work already exists,not answered,wave-6 chay note and app-b row cite CHY-63 as showing no plant-based programme,none,maybe,Medium,
AFN-Q14,AFN-A13; AFN-A11; AFN-A14; AFN-A18,international,Do meat-free days in Vietnamese canteens or schools add meat-free occasions over days and weeks without compensation?,"Whether the added-chay-day route, Part VI's cheapest displacement route on paper, is worth funding",partly,ch28.4; ch22.6; ch28.6; OQ-178; OQ-261; DMV-05,none,yes,High,"Framed as a hypothesis. Korea has periodic plant-based school meal days in all 17 education offices (AFN-42), an Asian precedent Part VI does not cite, but no displacement measure."
AFN-Q15,AFN-A02; AFN-A13; AFN-A14,international,"Which funders would pay for each of Part VI's 19 demand moves, given their stated exclusions (whole-food plant-based, culture change, individual diet change, direct R&D) and priority geographies?","Which moves get funded at all, and by whom",not answered,ch29.4; brief-international ('fund measurement first'); ch28.6,none,yes,High,Nova Vista excludes chay-day promotion as framed; ReRoot excludes Vietnam; research funders fund supply-side topics.
AFN-Q16,AFN-A16; AFN-A20,policy,"How many pupils eat bán trú nationally, at what price, and what protein standard (protein quality or animal share) do the national menu sets under Decision 973/QĐ-TTg apply?",Feasibility of blended or plant protein in school meals,partly,ch25.3; app-ad AD.4; OQ-219; DMV-17,moderate,yes,High,"Hanoi data are strong; national data are weak (25 million students, Low). Decision 973 and the 400-menu model are missing."
AFN-Q17,AFN-A20,policy,"Who writes and revises school menu templates (MOET, NIN, TH Group's 400 menus; Ajinomoto's 120+ menus), and would they add a protein-dense blended or chay dish inside a VND 20,000 to 35,000 meal?",The actual entry route into school meals,not answered,"none (ch25.3 discusses tenders and Dispatch 64, not menu templates)",none,yes,High,
AFN-Q18,AFN-A06; AFN-A16,international,"Can a low-cost plant or fermented protein (soy-rice, mung bean) meet protein-quality and cost targets for institutional feeding in stunting hotspots, and which public programme would buy it?","Whether a nutrition-funded demand route exists, with development funders rather than alternative-protein funders",partly,ch21.2; ch21.8; brief-international (PO-027 protein-quality laboratory); OQ-160,weak,yes,High,India's ORF and GFI India roundtable frames exactly this (AFN-14). Stunting may now be 18.2% nationally (AFN-47).
AFN-Q19,AFN-A17; AFN-A09,manufacturers,"If a Vietnamese retailer adopted a plant-to-animal protein-rich foods ratio by weight (WWF method), how much would tofu, soy milk and low-protein chay already count, and what would a protein-weighted ratio show?",Whether ratio targets would reward novel protein or only incumbents,partly,ch22.3; ch21.4; app-ai (inputs exist: tofu 0.43 kg per person a month; chay median 4.7 g protein per 100 g),moderate,maybe,Medium,Part VI has the inputs but has not run the calculation.
AFN-Q20,AFN-A12; AFN-A11,startups,"Do global hotel groups' plant-based menu targets (Accor 50% by 2030) apply in their Vietnamese hotels, including Nha Trang, and what protein products do those kitchens buy?",Whether hotels are a committed first B2B buyer for premium or protein-upgraded chay products,not answered,ch25.4; DMV-10; OQ-218,none,maybe,Medium,"The volume verdict (showcase, not volume) would stand; the buyer map would gain a named buyer."
AFN-Q21,AFN-A18; AFN-A13,international,"Is chay practice rising or falling among lay Buddhists and young urban people, and do pagoda programmes change it?",Whether diet-change funders back chay promotion as a displacement route,partly,ch22.1; ch29.6; DMV-01; OQ-168; OQ-176,none,yes,Medium,
AFN-Q22,AFN-A14; AFN-A13; AFN-A03; AFN-A11,international,"Which Vietnamese organisations could implement institutional menu, trial or corporate protein work, and with what capacity?",Whether funders can deploy money in Vietnam at all,out of scope,"app-b (organised vegan movement small; CHY-62, CHY-63)",weak,yes,Medium,
AFN-Q23,AFN-A19; AFN-A11,international,"Would Vietnamese food companies that made cage-free commitments accept a protein-diversification ask, and do the same buyers decide both?",Bundling protein asks into existing corporate campaigns,not answered,none,none,maybe,Low,
AFN-Q24,AFN-A15; AFN-A04,international,"How many tonnes of CO2e would the benchmark and stretch paths avoid in Vietnam, and at what cost per tonne?",Climate recommenders' interest in Vietnamese food routes,not answered,ch28 reports protein tonnes only; brief-international (livestock 5.8% of GHG in 2016),none,maybe,Medium,
AFN-Q25,AFN-A01; AFN-A13; AFN-A02,international,"How many animals, by species, would each displacement route spare, given that poultry leads Vietnam's projected meat growth to 2035?",Welfare funders' cost-effectiveness ranking; eligibility under exclusions on shifting to smaller animals,not answered,ch21.1 (poultry leads growth); ch28.4 (displacement in protein tonnes only),none,yes,High,
AFN-Q26,AFN-A02; AFN-A05,policy,"Which demand argument (import substitution of about 26,000 t of protein a year, feed security, food safety) best persuades MOST, MOH and MAE to fund R&D and a novel-food route?",Framing of policy advocacy grants,partly,ch28.3; ch26.1; ch28.6; ch12 (supply side),moderate,maybe,Medium,
AFN-Q27,AFN-A09; AFN-A10,investors,"Could Vietnamese listed buyers disclose alternative protein as a share of protein sales, given no eight-digit customs codes or B2B price data?",Feasibility of investor disclosure asks,partly,ch26.1; ch26.2; DMV-18,weak,maybe,Low,
AFN-Q28,AFN-A08; AFN-A07,investors,"Do Vietnamese ingredient buyers give pilot orders or letters of intent that an accelerator would accept as market validation, and how long does qualification take?",Investment readiness of Vietnamese ingredient startups,partly,ch26.4 to 26.7; DMV-08; OQ-236,weak,maybe,Medium,
AFN-Q29,AFN-A16,policy,Would Vietnam join the School Meals Coalition or seek school-meal financing under the School Health Programme 2026 to 2035?,Funder entry point for school meals in Vietnam,not answered,none,none,maybe,Low,
AFN-Q30,AFN-A02; AFN-A05; AFN-A07; AFN-A14,international,"What Vietnam-specific demand fact would lead funders that now prioritise Japan, Korea, Singapore, Thailand and India to add Vietnam?",Country prioritisation by alternative-protein and diet-change funders,not answered,none,none,yes,High,
