family,Feedstock,Industrial base,Science,Route,Buyers,Competition,Capital,verdict
Textured plant protein,Moderate,Strong,Moderate,Strong,Strong,Moderate,Strong,Build now
Local legume and rice protein,Moderate,Moderate,Moderate,Strong,Moderate,Weak,Moderate,Prove first
Functional microbial feed ingredients,Strong,Moderate,Moderate,Moderate,Strong,Moderate,Moderate,Build with partners
Bulk microbial protein for fishmeal replacement,Strong,Moderate,Moderate,Moderate,Moderate,Weak,Weak,Marginal
"Fungal foods (koji, mycoprotein)",Moderate,Weak,Moderate,Moderate,Weak,Moderate,Moderate,Prove first (koji); watch (mycoprotein)
Duckweed and Wolffia,Strong,Weak,Moderate,Strong (feed); weak (food),Moderate,Moderate,Strong,Prove first (feed)
Microalgae,Moderate,Moderate,Strong,Strong,Weak,Weak,Moderate,Niche; incumbents exist
Precision fermentation,Strong,Weak,Weak,Weak,Weak,Weak,Weak,"Contract-made, high-value, low-dose only"
Gas fermentation,Weak,Weak,Moderate,Moderate,Moderate,Weak,Weak,Watch
Cultivated meat and seafood,Weak,Weak,Weak,Weak,Weak,Weak,Weak,Research and watch
Insects (benchmark),Strong,Strong,Strong,Strong,Strong,n/a,Moderate,Incumbent; not recommended
