actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AIB-A01,Vinamilk (Vietnam Dairy Products JSC),manufacturers,"Listed dairy and plant-milk maker; also chilled beef (Vinabeef, 51%)",Vietnam; exports and subsidiaries in Cambodia and Laos,"Premium high-protein, low-sugar, lactose-free adult nutrition; plant milk as a health solution; traceability and label compliance; Net Zero 2050; 2025 launches oat milk and two plant yoghurts; high-protein dairy (Green Farm Cao Đạm); beef","""sữa thực vật không còn được xem là sản phẩm thay thế sữa động vật, mà đang được định vị như một giải pháp dinh dưỡng hỗ trợ các mục tiêu sức khỏe cụ thể"" (AR 2025)",Vietnam,High: only large confirmed buyer of a non-soy isolate (pea); also promotes dairy protein as more absorbable than plant protein,AIB-01; AIB-02; AIB-03; AIB-04,VN-direct,High,"Supplier criteria: price competitiveness, quality, standards; geographic diversification of supply. No plant-protein or protein-diversification target."
AIB-A02,Quang Ngai Sugar (QNS) and Vinasoy,manufacturers,Listed sugar and soy-milk group; integrated soybean breeding,"Vietnam; exports to Japan, Korea, US, Taiwan",Plant nutrition brand (soy and seeds); renew core soy milk; expand into new categories; invest in soybean sourcing areas; exports; school soy-milk donations,"""Khẳng định vị thế của Vinasoy là một nhãn hàng dinh dưỡng từ thực vật"" (Board report to 2026 AGM); ""Kiến tạo dưỡng chất lành từ đậu nành và hạt"" (May 2026)",Vietnam,High: largest plant-protein food maker by volume (264 million litres in 2025); may be partner or competitor rather than buyer of protein ingredients,AIB-05; AIB-06; AIB-07; AIB-08,VN-direct,High,"2025: volume +4%, revenue +14%, Veyo +50%, premium Fami +36%, exports +126%. 2026 risk: rising marketing costs for plant nutrition."
AIB-A03,"TH Group (TH true MILK, TH true NUT, TH true OAT)",manufacturers,Private dairy and plant-milk maker,Vietnam,"Low sugar, natural sweetening (dates), organic dairy; oat milk since 2023","""xu hướng giảm đường"" (sugar-reduction trend) as positioning (press, Feb 2025)",Vietnam,Low: no stated protein or plant-protein interest found; walnut nut milk contains cow's milk,AIB-09,VN-direct,Low,Private company; no annual report. Press only.
AIB-A04,Nutifood,manufacturers,"Private nutrition, medical nutrition and dairy maker; research institute in Sweden",Vietnam; Sweden,"Evidence-based nutrition, clinical studies with military hospital; plant-based formulated nut milk for diabetics","Värna Life ""sữa hạt công thức"" with 2.35 g protein per 100 ml, lactose-free, soy-extract base (product page)",Vietnam,Medium: buyer of dairy proteins; potential buyer of plant isolates for medical nutrition; slow qualification,AIB-10,VN-direct,Medium,Part VI covers the military hospital MOU (BUY-19).
AIB-A05,Masan Group: Masan MEATLife (MML) and Masan Consumer (MCH),manufacturers,Listed conglomerate: meat processing and FMCG,Vietnam,"MML as 'consumer protein platform' shifting to branded, marinated and processed meat; innovation products 31% of category revenue; MCH 16 Mega Brands; no plant-based","""moving away from the traditional meat producer model toward a modern consumer protein platform"" (Masan, Feb 2026)",Vietnam,Medium: natural maker of hybrids with own retail shelf; no stated interest in plant or blended protein,AIB-11; AIB-12; AIB-13,VN-direct,Medium,"Branded meat about 2% of market (AGM 2026); 2026 targets MML revenue +20%, MCH +15%."
AIB-A06,"WinCommerce (WinMart, WinMart+; Masan)",manufacturers,"Grocery retailer, about 5,141 stores mid-2026","Vietnam, increasingly rural","Scale (about 6,100 stores end 2026; 13,000 by 2030); 70% of new stores rural; 25 to 50 Mega House Brands","""Mở rộng quy mô, gia tăng hiệu quả"" (AGM 2026)",Vietnam,Medium: one listing reaches thousands of stores; house-brand route; MML controls about 61% of in-store protein category,AIB-12; AIB-13,VN-direct,Medium,"No plant, chay or supplier criteria found."
AIB-A07,VISSAN (Vietnam Livestock Technology JSC),manufacturers,Listed state-linked meat processor with chay line,Vietnam (HCMC base); small exports,"Processed food 20,350 t in 2026; relocated slaughter plant; own pig farm (32,000 head); price stabilisation; 2026 Vu Lan chay launches","""giảm biên lợi nhuận để giữ giá bán ổn định phục vụ người dân thành phố"" (AGM 2026, press)",Vietnam,High: already uses soy protein in 31% of meat formulations (Part VI); chay maker; no chay target,AIB-14; AIB-15; AIB-16,VN-direct,High,Closes OQ-181 negatively: no chay target at 2026 AGM.
AIB-A08,"CJ Foods Vietnam (CJ Cau Tre, bibigo)",manufacturers,Korean-owned frozen food maker,Vietnam; parent global,"Frozen dumplings and spring rolls incl. chay; parent PlanTable plant-based brand targeted KRW 200 billion sales by 2025 in US, UK, Germany, Japan","Pack claim ""100% Protein từ thực vật"" on bibigo Healthy Mandu Chay (Part VI LE-25)",Vietnam (production); parent markets outside Vietnam,Medium: chay dumpling maker using soy protein; parent rationale includes animal-disease limits on meat exports,AIB-17,general,Medium,No PlanTable launch in Vietnam found.
AIB-A09,Acecook Vietnam,manufacturers,Japanese-owned instant-noodle maker,Vietnam; exports to 40+ countries,Become a comprehensive food supplier; ready-to-eat foods and snacks; micronutrient fortification; real meat and vegetables; biomass energy,"""doanh nghiệp cung cấp thực phẩm tổng hợp bền vững, vươn tầm thế giới"" (Jul 2025)",Vietnam,Low: volume market with no protein claim; buyer of pulse starches,AIB-18,VN-direct,Medium,Part VI ch26.3 view confirmed.
AIB-A10,C.P. Vietnam (CPV Food; parent Charoen Pokphand Foods),manufacturers,"Integrated feed, farm, food, retail shops and catering",Vietnam; parent Thailand and 15 countries,'Protein Expert'; Meat Zero alternative protein for flexitarians (outside Vietnam); PLANT-TEC soy texturing; retort sausages for Vietnam; Dzine Food Solutions catering in Vietnam,"""Alternative protein products designed for flexitarian consumers, offering protein levels comparable to meat"" (One Report 2025)","Vietnam (feed, pigs, chicken, retort sausages, catering)",Medium: has plant-meat technology and a Vietnamese caterer but no Vietnamese plant product,AIB-19,VN-adjacent,High,Group-level document; Vietnam plant launch not found.
