record_id,shock_type,event,date,magnitude,impact_channel_on_protein_supply,frequency_trend,source_ids,evidence_label,confidence,notes
SHK-001,animal disease,HPAI H5N1 first wave in Vietnam,2003 to 2004,About 45 million poultry culled or died; direct loss about 0.1 percentage points of GDP,Poultry supply loss; culling; trade bans,H5N1 now endemic in poultry; clade 2.3.4.4b spreading to mammals worldwide since 2021 to 2024,GEO-20,VN-direct,Medium,World Bank 2005 figure cited in a conference paper; primary not read.
SHK-002,animal disease,African swine fever in China,2018 to 2019,Death and culling of about 40% of China's pig population (as cited),Regional pork price spike; lower Chinese soymeal demand; pig smuggling pressure on Vietnam,ASF endemic across Asia,GEO-14,general,Medium,Figure is a citation inside GEO-14.
SHK-003,animal disease,ASF epidemic phase in Vietnam,Feb to Dec 2019,"Nearly 6 million pigs died or culled (over 20% of herd); 8,553 of 10,614 communes affected; pig prices +45% (traditional), +14% (commercial), +11% (modern); pig trade volume halved",Pork supply loss; feed demand drop; consolidation towards large farms,"Epidemic 2019 to 2020, endemic from 2021",GEO-14; GEO-15; MAC-37,VN-direct,High,
SHK-004,animal disease,ASF resurgence,2021,"3,029 outbreaks in 59 of 63 provinces",Herd loss; smallholder exit,"Endemic; outbreaks 952 (2023) to 1,669 (2024)",GEO-15,VN-direct,Medium,
SHK-005,animal disease,Recombinant genotype I/II ASF virus spreads,2023 to 2024,Share of outbreaks 14.1% to 42.2% in northern and central Vietnam; resistant to commercial vaccines,Vaccine failure risk; renewed herd losses,Rising,GEO-16; GEO-17; GEO-18; GEO-19,VN-direct,Medium,
SHK-006,animal disease,ASF return,Q3 2025 onward,1.2 to 1.3 million pigs culled in 2025,Pork supply and feed demand dip; price volatility,Recurring every 2 to 3 years since 2019,MAC-01; MAC-12 (edition 1.0),VN-direct,Medium,
SHK-007,animal disease,H5N1 in US dairy cattle (new host),Mar 2024 onward,"More than 1,000 herds; 71 US human H5 cases by Mar 2026; CDC public risk 'low'",New mammalian host; milk supply; pandemic risk signal,New,GEO-21; GEO-22; GEO-23,general,High,
SHK-008,animal disease,H5N1 kills tigers and leopards in Vietnamese zoos,Aug to Oct 2024,47 tigers and 3 leopards died; mutations linked to mammalian adaptation,Signal of mammalian adaptation in Vietnam; poultry-sector risk,Mammal infections rising worldwide,GEO-46,VN-direct,High,
SHK-009,pandemic,COVID-19 and 2022 disruptions,2020 to 2022,About 30% of small pig farmers left the sector (review estimate),"Labour, logistics and demand shock; smallholder exit",Zoonotic spillover events +4.98% a year (1963 to 2019),MAC-43; GEO-43,VN-direct,Low,Farmer-exit figure from a single review.
SHK-010,trade and conflict,Russia-Ukraine war,2022,Wheat import price USD 424/t in Sept 2022 (+37% y/y); Argentina raised meal and oil export duty from 31% to 33% (Mar 2022),Feed grain and wheat prices; export taxes and restrictions,"Export restrictions recur in each price crisis (2007-08, 2010-11, 2020, 2022)",MAC-44; GEO-39; GEO-42,VN-direct,Medium,Argentine duty change from a press title only (Low).
SHK-011,trade policy,"US-China tariff war, soy",2018 to 2019; 2025,China shifted soybean buying to Brazil; Nov 2025 deal commits China to 25 Mt a year of US soybeans 2026 to 2028,Reallocation of soy flows and basis premiums; Brazil surplus to other buyers,Recurring; managed trade,GEO-06,general,Medium,2018 details not re-read this wave.
SHK-012,trade policy,US tariffs on Vietnam,Apr 2025 to Jul 2026,46% announced (Apr 2025); 20% applied (Aug 2025 to Feb 2026); 10% Section 122 (Feb to Jul 2026); 12.5% Section 301 (from 24 Jul 2026),Seafood and processed-food export margins; pressure to buy US farm goods (MOUs over USD 2.9 bn),High policy volatility; two further Section 301 cases open,GEO-02; GEO-03; GEO-04; GEO-05; GEO-48,VN-direct,High,46% figure from a commercial site (Low); applied rates from official sources.
SHK-013,trade and conflict,Middle East conflict (US-Iran),Feb to Apr 2026,Feed prices +10% to 14% (Jan to Apr); world urea USD 472 to 726/t (+54% in one month); logistics costs +20% to 30% international,"Energy, fertiliser and freight costs into feed and fermentation inputs","New; Hormuz exposure for LNG, urea and oil",MAC-24; COST-30; COST-33; GEO-45,VN-direct,Medium,GEO-45 is a 2026 peer-reviewed paper (title only read) naming the conflict.
SHK-014,commodity price,Fishmeal price peak,Aug 2026,"USD 2,500/t (+43% y/y), highest in the 2020 to 2026 series; fishmeal to soybean meal price ratio 6.2 (3.8 in 2024)",Aquafeed cost; incentive for fishmeal substitutes,Volatility tied to El Nino and Peru quotas (see CLM),FM-01; GT-15 (edition 1.0); CLM-27,general,High,
SHK-015,climate,Mekong salinity intrusion,2019 to 2020 dry season,"1.69 million ha (42.5% of the delta) affected; 26,000 ha rice lost; 8,715 ha aquaculture damaged",Local crop and aquaculture losses; land shifts to shrimp,"Human-driven drivers (subsidence, sand mining) dominate to 2050",CLM-37; CLM-15,VN-direct,Medium,Covered in CLM; listed here for completeness.
SHK-016,infrastructure,Panama Canal drought restrictions,2023 to 2024,Transit restrictions (magnitude not re-read this wave),US Gulf grain freight to Asia; route shifts,Climate-linked; recurring risk,GEO-41,general,Low,UNCTAD 2024 flags Suez and Panama vulnerability; numbers not read.
SHK-017,regulation,Ban on prophylactic antibiotics in livestock,1 Jan 2026,Antibiotics only for diagnosed disease,Higher disease-management cost; biosecurity investment; possible short-run productivity dip,One-off rule change,GEO-24,VN-direct,Medium,Impact not yet measured.
