ID,Date,City,Channel Type,Store/Vendor Name,Product Name,Brand,Origin,Category,Format/Subtype,Package Size (g/ml),Price (VND),Price per 100g (VND),Conv. Equivalent Price/100g (VND),Price Premium %,Shelf/Menu Placement,Key Ingredients,Energy (kcal /100g-100ml),Protein (g /100g-100ml),Fat (g /100g-100ml),Carbs (g /100g-100ml),Sodium (mg /100g-100ml),Notes / Marketing Claims
P001,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Cơm Chiên Chay Gạo Lứt (brown-rice vegetarian fried rice),SG Food,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Ready-meal / fried rice,200,31900,15950,,,Dedicated alt-protein section,"Brown rice 60% (brown rice, water), vegetable oil, mixed vegetables, king oyster mushroom, vegan fish ball 2.8%, vegan pork sausage 2%, vegetarian seasoning, leek, shiitake, sugar, flavour enhancer E621, iodized salt, sesame oil and pepper",,,,,,"Frozen ready-meal format, not a meat analog per se. Brand confirmed via OSINT: Sài Gòn Food (est. 2003, major frozen-food/prepared-meal producer, ~2,000 staff, supplies 7-Eleven VN's fresh-food line). No published ingredients/nutrition found for this specific SKU. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://aeoneshop.com/product/24978/sai-gon-food-com-chien-chay-gao-lut-200g."
P002,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Lẩu Thái Chay (vegan Thai hotpot kit),SG Food,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Hotpot kit,500,72900,14580.000000000002,12300,0.18536585365853675,Dedicated alt-protein section,"Thực phẩm chay (50%): bóng cá chay, bò lát chay, chả lụa chay, đậu hủ chiên, bò viên chay. Gói nước dùng lẩu (29%): nước, me, đường, hạt nêm chay, sả, dầu thực vật, hành, ớt, muối i-ốt, củ riềng, bắp, thơm, cà rốt.",,,,,,"OSINT flag: Lotte Mart's own e-commerce listing prices this exact SKU at 62,900đ, ~16% below the 72,900đ read off the shelf tag — verify against the photo. Conv. equivalent = SG Food's own seafood ""Lẩu Thái Chua Cay Deli"" 500g, 61,500đ (Lotte Mart online). No numeric nutrition table found for the chay version."
P003,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Chả Quế Chay (vegetarian cinnamon-roll sausage),P.G.P,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Sausage/cured-meat analog,500,75900,15180.000000000002,,,Dedicated alt-protein section,Not found,,,,,,"OSINT: could not identify ""P.G.P"" as a registered brand online — no ingredients or nutrition found as a result."
P004,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Chả Cá Chay (vegetarian fish-cake analog),P.G.P,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Fish-cake analog,500,75900,15180.000000000002,,,Dedicated alt-protein section,Not found,,,,,,Same brand-identification caveat as the row above.
P005,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Chả Lụa Chay (vegetarian Vietnamese ham/pâté),brand tag not fully legible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Ham/pâté analog,500,52900,10580,21980,-0.518653321201092,Dedicated alt-protein section,Not found,,,,,,"VERIFY: brand name partly cut off in photo — no ingredients/nutrition found without a confirmed brand. Conv. equivalent = Vissan Giò Lụa (conventional pork) 500g, 109,900đ (Lotte Mart online)."
P006,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Giò Thủ Chay (vegetarian head-cheese roll),brand not legible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Cured-meat roll analog,500,45900,9180,17380,-0.4718066743383199,Dedicated alt-protein section,Not found,,,,,,"VERIFY: price tag was in a cluster of similar items; package size assumed 500g. Conv. equivalent = Vissan Giò Thủ (conventional) 500g, 86,900đ (Lotte Mart online)."
P007,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Chả Giò Chay (vegetarian spring rolls),Choice L (Lotte Mart private label),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,400,46900,11725,,,Dedicated alt-protein section,Not found,,,,,,VERIFY: two Choice L pack sizes on this shelf (400g/500g) with two price points. No published ingredients/nutrition found for Choice L's chả giò chay specifically.
P008,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,"Chả Giò Chay (vegetarian spring rolls, larger pack)",Choice L (Lotte Mart private label),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,500,53900,10780,,,Dedicated alt-protein section,Not found,,,,,,VERIFY: see note on row above.
P009,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Hà Cảo Chay (vegetarian dumplings/gyoza),Choice L (Lotte Mart private label),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,500,53900,10780,,,Dedicated alt-protein section,Not found,,,,,,"""Chỉ Có Tại Lotte Mart"" badge displayed on this shelf. No published ingredients/nutrition found."
P010,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Chả Giò Xốp Chay (crispy vegetarian spring rolls),Cầu Tre (CJ Cầu Tre) — reasonably confident,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Crispy spring rolls,500,51900,10380,10800,-0.03888888888888886,Dedicated alt-protein section,"Bánh tráng, củ sắn, khoai môn, đậu xanh, bún tàu, nấm mèo, đường, muối, chất điều vị, tiêu (Cầu Tre's standard chả giò chay line — brand ID on this exact shelf SKU still a best guess).",,,,,,"VERIFY exact price: sat in a 39,900-65,900đ cluster; used the mid-point. Lotte Mart's own online listing for ""Chả Giò Chay CJ Cầu Tre 500G"" prices it at 44,900đ — likely closer to true. Conv. equivalent = Chả Giò Thịt Cầu Tre 500g, 54,000đ (Lotte Mart online). No numeric nutrition table published."
