record_id,product,company,country,category,channel,launch_date,price,composition_or_protein,volume_or_status,source_ids,evidence_label,confidence,demand_evidence_type,notes
FSL-001,GOOD Meat cultivated chicken (restaurant dishes),Eat Just (GOOD Meat),Singapore,cultivated meat,"Restaurants (1880, later Huber's Bistro)",December 2020 (approval and first sale),not retrieved,Cultivated chicken (earlier formulations about 60 to 70 percent cultivated),More than 2000 servings sold in Singapore to May 2024 (company claim); sales paused December 2023; production 'never continuous',NOV-10; NOV-12,VN-adjacent,Low,revealed,About three and a half years to reach 2000 servings.
FSL-002,GOOD Meat 3,Eat Just (GOOD Meat),Singapore,cultivated meat (hybrid),"Retail, freezer section of Huber's Butchery",16 May 2024,"S$7.20 (US$5.35) per 120 g; about VND 405,000 per 100 g protein at 26,000 VND per USD (our derivation)","3 percent cultivated chicken, rest plant protein; 28.6 g protein per 100 g",Volume not disclosed; availability announced for rest of 2024; later status not confirmed,NOV-10; NOV-11,VN-adjacent,Medium,revealed,Expert critique: effectively a plant-based product. Per-protein price is inferred.
FSL-003,"Forged cultured quail (parfait, foie gras, other dishes)",Vow,Singapore,cultivated meat,Restaurants (ingredient sold to chefs),April 2024,not retrieved,Cultured Japanese quail cells in fat-rich formats,More than 25000 dishes served April 2024 to August 2025 (company claim); one bagel special sold out three times in launch weekend,NOV-14,VN-adjacent,Low,revealed,No repeat purchase data.
FSL-004,"Forged retail (spread, foie gras, croquettes)",Vow,Australia,cultivated meat,Direct to consumer webshop 'drops'; 12 restaurants in Sydney and Melbourne,October 2025,A$14.99 per 180 g jar; foie gras 5 for A$25; croquettes 20 for A$30,Cultured quail,Sales not disclosed; company claims more than 5000 kg per week production (June 2026) while cutting staff and moving to co-manufacturing,NOV-15; NOV-16,general,Low,revealed,Capacity claims are not sales.
FSL-005,Thin-Cut Steak (Aleph Cuts),Aleph Farms,Singapore,cultivated meat (hybrid),"Foodservice first, retail later",Approval 4 August 2026; launch targeted first half 2027,Not disclosed,10 to 20 percent cultivated Black Angus cells in soy and wheat protein matrix,Not yet on sale; Israeli facility 10 tonnes per year initial capacity; Penang manufacturing partner,NOV-17; NOV-18,VN-adjacent,Medium,revealed,Status only.
FSL-006,Cultivated chicken and duck (Gourmey brand),Parima (merger of Gourmey and Vital Meat),Singapore,cultivated meat,Premium culinary channels planned,Approvals October 2025 (chicken) and April 2026 (duck),Not disclosed,Cultivated chicken and duck cells,No sales reported,NOV-20; NOV-21,VN-adjacent,Medium,revealed,Status only.
FSL-007,Cultivated pet treats and toppers,Friends and Family Pet Food Company,Singapore,cultivated meat (pet food),Website and one premium pet retailer,April 2026,S$14 per 22 g treat pack,Up to 70 percent cultivated meat,"About 200 packs (about 18 kg fresh cultivated meat) sold at Singapore Pet Expo, 3 to 5 April 2026 (company)",NOV-23,VN-adjacent,Low,revealed,Pet channel may reach buyers faster than human food.
FSL-008,Cultivated fish (human food),Umami Bioworks (incl. former Shiok Meats),Singapore,cultivated seafood,Not on sale for humans,"Human food dossier 'final stage' in Singapore, September 2025",n/a,Cultivated fish,No human-food approval on the April 2026 SFA list; pet food launch targeted Q2 2026,NOV-24; NOV-21,VN-adjacent,Medium,revealed,We found no cultivated seafood sold for humans in Asia.
FSL-009,"Cultivated meat, any",All companies,South Korea,cultivated meat,n/a,n/a,n/a,n/a,No approved product named as of July 2026; MFDS creating 'cell-cultured processed foods' category; 10 domestic companies,NOV-25,VN-adjacent,Medium,revealed,Status only.
FSL-010,"Cultivated meat, any",All companies,Japan; China; Thailand,cultivated meat,n/a,n/a,n/a,n/a,No approvals found in trackers updated to December 2025 and August 2026; Aleph Farms plant planned in Thailand with BBGI and Fermbox Bio,NOV-13; NOV-17; NOV-26,VN-adjacent,Medium,revealed,A clean negative from secondary trackers.
