record_id,product,first_buyers,channel,price_target,protein_target,format_and_function,label_and_claims,avoid,demand_evidence,demand_evidence_type,related_plays,cheapest_first_test,source_ids,evidence_label,confidence
TPP-01,"Domestic textured soy or soy-gluten protein (dry granules, slices, chunks)","Chay makers (An Nhien, Au Lac, Thoai An, LC Foods, SG Food) and makers of dry chay pieces already sold to kitchens (Panko, An Nhien); frozen chay co-packers, including retailer co-packers (Cholimex, CJ Cau Tre, Vissan chay lines; GN Foods for Co.op Select); online dry-piece chay shops (Tam Phat, Thien Duc, An Tue, Khanh An); Acecook (noodle garnish); ingredient distributors (Brenntag, VMC, TDGIMEX) for the long tail; contract caterers through HoReCa distributors","Business to business; distributors for small buyers. Best owned by a large chay maker, a group of chay makers, a co-packer or an ingredient distributor, financed with debt and trade finance, not venture equity","At or below Chinese landed textured protein: USD 1.29 to 1.38 per kg in 2025 at the 0% duty that applies under ACFTA and RCEP (2025 FOB USD 1.24 plus 3 to 8% freight and insurance and USD 15 to 40 per t port and inland), about USD 2.0 to 2.1 per kg of protein at 65% protein; India-origin textured soy (USD 0.98 per kg FOB) is a lower reference. No tariff shelter. The margin is set by delivered food-grade defatted soy flour, which must cost below about USD 700 to 940 per t for a 15% margin on a 1 t/h line at 70% utilisation (our calculation)",50 to 70% protein as sold; lets finished chay foods reach 10 to 12 g per 100 g,"Granules of 4 to 7 mm, slices and chunks; 20 to 25 kg bags; rehydration ratio and chewiness to buyer specification; several shapes from one line; extruded from food-grade, low-temperature defatted soy flour","Non-GMO where buyers require it; halal certificate for exporters; certificate of analysis; traceable origin. To count as originating under any trade agreement it must be extruded from soy flour or meal (HS 1208, 2304), not from imported concentrate (2106.10); origin rules give it no export premium","Premium pricing; building a consumer brand before supplying makers; a venture-equity pitch (the return is a commodity spread Chinese exporters can compress, with no intellectual property and a trade-sale exit); sizing a line on the whole 40 kt R1 pool (a soy line serves about 12,800 t of textured-type imports, enough for about one 1 t/h line or two 0.5 t/h lines by 2035)","Revealed: named chay makers buy imported textured soy; China-origin textured protein (HS 2106.10) grew 54% from 2019 to 2025, to 10,201 t, and textured-type imports from China, India and Serbia were 12,832 t in 2025 (the near tripling of all plant-protein imports is mostly HS 3504 at about USD 1 per kg); every high-protein local chay product uses imported textured soy or gluten; small online chay shops sold about 40,700 kg of dry pieces on Lazada (cumulative counters). Clean negative: export origin rules create no customer for domestic textured soy",revealed,T1,"Five delivered quotes for food-grade defatted soy flour (the input that decides the margin) and three for Chinese plain textured soy, published as a price sheet with the breakeven (DMV-21); then trials and conditional orders from at least three buyers totalling 2,000 t a year or more; declaration-level customs data to size the textured share of HS 2106.10 (DMV-02)",BUY-02; BUY-07; FORM-01; TIC-12; TIC-13; TIC-14; FTR-32; ORG-01; CPC-12; CPC-15; MKT-03,VN-direct,Medium
TPP-02,"Higher-protein chay foods (chả, giò, nem, dumplings, spring rolls)","Consumers through incumbent chay brands and through retailer private label made by certified co-packers: Saigon Co.op (Co.op Select, all five frozen chay dishes made by GN Foods) and Lotte Mart (Choice L)","Frozen chay sections of Bach Hoa Xanh, WinCommerce, Co.op, Lotte and GO!; retailer private label; lunar-calendar foodservice; diaspora export","Shelf price inside today's range (supermarket VND 56,000 to 173,000 per kg; market VND 60,000 to 90,000 per kg for giò and nem; private-label chay VND 107,800 to 141,500 per kg), which puts protein near tofu at VND 50,000 to 75,000 per 100 g",10 to 12 g per 100 g (today's median is 4.7 g); 10 g per 100 g is the high-protein claim condition,Familiar Vietnamese formats; frozen stock for two to three times normal demand in lunar months 1 and 7,"Print 10 g đạm/100 g on the front: a high-protein (cao đạm) claim needs 10 g per 100 g and a source claim 5 g (TCVN 14429:2025, voluntary; the per 100 kcal route lets watery foods claim high at 4 to 5 g per 100 g); the claim needs no registration or advertising approval; no function claims; short ingredient list, registered maker and full label; verified meat-free as a secondary reassurance, bought as a PCR screen; allium-free and egg-free variants for strict buyers","Lab or future-of-meat framing; additive-heavy recipes; price rises above the meat version; leading on meat-free authenticity (fake chay is a latent rumour: no confirmed case from 2015 to 2026); borax, microbial or unlabelled-origin risks, the live chay trust issues","Revealed: signed frozen chay aisles; chay sales two to three times normal in specialist channels in lunar month 7; Vissan's chay line 38% cheaper than its meat version (other same-brand pairs low confidence, from 52% cheaper to 19% dearer); no chay food carries a numeric protein claim or a protein claim in its name, in stores or on Lazada, yet 20 of 43 audited foods already meet the source-of-protein condition per 100 g and 7 the high condition; Co.op Select chay is starch and vegetable led with no protein claim",revealed; inferred,T1; T9,Pitch a 10 g per 100 g version of an existing Co.op Select chay SKU with GN Foods through Co.op's supplier portal (answer within 10 working days); then reformulate one top branded SKU for Vu Lan and run an in-store test in 20 minimarts measuring repeat,FORM-01; CHY-16; CHY-20; CHY-52; CPC-15; CPC-17; AIB-28; LBL-03; TRU-24; MKT-03,VN-direct,Medium
TPP-03,"Hybrid extender for processed meat (industrial xúc xích, meatballs, dumpling and xíu mại fillings, nuggets, chả; giò lụa later)","Vissan, Masan MEATLife, C.P. Vietnam (also the owner of Meat Zero), CJ Foods Vietnam, SG Food; contract caterers for minced dishes",Business to business; then the processors' own retail and foodservice routes,"At or below hydrated soy for the extension job: about USD 2.5 to 2.7 per kg of protein (VND 10,000 to 15,000 per kg hydrated to 18% protein; about USD 0.7 to 1.2 per kg dry at 45% protein). Soy extension already saves VND 9,100 to 16,600 per kg of chả lụa at 20% replacement at every hog price since 2019, so lean meat (trimmings VND 83,000 to 141,000 per kg, 2019 to 2026; frozen minced pork VND 114,450 to 121,800 per kg delivered to kitchens, September 2026) is a ceiling that never binds. A higher price needs proof of more undetected replacement than soy (1.2 to 1.4 times the soy level at egg-white parity) or a label benefit; for the binder job see TPP-06",Finished product at 10 g or more per 100 g,"Replace 10 to 20% of the meat in fine emulsions (xúc xích, chả, giò) as a fine isolate, concentrate or paste, not granules; up to 30% in coarse mince (xíu mại, fillings, nuggets); 50% is not supported for pork products. Gel strength, water and fat binding, emulsion stability through retort; fungal or plant","No national standard sets a minimum meat content (TCVN 7048:2020, 7049:2020, 7050:2020), so a blend keeps the meat product name; a meat named in the product name must be quantified (Decree 37/2026, carrying Decree 43/2017 Art 13(4)); Vissan already sells meat-named products at 27 to 65% named lean. Name the plant or fungal part as a culinary or health ingredient (đạm nấm, nấm hương, hạt sen) and state the meat share only as the label law requires; no imitation claims",Positioning against premium lines sold on meat content; độn (filler) and 'x% meat replaced' wording; 'just like real meat' claims in a market with fake-meat crime stories; giò lụa as the first test (its public quality test is the absence of starch),"Revealed: 31% of Vissan meat formulations already list soy protein; seven commercial Vietnamese emulsion sausages contained soy and were as well liked as alternatives; Masan's cây thịt thật lists soy protein and draws no observed penalty; value lines already cut cost with chicken, skin, starch and water. Tested (VN-adjacent): Singapore blind test, most tasters preferred about 75% animal. A 20 to 30% soy extender keeps dish DIAAS at 97 or more",revealed; tested,T9; T1,"Blind test at equal processor saving against the processor's own soy-extended formula (for example 25% fungal against 20% soy), in industrial xúc xích and one coarse filling, with an informed arm that names the fungal ingredient on the front; then one processor pilot in a value SKU",BUY-05; NOV-37; HXE-01; HXE-04; HXE-10; DIE-25; LBL-06; LBL-11; TRU-02; TRU-03; NQR-05; CPC-12,VN-direct,Medium
TPP-04,Canteen protein ingredient and dish base,"Contract caterers (Haseca reports more than 200,000 meals a day; others serve 30,000 to 120,000) reached through makers of dry chay pieces and HoReCa distributors (Kamereo, MM Mega Market); factory kitchens. Later: school and hospital caterers, and self-run upland boarding-school kitchens on Decree 66, 188 and 339 budgets","Business to business, through chay-piece makers and HoReCa distributors","Beat domestic dry soy-gluten pieces on cost per gram of protein or on function. Per 20 g of protein kitchens pay about VND 4,000 to 5,100 for dry soy-gluten pieces, VND 7,200 to 9,500 for tofu, VND 8,800 for eggs, VND 9,600 for chicken breast and VND 13,900 for minced pork (Kamereo, September 2026, our calculation), inside a protein-dish budget of VND 7,500 to 14,000; in the school plant slot, beat 80 g of tofu (VND 1,700 to 2,600 for about 8.7 g of protein)",About 20 g of protein per adult dish (main-dish portions of 90 to 120 g); school variant 10 to 15 g per child serving with a DIAAS of at least 75 (young-child pattern) or a meat blend,"Dry, bulk-cook tolerant (holding for two hours, reheating, broth absorption) for braised dishes, meatballs and stuffed tofu; fits the minced or processed meat slot (17% of canteen protein dishes) as a blend and the tofu slot (9%); school variant at most 300 mg sodium per serving and 3 to 5 mg added zinc if it replaces meat or fish","Food-safety certificate, clear origin, labelled packaging with a use-by date (school tender and Directive 33/CT-TTg documents); business registration and school supply experience for commune supplier notices; no children or health claims","Branded products and meat-replacement claims in schools; imported branded analogues through B2B distributors (the CP Meat Zero precedent); branded retail analogues (VND 22,400 per 20 g of protein); pitching a meatless lunch to upland kitchens, whose lunches carry meat almost every day","Revealed: up to 1.2 billion industrial-park meals a year at VND 20,000 to 35,000 (Hai Phong 2026 average about VND 27,000 to 31,000); caterers' published menus lead with pork 33%, fish 26% and chicken 13%, put tofu in 9% and name no textured soy; tofu and dry soy-gluten pieces already sell to kitchens through Kamereo; school lunches carry plant protein on 15.1% of days, mostly tofu beside meat; upland boarding lunches and dinners carried meat, fish or egg in 240 of 242 meals",revealed; inferred,T1,"Canteen trial with one large caterer (DMV-05): an extender or ingredient arm in minced dishes and a school arm serving a textured-soy or blended dish in one minced dish and in the plant slot, logging dish species, served portions, plate waste and intake the next day",CHN-37; CHN-41; CPC-12; UPL-27; UPL-32; UPL-34; PMR-07; PMR-24; AIB-36; NQR-01; FORM-01,VN-direct,Low
TPP-05,Non-soy plant protein isolate for plant milks (rice or mung bean),"Vinamilk, Vinasoy, Nutifood, TH",Business to business; starch co-product to noodle makers,"Between Chinese pea protein (USD 2 to 3 per kg) and Western pea protein (USD 6.75 to 8.50 per kg); the band is unprotected, since Chinese, French and Canadian pea protein enter at 0% (US pea 3%); yeast protein (Angel Yeast, marketed by ACC) is a new non-soy competitor","Isolate of 80 to 88% protein, enabling drinks with 5 g or more per 100 ml","Soluble, low viscosity, stable through UHT, neutral flavour; for host drinks designed at or below 5 g total sugar per 100 ml (the reference drink, Vinamilk Sữa Hạt Cao Đạm Ít Đường with 6.5% added sugar, would pay the excise from 2027 if plant milks are in scope)","Soy-free, non-GMO and glyphosate-free documents; complete amino-acid profile. The one protein claim on the audited shelf is at 5.0 g per 100 ml; sữa đậu nành requires 2.0 g per 100 ml (TCVN 12443:2018); no rule reserves sữa for dairy",Pricing against soy isolate; ignoring the starch co-product; host drinks above 5 g total sugar per 100 ml (8% excise from 2027 and 10% from 2028 if plant milks are ruled in scope; dairy is exempt),"Revealed: Vinamilk's high-protein nut milk uses pea protein (9 g per 180 ml), is sold as soy-free and sells as a premium niche: about 70,300 L (about 3.5 t of protein) cumulative at Vinamilk's Lazada store by 25 September 2026, about one-eighth of the standard line by litres; GoldSoy Giau Dam soy milk sells to kitchens through Kamereo; Acecook buys pea and mung bean starch. No commitment pull: plant-based is 1.30% of Vinamilk's range with no target (FAIRR 2024)",revealed,T10,Functional samples to two dairy research teams; starch offtake talks with a noodle maker,BUY-16; BUY-09; BUY-22; CON-37; FTR-02; FTR-32; LBL-16; MKT-03; ECR-06; AFN-21; CPC-21,VN-direct,Medium
TPP-06,"Fungal biomass functional ingredient (binding, texture, flavour)","Bakery; seasoning makers (Ajinomoto Vietnam, Cholimex); meat processors",Business to business,"Against egg white (about USD 3.3 per kg at 45% protein) and casein or whey concentrate (about USD 3.9 to 4.6 per kg), not against soy (about USD 1 per kg), and above inactive yeast, which Vietnam exports at about USD 1.4 per kg. Angel Yeast yeast protein (55 to 90% protein, company claim; price not public), marketed to Vietnamese makers by ACC since May 2025, is a direct competitor",About 45% protein on a dry basis,Clean label with few additives; umami and binding function,Lead with lên men (fermented) and the fungal species or đạm nấm (mushroom protein),Nhân tạo (artificial) or giả (fake) wording; competing with soy on protein cost,"Revealed: lên men used as a positive claim by incumbents; a Chinese yeast protein is marketed to Vietnamese bakery, beverage, dairy and plant-based makers through ACC; no named Vietnamese user. Stated: 46% of young urban respondents would try a brewer's yeast protein bar; no processor interest found",revealed; stated,T9; T5,"Application trials with one bakery and one seasoning maker, benchmarking samples against yeast protein as well as egg white",BUY-02; NOV-63; RD-32; NOV-65; AIS-38; CPC-21; FBA-19,VN-direct,Low
TPP-07,"Precision-fermented specialty protein (lactoferrin, specialty whey, sweet proteins)","VitaDairy, Nutifood, Vinamilk specialty nutrition; regional buyers for export",Business to business,"Against conventional lactoferrin (about USD 800 per kg, one claim) and whey protein concentrate (USD 8 to 14 per kg)",Infant and medical grade,Dossiers for infant and medical nutrition,"GMO status of the high-inclusion uses must be settled first; buyers market non-GMO. The GMO label applies only above 5% of ingredients and not where the gene or its product cannot be detected, so lactoferrin-type uses (about 0.08% of a formula) need no mandatory GMO label; the clash is with voluntary non-GMO claims",High-inclusion consumer products before the GMO question is settled; non-GMO claims on products that contain it,Revealed: lactoferrin formulas marketed by three firms in 2025 to 2026; tested: 84% premium for non-GM soymilk,revealed; tested,T7,Legal opinion on whether a recombinant protein identical to the native protein is a detectable product of the modified gene (Joint Circular 45/2015 Art 1(2)(a)) and whether a product containing one below 5% may still claim non-GMO; one buyer specification,NOV-59; NOV-60; NOV-61; NOV-08; NOV-45; LBL-10; LBL-25,VN-direct,Low
TPP-08,"Export plant-based wrapped foods (vegetable or plant-protein dumplings, buns, rice-paper and spring rolls), and cashew or coconut drinks and spreads","EU and UK importers and brand owners of Asian wrapped foods that hold retailer contracts (Lidl's 2025 food supplier list has no Asian suppliers but names European importers and traders), and brand owners already making wrapped foods in Vietnam (CJ's Kizuna plant; the co-packer of Australia's Mr Chen's)","Export, business to business, through importers and brand owners",Near European private-label prices (in France plant-based meat still costs 25% more per kg than meat); the EU duty saved on a vegetable or plant-protein dumpling is 9.5 to 12.9% of value,Protein claims where true (Vietnam-origin vegetable wrapped foods abroad carry about 4 to 5.4 g per 100 g),"Frozen or ambient; simple labels; a vegetable or plant-protein version of a dumpling, bun or rice-paper roll these buyers already take from Vietnam. For EU buyers, wrappers of Vietnamese rice flour or cassava starch, or wheat flour at most 20% of weight; fillings may use imported textured soy freely in dumplings, and soy isolate or gluten freely in 2106 foods. EU-bound lines are seafood or plant-filled, since Vietnam is not listed for EU entry of meat products",Descriptive names without the 32 restricted EU meat terms or dairy names; IFS Food or BRCGS certification (Lidl requires IFS or BRC with annual audits; 74.8% of Carrefour-brand plants were IFS or BRC certified in 2025); FSSC 22000 alone is not what these buyers name,"US-first plant-based meat exports (12.5% extra tariff, falling demand); plant-based seafood; EU-bound wheat-wrapper foods with more than 20% non-originating flour or starch by weight (for the UK claim CPTPP instead); 2106 foods with more than 10% imported textured soy by weight or value; plain textured soy for Japan and Korea","Revealed: Vietnam exported USD 128.2 million of stuffed pasta (30,013 t) in 2023, about 250 times its textured-protein exports, and out-supplies China and Thailand in the UK, US and Korea; Japan charges Vietnam 3.8% on dumplings against 21.3% for China and Thailand, Canada nothing against 11%, the EU and UK 0%; retailer protein targets exist but progress is flat and is met with European-made pulses and hybrids; CJ will supply Europe from Hungary from late 2026",revealed,T1 (indirect),"Quote requests for one vegetable and one plant-protein wrapped SKU from three EU importers of Asian frozen foods and two brand owners already sourcing wrapped foods from Vietnam, with their certification and origin requirements (DMV-11)",XBA-29; XBA-07; XBA-20; XBA-04; XBA-26; ORG-01; ORG-02; ORG-05; ORG-10; EXP-23; EXP-24; EXP-25,VN-direct,Medium
TPP-09,"Diaspora protein-upgraded chay (frozen rolls, chả chay, pho bases)","Asian grocers in the US, Australia and Europe",Export,USD 3.50 to 10 a pack,10 g or more per 100 g,Frozen; existing chay formats,US tariff risk (Section 301 surcharge of 12.5% since 24 July 2026); country-of-origin labelling,Building a plant on this channel alone,"Revealed: Vietnam-made vegetarian products listed by a US Asian online grocer, none marketed on protein; An Nhien dry soy chay (48 to 61 g protein per 100 g, soy-isolate based) and Au Lac analogues (40 to 42 g) are recorded in France, Germany, Spain, Norway and Colombia, so the protein gap is in frozen formats, not dry pieces",revealed,T1,Listing test with one diaspora importer,EXP-37; EXP-22; XBA-26; XBA-27,VN-direct,Medium
TPP-10,Cultivated meat or seafood as a hybrid ingredient or showcase,None domestic before the mid-2030s; seafood exporters as research partners only (their earlier cultivated-seafood stakes have gone quiet); premium restaurants abroad,Research and export,"Not applicable today (Singapore's 3% cultivated retail product is about VND 405,000 per 100 g of protein)",Not applicable,"3 to 20% cells in a plant matrix, as sold in Singapore",Avoid thịt nhân tạo; not chay; halal conditions for export,Premium consumer launch in Vietnam,"Revealed: tens of thousands of servings in Singapore in almost six years; regulator cites weak acceptance; Avant's Singapore unit was wound up in January 2026, Umami Bioworks sells cultivated seafood only as pet food and skincare inputs, and Vow moved to co-manufacturing. Stated: Vietnamese respondents among the more open in Asia",revealed; stated,T8,"None for demand; research partnerships only, with no active human-food cultivated-seafood partner named",NOV-10; NOV-18; NOV-22; NOV-74; NOV-01; AIS-34; AIS-35; AIS-37,VN-adjacent,Low
