source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
UPL-01,"Trường PTDT bán trú THCS Mường Nhé. Thực đơn ăn bán trú tuần 3 tháng 9/2026 (21 to 30 Sep 2026), with cost sheet. Posted 18 Sep 2026.",Thực đơn ăn bán trú tuần 3 tháng 9/2026,Muong Nhe PTDTBT lower secondary school (Dien Bien),2026-09-18,https://thcsmuongnhe.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-an-ban-tru-tuan-3-thang-9-2026-171.html,,other,2026-09-25,Scanned PDF (4 pages) read as images. 759 boarders; three meals; menu plus purchase quantities and unit prices by meal. School website on the district education platform.
UPL-02,Trường PTDT bán trú THCS Mường Nhé. Thực đơn ăn bán trú tuần 1 and tuần 2 tháng 9/2026 (6 to 20 Sep 2026). Posted 6 and 12 Sep 2026.,"Thực đơn ăn bán trú tuần 1, tuần 2 tháng 9/2026",Muong Nhe PTDTBT lower secondary school (Dien Bien),2026-09-12,https://thcsmuongnhe.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-ban-tru-tuan-2-thang-9-2026-170.html,,other,2026-09-25,Week 1: https://thcsmuongnhe.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-an-ban-tru-tuan-1-thang-9-nam-2026-168.html . Scanned PDFs read as images.
UPL-03,Trường PTDT bán trú THCS Mường Nhé. Thực đơn ăn HS bán trú tuần 4 tháng 3/2026 (23 to 31 Mar 2026) and tuần 3 tháng 5/2026 (18 to 23 May 2026).,Thực đơn ăn HS bán trú tuần 4 tháng 3 và tuần 3 tháng 5 năm 2026,Muong Nhe PTDTBT lower secondary school (Dien Bien),2026-05-18,https://thcsmuongnhe.muongnhe.edu.vn/index.php?language=vi&nv=news&op=ban-tin-nha-truong/thuc-don-an-hs-ban-tru-tuan-3-thang-5-nam-2026-164.html,,other,2026-09-25,March week: https://thcsmuongnhe.muongnhe.edu.vn/index.php?language=vi&nv=news&op=ban-tin-nha-truong/thuc-don-an-hs-ban-tru-tuan-4-thang-3-nam-2026-150.html ; 747 and 743 boarders.
UPL-04,"Trường PTDT bán trú THCS Mường Nhé. Thực đơn ăn trưa theo NĐ 339/2025 tuần 3 tháng 9/2026 (21 to 30 Sep 2026), with public cost sheet. Posted 18 Sep 2026.",Công khai thực đơn ăn trưa theo Nghị định 339/2025 tháng 9 năm 2026,Muong Nhe PTDTBT lower secondary school (Dien Bien),2026-09-18,https://thcsmuongnhe.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-an-trua-tuan-3-thang-9-2026-173.html,,other,2026-09-25,"14 lunch-only pupils under Decree 339; pork 1.5 to 2.5 kg and tofu 1.288 to 1.4 kg a day; rice supplied in kind. Weeks 1 and 2 (posts 169, 172) show the same menu."
UPL-05,Trường PTDTBT Tiểu học số 2 Na Tông. Thực đơn ăn bán trú tháng 3 năm học 2025 - 2026 (1 to 31 Mar 2026).,Thực đơn ăn bán trú tháng 3 năm học 2025-2026,"Na Tong No. 2 PTDTBT primary school (Nua Ngam, Dien Bien)",2026-03-01,https://thso2natong.huyendienbien.edu.vn/index.php?language=vi&nv=news&op=ba-cong-khai/thuc-don-an-ban-tru-thang-3-nam-hoc-2025-2026-151.html,,other,2026-09-25,Text PDF; fixed weekly cycle repeated each week of March.
UPL-06,Trường PTDTBT Tiểu học Mường Anh. Thực đơn bán trú từ ngày 11-16 tháng 01 năm 2026.,Thực đơn bán trú từ ngày 11-16 tháng 01 năm 2026,Muong Anh PTDTBT primary school (Dien Bien),2026-01-10,https://thmuonganh.muongcha.edu.vn/index.php?language=vi&nv=laws&op=detail/Thuc-don-ban-tru-tu-ngay-11-16-thang-01-nam-2026-174,,other,2026-09-25,Scanned PDF; page 1 of 2 read (to Friday lunch).
UPL-07,"Trường PTDTBT TH Leng Su Sìn. Bảng thực đơn tuần trong tháng của học sinh bán trú (255 HS), 20 to 30 Jan 2026, with cost sheet.",Thực đơn tuần của học sinh bán trú,"Leng Su Sin PTDTBT primary school (Sin Thau, Dien Bien)",2026-01-20,https://thlengsusin.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-tuan-cua-hsbt-60.html,,other,2026-09-25,"Scanned PDF; stated VND 45,490 a pupil a day (Mon to Thu); pork 28 to 53.3 kg a day for 255 pupils."
UPL-08,"Trường PTDTBT TH Leng Su Sìn. Bảng thực đơn tuần của học sinh Dự án Nuôi em (143 em), 20 to 30 Jan 2026, with cost sheet.",Thực đơn tuần của học sinh Dự án Nuôi em,"Leng Su Sin PTDTBT primary school (Sin Thau, Dien Bien)",2026-01-21,https://thlengsusin.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-tuan-cua-hoc-sinh-du-an-nuoi-em-61.html,,other,2026-09-25,"Charity-funded lunches at four satellite sites; VND 1,144,000 a day for 143 pupils (VND 8,000 each)."
UPL-09,"Trường PTDTBT THCS Leng Su Sìn. Bảng thực đơn tuần 26 của học sinh bán trú (219 học sinh), 2 to 7 Mar 2026, with cost sheet.",Thực đơn tuần 26,"Leng Su Sin PTDTBT lower secondary school (Sin Thau, Dien Bien)",2026-03-02,https://thcslengsusin.muongnhe.edu.vn/index.php?language=vi&nv=news&op=cong-khai/thuc-don-tuan-26-188.html,,other,2026-09-25,"Text PDF; stated VND 51,735 to 51,747 a pupil a day; pork 42 to 47 kg and tofu 20 to 21 kg a day."
UPL-10,"Trường PTDTBT TH và THCS Sen Thượng. Thực đơn ăn tháng 01/2026 của học sinh bán trú (67 em), with cost sheet.",Thực đơn ăn tháng 1/2026,"Sen Thuong PTDTBT primary and lower secondary school (Sin Thau, Dien Bien)",2026-01-04,https://thcssenthuong.muongnhe.edu.vn/index.php?language=vi&nv=laws&op=detail/Thuc-don-an-thang-1-2026-15,,other,2026-09-25,"Scanned PDF, 7 pages; header misprints the year as 2025; first week (5 to 9 Jan 2026) coded."
