topic,claim_a,claim_b,position_taken,notes
Number of Buddhists,2019 census: 4.6 million Buddhists (CHY-08),2023 White Paper: more than 14 million registered Buddhists (CHY-07); Pew 2023: 38% of adults identify as Buddhist (CHY-06),Use Pew 38% for self-identification; none measures chay practice,"Definitions differ: census self-declaration contested, White Paper counts registered followers, Pew is a probability sample of self-identity"
Vu Lan 2026 demand,Hanoi sellers: volume 2 to 3 times normal (CHY-20),Hai Phong restaurant: orders down 20 to 30% on 2025 (CHY-21); Ho Chi Minh City: buying 'slightly up' (CHY-19),"Both true: the seasonal multiple held, but year-on-year volume softened as costs rose",Compare a multiple against normal days with a change against last year; they are not the same measure
Direction of chay taste: mock meat versus natural,Ho Chi Minh City 2024: mock meats were best sellers (CHY-26); periodic eaters prefer processed chay (CHY-09),"Hanoi 2026: buyers prefer mushrooms, lotus, beans, vegetables over industrial chay (CHY-20; CHY-21)",Treat as regional plus segment difference: southern periodic mass market buys mock meat; northern and strict buyers lean natural,All sources are anecdotal press or observation; needs measured sales by region
Tofu consumption volume,"USSEC: tofu 11% of 286,000 t soy food in 2023, about 31,500 t (CHY-46)",Craft village evidence: Hong Ha commune alone processes 20 to 30 t beans a day (CHY-48); Vong La over 80% of households at 150 kg beans a day (CHY-49),"Prefer USDA 550,000 t soybean food use as the anchor; treat USSEC tofu figure as industrial tofu only",USSEC basis unstated; craft data are old press
Foody chay listing counts,"B-Company: 2,737 stores in 51 provinces, May 2024 (CHY-14)","Our read: at least 3,275 in 23 former provinces, September 2026 (CHY-31)",Use our direct read with caveats; do not infer outlet growth,Listings are cumulative; B-Company category definition unknown
Buddhist view of mock meat,Thich Thanh Huan and Thich Minh Thanh: acceptable skilful means that reduces killing (CHY-53; CHY-55),Duong Lu Dien: mock meat damages compassion and keeps attachment to meat (CHY-54),Permissive on balance; no binding Sangha ruling found,"Both are opinion pieces or quotes, not Sangha directives"
Whether the five pungent plants rule applies to chay eaters,"Giac Ngo advisory: binds Bodhisattva precept holders, not lay lunar-day observers (CHY-52)",Academic paper: Buddhist vegetarian diet excludes the five pungent plants (CHY-10),Follow Giac Ngo for lay practice; mainstream products already use alliums (FORM-01),The academic paper states the strict ideal without distinguishing lay practice
Rakuten 2024 weekly consumption share,B-Company article 1: 45% several times a week (CHY-13),B-Company article 2: 44% several times a week (CHY-14),Use neither as verified; underlying Statista values are paywalled; 2021 value is 44% (CHY-02),Possible confusion with the 2021 figure
Chay price versus meat,Street chay and supermarket đồ chay are cheaper than meat (CHY-38; FORM-01),Famous chay restaurants are more expensive than meat restaurants (CHY-37),"Both true by segment: mass chay below meat, premium chay above","Segment, not contradiction"
Vietnamese vegetarian share of population,VTV and VnEconomy: about 10% (CHY-15; CHY-18),Rakuten 2021: 10% 'only consume plant-based food' in an online panel (CHY-02); no probability survey exists,Reject the 10% population claim; treat Rakuten as a panel figure,Coincidence of 10% figures may explain the press claim
