factor,value,low,high,unit,basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
protein_per_kg_carcass,0.15,,,kg protein per kg carcass weight,"Package factor (all meat), used to turn displaced protein into carcass",DMA-001; BLA-044,VN-direct,Low,inferred,GLEAM implies 0.118 (pig) and 0.139 (chicken); using those would raise head counts and CO2e by 15 to 27%.
carcass_per_pig,66,65,67,kg carcass per head,"FAOSTAT yield per animal slaughtered, Viet Nam, 2022 to 2024",FUF-03,VN-direct,Medium,revealed,2023 and 2024 values flagged estimated.
carcass_per_chicken,2.1,1.833,2.358,kg carcass per head,"FAOSTAT 2022 (2.129), 2023 (2.358), 2024 (1.833)",FUF-03,VN-direct,Low,revealed,Volatile series; the package's poultry carcass basis implies about 2.2 kg per bird.
carcass_per_duck,1.2,1.2,1.341,kg carcass per head,FAOSTAT 2022 to 2024,FUF-03,VN-direct,Low,revealed,
carcass_per_cattle,148,140,148,kg carcass per head,FAOSTAT 2022 to 2024,FUF-03,VN-direct,Medium,revealed,Imported beef comes from heavier animals; head counts for ruminants are upper bounds.
carcass_per_buffalo,196,171,196,kg carcass per head,FAOSTAT 2022 to 2024,FUF-03,VN-direct,Medium,revealed,
chicken_share_of_poultry_meat,0.884,,,share of carcass,"FAOSTAT 2024 production: chickens 1,259,484 t; ducks 164,682 t",FUF-03,VN-direct,Medium,revealed,
cattle_share_of_ruminant_meat,0.797,,,share of carcass,"FAOSTAT 2024 production: cattle 270,000 t; buffalo 68,900 t",FUF-03,VN-direct,Medium,revealed,"Goat meat (24,593 t) excluded, as in the balance model."
national_meat_mix_2030,pork 57.4%; poultry 33.9%; ruminant 8.7%,,,share of carcass consumption,Balance model S-BASE per person demand by species,balance_outputs.csv; QNT-01,VN-direct,Medium,inferred,"Used for R2, R4 and R5."
national_meat_mix_2035,pork 53.6%; poultry 37.9%; ruminant 8.5%,,,share of carcass consumption,Balance model S-BASE,balance_outputs.csv; QNT-01,VN-direct,Medium,inferred,
national_meat_mix_2050,pork 51.6%; poultry 39.1%; ruminant 9.2%,,,share of carcass consumption,Balance model S-BASE,balance_outputs.csv; QNT-01,VN-direct,Low,inferred,
processed_meat_mix_r3,pork 75%; poultry 15%; ruminant 10%,,,share of carcass in processed meat,"Our assumption, informed by the Vissan label audit: first-listed meat in 80 non-chay SKUs is pork in 50, beef in 18, chicken in 6, fish in 6",vissan_label_audit.csv (BUY-05),VN-direct,Low,inferred,"SKU counts, not volumes. The ruminant share drives R3 CO2e."
ef_pork_cw,6.15,5.37,7.94,kg CO2e per kg carcass,"GLEAM, E and SE Asia industrial pigs, humid zone, average (10% lowest, 10% highest); reference year 2005",FUF-04,VN-adjacent,Medium,inferred,"Viet Nam Monte Carlo means: backyard 6.8, intermediate 5.6. Includes feed, soy land-use change, manure, energy, post-farm."
ef_poultry_cw,5.18,4.19,6.84,kg CO2e per kg carcass,"GLEAM, E and SE Asia broilers, humid zone; ducks assumed equal",FUF-04,VN-adjacent,Medium,inferred,Backyard chickens Viet Nam 40.3 kg CO2e per kg protein.
ef_ruminant_cw,54.5,40.1,81.0,kg CO2e per kg carcass,"GLEAM, E and SE Asia mixed beef, humid zone",FUF-05,VN-adjacent,Medium,inferred,"Buffalo meat, E and SE Asia average 70.2; FAOSTAT farm-gate Viet Nam 2023: cattle 40.0, buffalo 65.0 (FUF-10)."
ef_meat_per_protein_alternative,pig 76.1; poultry 57.0; beef herd 498.9,,,kg CO2e per kg protein,Poore and Nemecek global averages via Our World in Data; used for the high bound,FUF-07,general,Medium,inferred,Protein basis; about 1.6 times the GLEAM carcass-basis result for the 2035 mix.
ef_textured_soy_protein,8.36,1.31,19.75,kg CO2e per kg protein,Central: Poore and Nemecek 'other pulses' as proxy (our assumption); low: feed-grade soy protein concentrate 0.851 kg CO2e per kg at 65% protein; high: tofu,FUF-07; FUF-08,general,Low,inferred,No food-grade textured soy LCA found.
ef_fungal_biomass_protein,11.7,3.8,38.4,kg CO2e per kg protein,Package estimate for cassava-based fungal protein on the 2023 Vietnamese grid (3.8 to 11.7); literature mycoprotein 15 to 38.4,app-v-frontier-tech (ECF-25; ECF-26); QNT-10,VN-direct,Low,inferred,Sensitivity only.
protein_per_canteen_dish,20,15,25,g protein,Package assumption,DMA-083; DMA-187; DMA-188,VN-direct,Low,inferred,
canteen_net_displacement,0.8,0.5,1.0,kg meat protein removed per kg protein supplied,Package assumption,DMA-114; DMA-183; DMA-184; GLB-39,general,Low,inferred,
import_unit_value_plant_protein,1.1,0.9,1.3,USD per kg product,"Unit value of plant-protein shipments from China to Vietnam, 2019 to 2025 (package ch26)",BUY-02,VN-direct,Medium,revealed,Midpoint used for R1 gross import value.
