fact,part_vi_claim_affected,where,effect,source_ids,evidence_label,confidence,demand_evidence_type
"MOH Decision 3958/QD-BYT (25 Dec 2025) sets national school-meal nutrition guidance: protein 13 to 20% of energy; lunch 30 to 40% of daily energy; animal protein at least 4 to 5 days a week alternating with plant protein (legumes, tofu) at least twice a week; limit processed meats and sausages; prefer local and fortified foods; menu software to be updated. No animal share of protein target.",School meals are 'guided by an old target to raise the animal share of children's protein'; a plant protein in schools 'runs against the stated target'; DMV-17 asks for guidance on a protein-quality basis,ch25 summary and 25.3; brief-policy 'Public meals'; ch29.4 DMV-17; app-ah school assumptions,contradicts,APR-04,VN-direct,High,stated
"Food Safety Law (amended): NA Standing Committee on 24 Sep 2026 agreed first comments at the October 2026 session and consideration for passage at the May 2027 session. Draft has 76 articles in 9 chapters, risk-based classification, traceability for high-risk foods and duties for non-commercial collective meal providers.",Food Safety Law 'expected before the National Assembly in late 2026' with the key step 'in the October to November 2026 session',brief-policy; brief-investors item 6; brief-manufacturers item 5; ch29.6,updates,APR-07; APR-08,VN-direct,Medium,stated
"Decision 973/QD-TTg (1 Jun 2026), School Health Programme 2026 to 2035, requires rules on school nutrition education and bán trú meal organisation; MOET plans a unified national school nutrition menu; Resolution 71-NQ/TW (22 Aug 2025) requires legal rules to improve school nutrition.","Part VI treats school meals as price-capped and in a trust crisis, with no rule-making window noted",ch25.3; ch29.4; brief-policy,adds,APR-12; APR-13; APR-06,VN-direct,Medium,stated
"Decree 339/2025/ND-CP (Dec 2025): pupils in land-border communes receive VND 450,000 a month and 8 kg of rice a month for up to 9 months; schools receive VND 2,369,000 a month per 45 pupils eating together. About VND 20,500 to 22,500 per school day at 20 to 22 school days a month (our calculation).",Border commune lunch support: 'Amounts and pupil numbers not stated in source',meal_programmes.csv INS-009; app-ad AD.4,updates,APR-09,VN-direct,High,revealed
"MOH Ten tips to 2030 (Decision 3594/QD-BYT, 29 Nov 2024): combine animal and plant foods; eat fish, poultry and nuts, seeds and legumes daily; eat red meat in moderation. SEA review translates it as 'limit red meat consumption'.",Part VI cites the national meat recommendation (50 to 80 g) from 2021 press and says the health reason to eat less meat comes from 'official messaging'; it does not cite current dietary guidance,ch21.1; ch21.6; brief-policy,adds,APR-17; APR-18,VN-direct,High,stated
"MOH Decision 1982/QD-BYT (1 Jul 2026), under the Law on Disease Prevention 114/2025/QH15 (in force 1 Jul 2026): adults to use diverse animal and plant protein, prioritising fish, lean meat, eggs, milk and legumes, and limit processed foods; Chapter V sets shift meals for workers to follow the Ten tips, the RNI (Decision 116/QD-VDD, 12 Feb 2026) and NIN shift-meal guidance.","Factory canteens are the largest price-set protein channel, analysed on budgets only; no nutrition rule for shift meals noted",ch25.3; TPP-04; brief-policy,adds,APR-16; APR-14; APR-15,VN-direct,High,stated
"Neither the National Nutrition Strategy (Decision 02/QD-TTg) nor the food systems action plan (Decision 300/QD-TTg) sets any target on meat intake, plant protein or diet shift. Decision 02's operative text contains no word for protein, meat, plant or legumes. They do set: 90% urban and 80% rural schools with MOH-compliant menus by 2030; worker nutrition in industrial parks (MOLISA); markets for 'healthy foods' (MOIT); food balance sheets to provincial level (MAE); healthy, environmentally responsible eating (MOH).","Part V: 'The nutrition, health and food-systems instruments set no protein target and do not mention plant-based or new foods'. Part VI does not use these non-numeric hooks",app-y 'No protein-intake norm'; brief-policy; ch20 robust move on a national protein and feed balance,strengthens,APR-01; APR-02; APR-03,VN-direct,High,stated
"Livestock strategy (Decision 1520/QD-TTg) targets 58 to 62 kg of carcass meat per person, 220 to 225 eggs and 24 to 26 kg of fresh milk per person by 2030. FAO 2023 meat supply of 60.5 kg is already within the range.","Part VI compares meat intake with MOH guidance but not with MAE's per-person meat target, so the policy tension between ministries is not shown",ch21.1; brief-policy,adds,APR-10,VN-direct,High,stated
"Dairy strategy (Decision 309/QD-TTg, in force 23 Feb 2026): about 40 litres of milk per person a year by 2030 and 60 by 2035; emphasis on 'school meals with fresh milk'; no mention of plant milks.","School milk precedent points towards animal protein (Decision 1340, 2016)",ch25.3; ch23 plant milk,strengthens,APR-11,VN-direct,Medium,stated
"UNICEF Viet Nam Country Programme 2027 to 2031 (Executive Board, Sep 2026): stunting 18% in 2023 and 32% among ethnic minority children; UNICEF will prioritise 'strengthened school food and complementary food standards, and marketing restrictions'.","Stunting 19.6% (2020), above 30% in the worst-affected provinces; international bodies advised to separate the two protein problems",ch21.2; brief-international,updates,APR-27,VN-direct,High,revealed
Sugary-drink excise (Law 66/2025/QH15): 8% from 2027 and 10% from 2028 on 'nước giải khát' above 5 g sugar per 100 ml; milk and dairy products exempt; status of sweetened soy and nut milks not stated in the sources read.,Plant milk is 'priced at or below dairy by local incumbents',ch23; ch26; TPP-05,adds,APR-19; APR-20; APR-22,VN-direct,Medium,stated
"Global Diet Quality Project, Viet Nam (Dec 2021 to Jan 2022): on the previous day 40% of adults ate pulses, 18% processed meats, 92% meat, poultry or fish, 76% unprocessed red meat, 25% soft drinks.",No survey measures plant-protein occasions; R3 assumes 5% of meat is eaten as processed products,ch22; ch28 R3; DMV-01; DMV-09,adds,APR-36,VN-direct,Medium,revealed
"Food-EPI for Viet Nam (18 experts, 2025): 74% of 35 food-environment policy indicators scored low or very low; school food policies mostly non-mandatory; workplace and hospital meal guidelines not legally binding.","Canteens and schools described by budgets and procurement, not by the (weak) nutrition rules that govern them",ch25.3,adds,APR-26,VN-direct,Medium,inferred
Viet Nam is not listed as a School Meals Coalition member; WFP's Viet Nam country page returned 'not found'; GAIN's pages list no Viet Nam programme; the EU's March 2026 Global Gateway package (EUR 560 million) is for transport and energy.,"International funders advised to 'fund channel trials' and missing channel data, without naming routes",ch25.7; brief-international,adds,APR-38; APR-39; APR-40; APR-37; APR-32,VN-adjacent,Low,revealed
World Bank's Viet Nam agrifood climate work is low-methane rice and carbon credits; its 2024 Recipe report frames diet shifts for high-income countries and asks middle-income countries to cut livestock and rice emissions.,Climate claims for alternative protein 'need care',brief-international 'Motivations and framing',strengthens,APR-28; APR-29,general,Medium,inferred
"ADB: USD 40 billion for food security 2022 to 2030, with about a quarter of the new USD 26 billion for nutrition (page metadata); its Viet Nam director cites 'integrating nutrition and healthy diets'.",No development-finance route for demand-side or nutrition-linked protein named,brief-international,adds,APR-31; APR-25,VN-adjacent,Low,stated
"USDA FAS: Viet Nam's tree nut imports reached USD 3.9 billion in 2025 (up 40%), partly driven by plant-based milk demand among younger consumers.",Plant milk is the one modern plant category at scale,ch23,strengthens,APR-34,VN-direct,Medium,revealed
Resolution 72-NQ/TW is dated 9 Sep 2025.,Resolution 72 listed as 'Sep 2025 (day not verified)',app-t NTS-17; national_targets_2050.csv NT-063,updates,APR-05,VN-direct,High,stated
In September 2026 NIN's director still cited 2020 General Nutrition Survey figures; we found no published newer national survey.,Part VI's 2020 intake baseline,ch21.1; OQ-156,strengthens,APR-42,VN-direct,Low,revealed
