source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
DIE-01,Dan Tri (Dan Sinh). Cong bo ket qua Tong dieu tra dinh duong toan quoc 2019-2020: Viet Nam dang doi mat voi ganh nang gap ba ve dinh duong. 17 April 2021. https://dansinh.dantri.com.vn/dien-dan-dan-sinh/cong-bo-ket-qua-tong-dieu-tra-dinh-duong-toan-quoc-2019-2020-viet-nam-dang-doi-mat-voi-ganh-nang-gap-ba-ve-dinh-duong-20210417015900000.htm,Cong bo ket qua Tong dieu tra dinh duong toan quoc 2019-2020,Dan Tri,2021-04-17,https://dansinh.dantri.com.vn/dien-dan-dan-sinh/cong-bo-ket-qua-tong-dieu-tra-dinh-duong-toan-quoc-2019-2020-viet-nam-dang-doi-mat-voi-ganh-nang-gap-ba-ve-dinh-duong-20210417015900000.htm,,press,2026-09-24,"Press report of the Ministry of Health and National Institute of Nutrition launch of the General Nutrition Survey 2019 to 2020. Energy, energy split, meat, vegetables, fruit, stunting, overweight. The NIN report itself was not found online (MOH portal timed out)."
DIE-02,VietnamNet. Cong bo ket qua tong dieu tra dinh duong toan quoc. April 2021. https://vietnamnet.vn/vn/suc-khoe/cong-bo-ket-qua-tong-dieu-tra-dinh-duong-toan-quoc-728009.html,Cong bo ket qua tong dieu tra dinh duong toan quoc,VietnamNet,2021-04,https://vietnamnet.vn/vn/suc-khoe/cong-bo-ket-qua-tong-dieu-tra-dinh-duong-toan-quoc-728009.html,,press,2026-09-24,"Sample 22,400 households in 25 provinces; meat 136.4 g (2020) vs 84 g (2010); urban 155.3 g. The fetch tool gave the date as 15 April 2020, which cannot be right for a 2021 launch; treated as April 2021."
DIE-03,VietnamNet (English). Meat consumption in VN is almost double the recommended amount. 4 April 2021. https://vietnamnet.vn/en/meat-consumption-in-vn-is-almost-double-the-recommended-amount-724190.html,Meat consumption in VN is almost double the recommended amount,VietnamNet,2021-04-04,https://vietnamnet.vn/en/meat-consumption-in-vn-is-almost-double-the-recommended-amount-724190.html,,press,2026-09-24,"Cites NIN: 134 g national (differs slightly from 136.4 g in the launch reports), 154 g urban, recommendation 50 to 80 g; stunting by province."
DIE-04,National Institute of Nutrition (Vien Dinh duong). Nhung diem cap nhat ve nhu cau dinh duong khuyen nghi cho nguoi Viet Nam. 2026. https://viendinhduong.vn/vi/article/tin-tuc/6a70094d06fb0c475f0ac123,Nhung diem cap nhat ve nhu cau dinh duong khuyen nghi cho nguoi Viet Nam,National Institute of Nutrition,2026,https://viendinhduong.vn/vi/article/tin-tuc/6a70094d06fb0c475f0ac123,,gov/statistics,2026-09-24,Updated recommended nutrient intakes: adult protein about 0.93 g per kg body weight per day; 50 g per day reference value for labels; animal-to-total protein ratio recommendation dropped.
DIE-05,General Statistics Office / National Statistics Office of Viet Nam (Cuc Thong ke). Ket qua Khao sat muc song dan cu Viet Nam nam 2024 (Results of the Viet Nam Household Living Standards Survey 2024). Statistical Publishing House; posted 31 March 2026. https://www.nso.gov.vn/wp-content/uploads/2026/03/Sach-Khao-sat-muc-song-dan-cu-2024.pdf,Results of the Viet Nam Household Living Standards Survey 2024,National Statistics Office of Viet Nam,2026-03-31,https://www.nso.gov.vn/wp-content/uploads/2026/03/Sach-Khao-sat-muc-song-dan-cu-2024.pdf,,gov/statistics,2026-09-24,"Full 979-page book read via pdftotext: tables 6.5, 6.10, 6.16 to 6.22 (food spending, eating out, food quantities 2010 to 2024 by urban/rural, quintile, region). Landing page https://www.nso.gov.vn/en/data-and-statistics/2026/03/results-of-the-viet-nam-household-living-standards-survey-2024/"
DIE-06,National Statistics Office of Viet Nam. Thong cao bao chi ket qua Khao sat muc song dan cu nam 2024. May 2025. https://www.nso.gov.vn/tin-tuc-thong-ke/2025/05/thong-cao-bao-chi-ket-qua-khao-sat-muc-song-dan-cu-nam-2024/,Thong cao bao chi ket qua Khao sat muc song dan cu nam 2024,National Statistics Office of Viet Nam,2025-05,https://www.nso.gov.vn/tin-tuc-thong-ke/2025/05/thong-cao-bao-chi-ket-qua-khao-sat-muc-song-dan-cu-nam-2024/,,gov/statistics,2026-09-24,"Income 5.4 million VND per person per month (2024); 46,995 households; rice 6.5 kg per person per month; meat 3.2 kg top quintile vs 2.0 kg bottom."
DIE-07,"FAO. FAOSTAT Food Balance Sheets (2010 onward methodology), bulk file FoodBalanceSheets_E_Asia.zip, data to 2023, file date 14 October 2025. https://bulks-faostat.fao.org/production/FoodBalanceSheets_E_Asia.zip",FAOSTAT Food Balance Sheets,FAO,2025-10-14,https://bulks-faostat.fao.org/production/FoodBalanceSheets_E_Asia.zip,,database,2026-09-24,"Protein supply (g per person per day) and food supply (kg per person per year) by item for Vietnam and neighbours. Japan absent from this series. Supply, not intake."
DIE-08,"FAO. FAOSTAT Food Balance Sheets, historic (old methodology, 1961 to 2013), bulk file FoodBalanceSheetsHistoric_E_Asia.zip, file date 5 February 2024. https://bulks-faostat.fao.org/production/FoodBalanceSheetsHistoric_E_Asia.zip",FAOSTAT Food Balance Sheets (historic),FAO,2024-02-05,https://bulks-faostat.fao.org/production/FoodBalanceSheetsHistoric_E_Asia.zip,,database,2026-09-24,Used for 1961 to 2005 and for Japan. Not continuous with DIE-07 (Vietnam 2010 meat 51.5 kg old vs 41.0 kg new).
DIE-09,"World Bank. World Development Indicators, GDP per capita, PPP (constant 2021 international $), NY.GDP.PCAP.PP.KD, API, last updated 13 July 2026. https://api.worldbank.org/v2/country/VNM;CHN;KOR;THA;MYS;JPN;PHL;IDN/indicator/NY.GDP.PCAP.PP.KD?format=json","GDP per capita, PPP (constant 2021 international $)",World Bank,2026-07-13,https://api.worldbank.org/v2/country/VNM/indicator/NY.GDP.PCAP.PP.KD?format=json,,database,2026-09-24,"Vietnam 13,535 (2023), 15,457 (2025)."
DIE-10,"USDA Foreign Agricultural Service. Production, Supply and Distribution (PSD) Online, livestock and poultry bulk file psd_livestock_csv.zip, April 2026 release. https://apps.fas.usda.gov/psdonline/downloads/psd_livestock_csv.zip",PSD Online livestock and poultry,USDA FAS,2026-04-09,https://apps.fas.usda.gov/psdonline/downloads/psd_livestock_csv.zip,,database,2026-09-24,"Vietnam pork (CWE), chicken (ready-to-cook) and beef (CWE) production, imports, domestic consumption 2015 to 2026 forecast."
DIE-11,"OECD and FAO. OECD-FAO Agricultural Outlook 2026-2035, SDMX dataflow OECD.TAD.ATM DSD_AGR@DF_OUTLOOK_2026_2035 version 1.1, measure FO_PC (food use per person). https://sdmx.oecd.org/public/rest/data/OECD.TAD.ATM,DSD_AGR@DF_OUTLOOK_2026_2035,1.1/VNM+CHN+KOR+JPN+THA+MYS+PHL+IDN.A.CPC_EX_PK+CPC_EX_PT+CPC_EX_BV+CPC_EX_SH+CPC_04.FO_PC..?startPeriod=2010&endPeriod=2035",OECD-FAO Agricultural Outlook 2026-2035 (data),OECD and FAO,2026-06,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ATM,DSD_AGR@DF_OUTLOOK_2026_2035,1.1/",,intergovernmental,2026-09-24,"Same dataset the supply study cites as QNT-01; queried directly here for per-person food use of meats, fish and rice, 2010 to 2035, Vietnam and neighbours. Retail-weight basis for meat assumed (OECD convention, not re-verified)."
DIE-12,"National Institute of Nutrition (Nguyen Cong Khan, Ha Thi Anh Dao et al., eds). Bang thanh phan thuc pham Viet Nam (Vietnamese Food Composition Table). Medical Publishing House, Hanoi, 2007. PDF hosted by FAO INFOODS: https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf",Bang thanh phan thuc pham Viet Nam (Vietnamese Food Composition Table),National Institute of Nutrition,2007,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,,gov/statistics,2026-09-24,"526 foods, protein per 100 g edible portion and waste share. Codes used: 1004, 1012, 1013, 1020, 3007, 3010, 3017, 3025, 3032, 7003, 7004, 7013, 7016, 7017, 7018, 8024, 8051, 9001, 9004, 10001. Extract in tools/fct_2007_protein_extract.csv. Newer NIN table editions not found online."
