series,measure,basis,calendar,period,index_mean,index_min,index_max,n_years,years,source_ids,evidence_label,confidence,demand_evidence_type,notes
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,1,0.93,0.16,2.16,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,2,0.48,0.33,0.7,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,3,0.81,0.52,1.25,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,4,0.8,0.38,1.18,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,5,1.03,0.45,1.6,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,6,1.28,0.74,2.26,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,7,1.26,0.62,2.03,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,8,0.96,0.48,1.72,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,9,1.1,0.46,2.12,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",Gregorian month,10,0.98,0.43,1.35,6,2019 to 2024,BRD-05; BRD-07,VN-direct,Medium,revealed,"Index = month value divided by that year monthly mean, averaged over complete years (our calculation). 1.00 = average month."
