milestone_id,period,plan_cycle,pillar,milestone,indicator,value_or_range,trend_comparison,benchmark,source_ids,foresight_type,confidence
VM-01,2026 to 2028,2026 to 2030 plan,Measure,"First national protein and feed balance published, then yearly",Balance published,"Yes, by 2028",None exists,EU balance-sheet guidance; Japan annual KPI checks,VIS-15; VIS-13,vision,Medium
VM-02,2026 to 2028,2026 to 2030 plan,Rules,New-food procedure with statutory timelines and reliance; aquafeed raw-material entries for microbial biomass and algal oils,Procedure in force,By 2027 to 2028,No procedure,Korea amended a rule in about nine months,REG-12; REG2-01,vision,Medium
VM-03,2026 to 2028,2026 to 2030 plan,Places,Fermentation and feed-protein sites named in the MAE biotechnology-cluster plan,Named sites,December 2026 to 2027,Map blank,Thailand EECi; India BioE3 hubs,HUB-09; FTB-17,vision,Medium
VM-04,2026 to 2028,2026 to 2030 plan,Money,Dedicated public protein and feed-innovation line,USD a year,5 to 15 M,About 6 M a year in the feed scheme,"Denmark, Germany, Canada",VIS-01; VIS-04; VIS-24; NTS-23,vision,Medium
VM-05,2030,2026 to 2030 plan,Economise,Soybean-meal import need held near the efficiency path,Mt soybean meal,7.8 to 8.3,8.5 on trend,China formulation pace,GEO-10; GEO-11,vision,Low
VM-06,2030,2026 to 2030 plan,Diversify,Microbial (non-insect) feed protein in use,Share of high-protein feed protein,About 1% (about 50 kt of protein; about nine times Entobel's current Vietnamese capacity of 11 kt a year),Near 0,Norway 0.4% (2020),VIS-18,vision,Low
VM-07,2030,2026 to 2030 plan,Places,One open food-grade pilot plant operating,Litres of open pilot capacity,"10,000 to 30,000 L",None,ScaleUp Bio; EECi,RGN-36,vision,Medium
VM-08,2030,2031 to 2035 plan,Measure,Successor livestock and fisheries strategies carry protein-balance targets for 2035 to 2040,Targets in strategy,Yes,Targets stop at 2030,EU 2035 feed-protein target,NTS-05; VIS-15,vision,Medium
VM-09,2035,2031 to 2035 plan,Economise,Soybean-meal need below trend,Mt soybean meal,8.1 to 9.0,9.5 on trend,EU target pace,VIS-15,vision,Low
VM-10,2035,2031 to 2035 plan,Diversify,Microbial feed protein grows with fishmeal parity,Share of high-protein feed protein,1 to 3%,Near 0,No national analogue above 1%,VIS-18,vision,Low
VM-11,2035,2031 to 2035 plan,Measure,Domestic-origin share of feed protein rises from the published baseline,Percentage points above baseline,+3.5 to +7,Flat (Japan record),EU pace (+0.9 points a year) as the top,VIS-15; VIS-12,vision,Low
VM-12,2035,2031 to 2035 plan,Review,First full review of the vision against the scenario signposts,Review published,Yes,None,JRC stress test; FAO triggers,VIS-35; VIS-36,vision,Medium
VM-13,2040,2036 to 2040 plan,Economise,Soybean-meal need below trend,Mt soybean meal,7.8 to 9.2,10.0 on trend,Balance model S-EFF to S-ALT,QNT-01,vision,Low
VM-14,2040,2036 to 2040 plan,Diversify,Microbial feed protein,Share of high-protein feed protein,2 to 4%,Near 0,Balance model S-ALT (4.4%),QNT-01,vision,Low
VM-15,2040,2036 to 2040 plan,Decarbonise,Residue carbon and clean power supply a growing share of new fermentation capacity,Share of new capacity,Growing; a majority only if cellulosic or one-carbon sugar works,Cassava and grid power,Power plan: 74 to 75% non-hydro renewables by 2050,GT-11; NGF-01,vision,Low
VM-16,2045,2041 to 2045 plan,Specialise,"Aligned with official 2045 goals (official targets, not part of our vision): biotechnology at 10 to 15% of GDP (Resolution 36); developed, high-income status (Resolution 109/NQ-CP)",Official goals,Biotech 10 to 15% of GDP (undefined statistic); high income,n/a,Official 2045 goals,NTS-01; NTS-28,vision,Medium
VM-17,2045,2041 to 2045 plan,Diversify,"Power-to-protein at commercial scale on the Mekong shrimp coast, if the five conditions have aligned",Plants operating,At least one (conditional),None,Chapter 16 conditions,FTG-01; HUB-05,vision,Low
VM-18,2050,2046 to 2050 plan,Economise,Soybean-meal need well below trend,Mt soybean meal,7.0 to 8.8,10.4 on trend,Balance model; China and Norway analogues,QNT-01; VIS-19,vision,Low
VM-19,2050,2046 to 2050 plan,Diversify,Microbial feed protein,Share of high-protein feed protein,4 to 8%,Near 0,Stretch: above any analogue today,VIS-18,vision,Low
VM-20,2050,2046 to 2050 plan,Diversify,Non-marine omega-3 in aquafeed,Share of aquafeed EPA plus DHA,15 to 50%,Near 0,Algal and oilseed oils commercial today,AQF-19; AQF-23; AQF-24,vision,Low
VM-21,2050,2046 to 2050 plan,Measure,Domestic-origin share of feed protein,Percentage points above 2028 baseline,+11 to +22,Flat,EU pace as the top,VIS-15,vision,Low
VM-22,2050,2046 to 2050 plan,Decarbonise,"Agriculture within its 56 MtCO2e cap, with feed protein counted in the plan",MtCO2e,56 or less,104.5 in 2020,Official cap,CLM-01,vision,Medium
