ID,Date,City,Channel Type,Store/Chain Name,Address/Area,Categories Observed,Price Positioning,Interview Candidate?,Notes
S001,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,"Off QL1C near Thủy Xương / Thủy Xuân, Nha Trang (per Google Maps pin — exact street address not captured on-site, verify)","Traditional / Do Chay only — dedicated frozen ""Thực Phẩm Chay / Vegetarian"" signed section, 2+ full door units, multi-brand (SG Food, Vissan, CJ Cầu Tre, Choice L private label, bibigo, others). No modern-branded plant-based meat analogs, fermentation, insect, or cultivated products observed.",Mixed,Maybe,"Large-format hypermarket, not the vendor itself — better Phase 2 interview targets are the manufacturer brands stocked here (SG Food, Vissan, CJ Cầu Tre) rather than store staff. OSINT cross-check via Lotte Mart's own e-commerce listings found several same-brand chay-vs-meat price pairs where the chay version is 17-38% CHEAPER than the conventional meat equivalent — worth a Phase 3 flag."
S002,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"Near Ga Nha Trang / Đường Yersin, central Nha Trang (per Google Maps pin — exact street address not captured on-site, verify)","Broader mix than Lotte Mart in one visit: (1) frozen Do Chay section — Cầu Tre, Vissan, Coop Select private label, bibigo, Thoại An; (2) ambient/dry instant chay-noodle aisle, 10+ brands; (3) ambient canned chay meat analogs, including two Chinese-imported brands (Ông Chà Và, NOSA) explicitly labeled ""Plant Based"" in English, alongside Vissan's much cheaper domestic canned line; (4) a genuinely large plant-milk aisle (Vinamilk, Fami/Vinasoy, TH true Nut, Nutifood) that doesn't fit the current category taxonomy. No fresh/frozen modern-branded meat analogs (Beyond Meat/OmniFoods-style) observed.",Mixed,Maybe,"Also a large-format supermarket, not the vendor — same Phase 2 logic as Lotte Mart applies. This visit's single biggest finding: the closest thing to ""modern-branded plant-based"" in Nha Trang retail so far is Chinese-imported canned soy meat, not a Western or Vietnamese brand. Also flags a taxonomy gap (plant milk) worth resolving before the Market Landscape Report is drafted — see Read Me tab."
S003,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,"Trung tâm Thương mại GO! Nha Trang, Lô 4, đường 19/5, Vĩnh Điềm Trung, Tây Nha Trang, Khánh Hòa 650000, Vietnam (per Google Maps listing; rated 4.2★ / 6,098 reviews; open daily, closes 22:00).","Large-format hypermarket, GO! brand (Central Retail's rebrand of the former Big C chain). Vegetarian/chay dry-goods aisle explicitly signed ""Thực phẩm chay / Vegetarian food"" — instant chay noodles (Vifon, Nhu Ý, Miliket, plus others not individually logged) and dried mock-meat slices (Bò Lát Chay, Gà Lát Chay). Frozen chay case: same brands seen at Lotte Mart / Co.opmart (bibigo, Cầu Tre, Vissan) but several SKUs price notably differently — worth a cross-store comparison pass, see Read Me. Plant-milk aisle is the largest seen across the three Nha Trang stores so far, spanning ~4 shelf bays (137 Degrees, Vinamilk, Almond Breeze, TH true NUT, Homesoy, Veyo, Fami, Nuti) — confirms 137 Degrees' actual presence, previously only inferred at Co.opmart. New: Vinamilk plant-based yogurt line (2 flavors, 400g multipack) — first plant-based-yogurt SKU in this dataset. Refrigerated case had fresh tofu (Song Long) and other soy products. Also observed but out of current SKU scope: bibigo Kimchi Cải Thảo Chay (vegetarian kimchi, ~53,000đ) — not a meat/dairy analog, flagged for a scope decision rather than logged as a Product Log row. No modern-branded fresh/frozen meat analogs (Beyond Meat/OmniFoods-style), fermentation, insect, or cultivated products observed, consistent with the other two Nha Trang stores.",Mixed,Maybe,"Large-format hypermarket, not the vendor — same Phase 2 logic as the other two Nha Trang stores (better interview targets are the manufacturer brands). Several Product Log prices for this store are flagged low-confidence (orange) — shelf-tag photos, not receipts; worth a re-read or return visit before treating exact figures as final, same caution the Lotte Mart/Co.opmart rows already carry."
S004,2026-09-06,Nha Trang,Specialty Retail,Moonmilk Super Market Nha Trang,"Near Nguyễn Thiện Thuật / Hùng Vương / Trần Hưng Đạo, Nha Trang (per Google Maps pin — exact street address not captured on-site, verify). Rated 4.0★ / 83 reviews, listed as a ""Convenience store"", open until 00:00.","A specialty/import convenience store, clearly different in kind from the three hypermarkets/supermarkets already logged (Lotte Mart, Co.opmart, GO!) — No mock-meat/tofu chay products observed at all — this store's alt-protein relevance is entirely on the plant-milk/vegan-pantry side. Carries imported barista-focused plant milks not seen anywhere else in this dataset (Oatly — Sweden, MilkLab — Australia, Alternative Dairy Co — Australia) at 58,000-98,000đ/L, a full 137 Degrees flavor lineup confirming a second Nha Trang channel for that brand, Southeast Asian brands Oatside (Singapore) and So Good (Indonesia), a small single-serve Vinamilk plant-milk format, and Bragg Nutritional Yeast (US import, 290,000đ) — a vegan cooking staple not seen elsewhere in this dataset. Otherwise stocked like a general imported/specialty grocery (baking imports, premium dairy: Oldenburger, Mộc Châu Creamery, Devondale, Emborg, Marigold).",Premium,Yes,"Unlike the hypermarkets, Moonmilk IS plausibly the right interview target itself (not just a pass-through to manufacturer brands) — a small specialty importer/buyer could speak directly to import economics and demand for plant-based products, hence ""Yes"" rather than ""Maybe"" here. This store sharpens the plant-milk/dairy-alternative taxonomy question already flagged in the Read Me (Finding 4) — worth a scope decision before more batches like this one come in."
S005,2026-09-06,Nha Trang,Modern Retail,WinMart Nha Trang (Vincom Lê Thánh Tôn),"Siêu thị WinMart Lê Thánh Tôn Nha Trang, inside Vincom Plaza (per Google Maps listing; rated 4.3★ / 804 reviews; open daily, closes 22:00).","Mall-based supermarket (smaller-format than the standalone hypermarkets), owned by Masan Group — a Vietnamese conglomerate, rebranded from VinMart after Masan acquired VinCommerce from Vingroup in 2019. Domestically owned, a useful contrast to GO!'s Thai (Central Retail) ownership already noted in the Read Me. Refrigerated deli case had Korean-import Pulmuone products (fresh tofu, plus Pulmuone instant noodle/udon items that weren't vegetarian) and a Bibigo frozen range with both meat and chay mandu/kimchi side by side — chay kimchi again observed but left out of the Product Log per the scope call flagged at GO! Nha Trang. A canned ""chay meat"" range (soy luncheon meat / pork-like / beef-like, brand tag not legible, 56,000-69,000đ) sits in the ambient aisle next to olives and tuna, not a signed vegetarian section. The plant-milk aisle here is the most extensive and clearly-tagged of the four Nha Trang stores so far (digital price tags, easy to read) — confirms real, mainstream distribution for both 137 Degrees (now with a buy-one-get-one promo) and Oatly (this is a mainstream supermarket, not a specialty importer like Moonmilk), plus Veyo, TH true Oat/Nut across many flavors and sizes, So Good (Indonesia), Oatside (Singapore), and heavy Fami/Vinamilk promo pricing throughout. First sighting of a plant-based coffee creamer format (Vinamilk Creamer 9 Loại Hạt), shelved directly against Vinamilk's dairy creamer line at a comparable price. A separate kids'-drink aisle (Mistori, Susu) was observed but is flavored dairy, not logged.",Mixed,Maybe,"Large-format retail chain, not the vendor — same Phase 2 logic as the other supermarkets/hypermarkets (manufacturer brands are the better interview targets). Most price reads here are green/high-confidence thanks to clear digital shelf tags, a nice contrast to the GO! Nha Trang batch."
S006,2026-09-20,Ho Chi Minh City,Modern Retail,Co.opmart Nguyễn Kiệm,"Nguyễn Kiệm area, Ho Chi Minh City (exact street address not captured in the photos)",Large dedicated vegetarian dry-goods display; frozen vegetarian chest freezer; plant-milk aisle; refrigerated tofu and plant-based yoghurt.,Mixed,Maybe,"Broadest photographed assortment. Close-ups support detailed ingredient and nutrition capture for dried analogs, frozen meals, tofu and dairy alternatives."
S007,2026-09-20,Ho Chi Minh City,Modern Retail,GO! Nguyễn Kiệm,"Nguyễn Kiệm area, Ho Chi Minh City (exact street address not captured in the photos)",Large plant-milk aisle; chilled soy drinks; ambient vegetarian foods; frozen vegetarian products.,Mixed,Maybe,"Plant-milk range dominates the visit. Several shelf overviews were photographed, with close-ups for Veyo and a few frozen products."
S008,2026-09-20,Ho Chi Minh City,Modern Retail,Emart Phan Văn Trị,"Phan Văn Trị area, Gò Vấp, Ho Chi Minh City (exact street address not captured in the photos)",Frozen meat analogs; refrigerated plant-based yoghurt; dedicated vegetarian ambient section with canned soy luncheon meat.,Mixed to premium,Maybe,Strong An Nhiên frozen range and clearly labeled Ông Chà Và/NOSAFOOD canned soy products.
S009,2026-09-20,Ho Chi Minh City,Modern Retail,Lotte Mart Gò Vấp,"Gò Vấp, Ho Chi Minh City (exact street address not captured in the photos)",Large plant-milk aisle; plant-based yoghurt; dedicated frozen vegetarian case; vegetarian dumplings and spring rolls.,Mixed,Maybe,The photos show broad dairy-alternative availability plus a clearly signed vegetarian freezer section.
S010,2026-09-16,Ho Chi Minh City,Specialty Retail,Annam Gourmet - An Phú,"An Phú, Ho Chi Minh City (exact street address not captured in the photo)",Plant-milk wall; dedicated vegan frozen case; refrigerated vegan cheese and cultured cashew products.,Premium,Yes,"Branch identified by the map screenshot IMG_0844. Strong imported and local premium assortment, with detailed price labels and product close-ups."
