record_id,doi,title,year,institutions,topic,key_result,relevance,cited_by,origin,source_ids,evidence_label,confidence,notes
PUB-001,10.15625/0866-7160/v37n4.7091,Preparation of protein isolated from rice bran,2016,"Institute of Biotechnology, VAST (Hanoi) [stated in abstract]",plant protein: rice bran,Laboratory method to prepare rice bran protein isolate; argues rice bran protein is under-commercialised in Vietnam,high,,wave 1 RND,RD-01,VN-direct,High,Vietnamese-language article; full results not read; key result from Scite abstract/record read 2026-09-23
PUB-002,10.1016/j.ifset.2021.102692,Ultrafiltration for recovery of rice protein: Fouling analysis and technical assessment,2021,"Ho Chi Minh City University of Technology, VNU-HCM (probable; author group of Lai Quoc Dat)",plant protein: rice protein recovery | T04 Rice protein,Ultrafiltration for recovery of rice protein with fouling analysis and technical assessment,high,22,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,Medium,abstract not in Scite record; affiliation inferred from author group; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: HCMUT (wave 1) | Wave 2 biblio: Only rice protein hit; HUST rice DDG papers missed by OpenAIRE country tag. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-003,10.21203/rs.3.rs-3171967/v1,"Rice-Based Distillers’ Dried Grains from Bio-Ethanol Production, a Potential Source of Protein for Food Application",2024,Hanoi University of Science and Technology (HUST),plant protein: ethanol side stream (rice and cassava DDG),Rice-based dried distillers grain from Vietnamese ethanol plants: 55-80% protein (dry matter); cassava DDG only 13-16% protein and high fibre,high,,wave 1 RND,RD-01,VN-direct,Medium,preprint (not peer reviewed); measured values; key result from Scite abstract/record read 2026-09-23
PUB-004,10.1002/apj.70043,Functional Characterization of Protein From Rice‐Based Ethanol By‐Products for Food Industry Use: A Comparative Analysis of Alkaline and Enzyme Methods,2025,HUST,plant protein: rice DDG protein functionality,"Alkaline extraction (pH 12, 60 C): 46.7% yield, 90% recovery. Protease extraction: 83.2% purity. In vitro digestibility 77.1% (protease) vs 42.9% (alkaline)",high,,wave 1 RND,RD-01,VN-direct,High,peer reviewed 2025; one of very few VN papers reporting protein digestibility; key result from Scite abstract/record read 2026-09-23
PUB-005,10.51316/jst.178.etsd.2024.34.5.4,Investigation of Consumer Insights and Development of Alternative Protein-Rich Products from Alcoholic Beverage Byproducts,2024,HUST,alt-protein product from brewery and distillery side streams,"84.9% protein recovery from spent brewer's yeast (Alcalase, 24 h); energy bar with BSY + DDGS protein at 14.9 g protein per serving; survey of 260 young consumers",high,,wave 1 RND,RD-01,VN-direct,High,explicitly framed as alternative protein; domestic journal; key result from Scite abstract/record read 2026-09-23
PUB-006,10.1111/ijfs.17089,"Meat‐reduced sausage substituted with germinated mung bean flour: proximate composition, physicochemical properties, and sensory acceptability",2024,not established (probably a Mekong Delta or HCMC university),hybrid meat / legume | T01 Plant-based meat,Replacing 10-15% of meat in sausage with germinated mung bean flour kept colour and texture close to control and was accepted; raised protein and EAA ratio,med,9,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,Medium,blended-product evidence; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: not concentrated in one group (wave 1) | Wave 2 biblio: Hybrid product; matches wave 1 RD list. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-007,10.17113/ftb.63.01.25.8629,"Influence of Mangosteen Peel Extract on Oxidative Stability, Nutritional Values, Physicochemical Properties and Sensory Preference of Soy-Based Burgers",2025,not established,plant-based meat | T01 Plant-based meat,Mangosteen peel extract tested as natural antioxidant to extend shelf life of soy-based burgers,med,3,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01,VN-direct,Medium,one of only ~4 VN-affiliated plant-based meat papers found; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: not verified | Wave 2 biblio: Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-008,10.21203/rs.3.rs-7881609/v1,"Production, Characterization, and Functional Properties of Protein Concentrate from Momordica cochinchinensis Seeds",2025,not established,"plant protein: novel seed (gac, Momordica cochinchinensis)",Protein concentrate from partially defatted gac seeds by isoelectric precipitation; functional properties characterised,med,,wave 1 RND,RD-01,VN-direct,Medium,preprint; indigenous tropical crop by-product; key result from Scite abstract/record read 2026-09-23
PUB-009,10.1002/jsfa.70800,Enzymatic hydrolysis by Alcalase of red bean protein to develop corn starch/red bean protein hydrolysate complex for reduced glycemic response in vitro,2026,not established,plant protein hydrolysate (red bean),Alcalase red bean protein hydrolysate (15-20 kDa) improved foaming; 2% addition reduced starch sugar release by 4.82%,low,,wave 1 RND,RD-01,VN-direct,Medium,"health-functional focus, not protein supply; key result from Scite abstract/record read 2026-09-23"
PUB-010,10.15625/2525-2518/55/5a/12188,ANTIOXIDANT ACTIVITIES OF HYDROLYSATES ORIGINATED FROM SOYBEAN AND SOY MILK RESIDUE,2018,not established,soy side stream (okara) hydrolysates,Antioxidant activity of hydrolysates from soybean and soy milk residue,low,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-011,10.1111/ijfs.16966,"Development of dairy‐free soybean‐based yoghurt by active dry starter culture from kombucha: an investigation into microencapsulation, curd formation, protein and texture profiles during storage",2024,not established,plant-based dairy,"Soy-based dairy-free yoghurt with kombucha-derived dry starter; curd, protein and texture during storage",med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-012,10.3390/foods15132295,"Physicochemical, Structural, and Nutritional Properties of Termite Mushroom-Fortified Tofu and Its Antioxidant Activity During In Vitro Digestion",2026,not established,tofu fortification,Termite mushroom (Termitomyces) fortified tofu: physicochemical and in vitro digestion,low,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-013,10.1111/jfpe.70365,"Plant‐Based Fish Analogues: Advances in Formulation, Processing, Nutrition, and Market Dynamics",2026,first author with Vietnamese name; affiliation not established,review: plant-based fish analogues | T02 Textured protein,"Review 2020-2025: nutritional trade-off (lower protein quality, inconsistent fortification) and processing gaps in plant-based fish",med,0,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01,VN-direct,Medium,possible diaspora or VN author; verify affiliation; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: not verified | Wave 2 biblio: Review; only hit for texturisation terms. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
