question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"Do EU and UK private-label buyers (retailers and their importers) source plant-based foods from Asian co-packers, and at what price per kg and protein level would they list a Vietnamese product?",Private label is where price-led European demand is resilient and where Vietnam's 9 to 13 point EVFTA and UKVFTA tariff edge matters most; we found no revealed case of Western plant-based production in Vietnam.,Ten structured buyer interviews at Anuga or SIAL plus a request for quotation test with two co-packers,GFI Europe; EuroCham Vietnam food and beverage sector committee; Vietnam Trade Office in the EU,High
"Do plant-based foods made in Vietnam from imported (Chinese or US) soy protein or wheat gluten meet EVFTA, UKVFTA and CPTPP rules of origin for chapter 21 and 19 products?","If the imported protein input breaks origin, the tariff edge disappears for exactly the products Vietnam can make today.","Desk check of EVFTA Protocol 1 product-specific rules for 2106 and 1902, confirmed with a binding origin ruling request",Ministry of Industry and Trade (origin department); VCCI certificate of origin office,High
"Which Japanese and Korean food manufacturers would buy Vietnamese functional plant or fungal proteins for hybrid or processed meat, and to what specification?",Japan imports about USD 149 million of plant protein ingredients and admits Vietnamese textured vegetable protein duty-free; this is the most plausible B2B export entry.,JETRO and KOTRA matchmaking; sample submissions to three Japanese processed-meat makers,JETRO Ho Chi Minh City; KOTRA Hanoi; Japan Plant Based Food Association,High
"Do ASC-certified feed mills in Vietnam face buyer requests to cut soy or fishmeal or to report feed carbon footprints, and what price premium, if any, would they pay for a domestic non-soy protein?",This is the most frontier-relevant export-linked demand signal; no retrieved source quantifies it.,Short survey of the 20 ASC-programme feed mills and the top 10 shrimp and pangasius exporters,VASEP; ASC; Vietnam Feed Association,High
"What does ASC Feed Standard v1.2 (mandatory since 2 February 2026) change against v1.1, and when must ASC farms use ASC-certified feed?",We read v1.1 only; farm-level feed deadlines decide how fast the feed pull reaches Vietnamese mills.,Read v1.2 and the ASC Farm Standard feed requirements on the ASC programme centre,Aquaculture Stewardship Council,Medium
"What volume and value of vegetarian and vegan products does Vietnam export (Au Lac, An Nhien, SG Food, Agrex Saigon, Emmay), and to which importers?",Company export claims are unverified; revealed diaspora trade is visible only on shelves.,"Customs declaration-level data (8-digit HS 2106.90, 1902, 2103) by exporter, or US import bill-of-lading data",Vietnam Customs (General Department); commercial bill-of-lading databases,Medium
"Is there a Vietnamese vegan fish sauce or plant-based seafood export, and who buys it?",The brief listed these as possible platforms; we found no evidence either way beyond general sauce exports (HS 2103.90).,"Check Weee!, H Mart and Asian grocers in Europe for listings; ask Cholimex and Masan",Vietnamese sauce makers; Asian grocers in the US and EU,Low
"What are 2023 to 2026 revealed plant-based sales in China, Singapore, Australia and the Gulf states?","We could not retrieve revealed data for these destinations, so their demand direction is unknown.",Euromonitor or NielsenIQ extracts via GFI APAC; Food Frontier reports for Australia,GFI APAC; Food Frontier; Euromonitor,Medium
"Is Vietnam's national halal certification recognised in GCC states and Malaysia, and is there demand for halal plant-based meat there?",Vietnam already ships cashew and coconut to Muslim-majority markets; halal plant-based could be an entry product.,Desk review of HALCERT recognition lists and GCC import rules; interviews with two UAE importers,National Halal Certification Centre (HALCERT); Vietnam Trade Office in the UAE,Medium
"What preferential tariffs do Korea (VKFTA, RCEP) and China (ACFTA, RCEP) apply to Vietnamese 2106.10, 2106.90 and 2202.99?",Korea and China are large buyers of Vietnamese food; the tariff position of plant-based lines was not checked.,Look up KCS and China customs tariff tables for the three lines,Korea Customs Service; General Administration of Customs of China; MOIT,Medium
What is the composition of Vietnam's HS 3504 exports (USD 13 million in 2023): fish collagen peptides or other proteins?,"If it is marine collagen, it is the existing template for B2B protein ingredient exports to Europe.",8-digit customs data or Vinh Hoan (Vinh Wellness) annual report,Vinh Hoan Corporation; Vietnam Customs,Low
Are textured soy protein (2106.10) and soy-based food preparations outside EUDR Annex I?,Determines whether Vietnamese exporters of soy-based foods must run EUDR due diligence from 30 December 2026.,Read Annex I of Regulation (EU) 2023/1115 as amended and the Commission FAQ,European Commission DG Environment; EU Delegation to Vietnam,Low
How much would the US Section 301 rate of 12.5% on Vietnam change under any US-Vietnam trade arrangement in 2026 to 2027?,"A move to 10% or below would reopen the US for Vietnamese plant-based convenience foods relative to Malaysia, Indonesia and India.",Monitor USTR Federal Register notices and Vietnam MOIT statements,USTR; Ministry of Industry and Trade,Medium
Which EU language versions allow 'coconut milk' and similar traditional names under the dairy-term exception list?,Coconut-based dairy alternatives are a Vietnamese strength; label rules differ by term and language.,Read Commission Decision 2010/791/EU annex,European Commission DG AGRI,Low
