code,english_name,protein_g_per_100g_edible,waste_pct,kcal
1001,"Glutinous rice, milled",8.6,0.0,344
1002,"Glutinous rice, milled",8.4,0.0,346
1003,"Under milled, home-pounded rice",8.1,0.0,344
1004,Ordinary polished rice,7.9,0.0,344
1005,"Rice, brown or hulled",7.5,0.0,345
1006,Foxtail millet,7.0,2.0,331
1007,"Fresh maize seeds, raw",4.1,45.0,196
1008,"Yellow maize, dried seeds",8.6,2.0,354
1009,"Ball shaped dumpling, Vietnamese steamed buns",6.1,0.0,219
1010,Rice paper for rollers,4.0,0.0,333
1011,Rice pudding,0.9,0.0,52
1012,French bread,7.9,0.0,249
1013,Rice noodles,3.2,0.0,143
1014,Wheat fritters twisted fried,8.0,0.0,292
1015,Corn flakes,8.6,0.0,372
1016,Glutinous rice flour,8.2,0.0,362
1017,Rice ordinary flour,6.6,0.0,359
1018,Wheat flour,10.3,0.0,346
1019,Yellow maize flour,8.3,0.0,361
1020,Rice vermicelli,1.7,0.0,110
1021,"Rice, unriped. Raw",6.1,0.0,297
1022,Wheat noodles,11.0,0.0,349
1023,"Glutinous maize, boiled",3.9,50.0,167
2001,Water-caltrops,3.6,50.0,115
2002,Yam winged,3.1,15.0,127
2003,Bermuda tuber,1.4,4.0,119
2004,Bitter cassava,1.1,25.0,152
2005,Radix puerariae,1.6,10.0,119
2006,"Nymphaea stellata wild, dried, unshelled",16.1,0.0,350
2007,"Igname Yam, Chinese",1.5,6.0,92
2008,"Sweet potato, white",0.8,17.0,119
2009,"Sweet potato, yellow",1.2,13.0,116
2010,"Chinese Yam, spiny yam",1.5,14.0,109
2011,Water-taro,1.0,14.0,98
2012,Edible canna,0.8,19.0,104
2013,Taro tuber,1.8,18.0,114
2014,"Potato, white",2.0,13.0,93
2015,Vermicelli from Bermuda tuber,0.6,0.0,332
2016,Bermuda flour,0.6,0.0,341
2017,Sweet potato flour,2.2,0.0,334
2018,"Canna edulis Ker, flour",0.2,0.0,337
2019,"Potato flour, white",1.0,0.0,345
2020,Cassava flour,2.4,0.0,333
2021,Radix puerariae flour,0.7,0.0,340
2022,"Sweet potato, dried",2.2,5.0,333
2023,"Potato, white, dried",6.6,0.0,330
2024,"Potato crisp, fried",2.2,0.0,525
2025,Dried bitter cassava,3.0,5.0,340
2026,"Tapioca, pearls E.P",1.0,0.0,341
3001,"Coconut meat, mature, raw",4.8,20.0,368
3002,"Coconut meat, immature, raw",3.5,0.0,40
3003,"French bean seeds, dried",21.8,10.0,321
3004,"Black bean seeds, dried",24.2,2.0,325
3005,"Cow pea whole seeds, dried",23.7,10.0,320
3006,"Peas garden and field, seeds, dried",22.2,0.0,318
3007,"Yellow dried soybean seeds, dried",34.0,2.0,400
3008,"Kidney bean whole seeds, dried",23.2,2.0,327
3009,"Egg bird bean seeds, dried",25.8,2.0,321
3010,"Mungo bean seeds, dried",23.4,2.0,328
3011,"Chestnut, Chinese whole, raw",18.0,30.0,638
3012,"Chestnut, Chinese whole, raw",4.2,18.0,223
3013,"Chestnut, dried",6.8,20.0,363
3014,Black seed,17.3,50.0,472
3015,"Cashew nut, common",18.4,0.0,605
3016,"Jack fruit, seed, raw",0.7,15.0,166
3017,Dried peanut seed,27.5,2.0,573
3018,Palm fruit fresh,2.3,40.0,178
3019,Hodgsonia fruit,20.0,90.0,427
3020,"Sesame oriental seeds, whole, dried black or white",20.1,5.0,568
3021,"Soybeans flour, defatted",49.0,0.0,321
3022,Roasted soybeans flour,41.0,0.0,418
3023,Mungo bean flour,24.6,0.0,347
3024,Peanut flour,27.5,0.0,575
3025,"Soybean curt cake pressed, raw",10.9,0.0,95
3026,Curd tofu concentrated,50.2,0.0,414
3027,"Curd tofu, fried",13.4,0.0,114
3028,"Pumpkin seeds, fried",35.1,19.0,519
3029,"Water melon seeds whole, fried",31.8,22.0,551
3030,"Cashew, common, roasted with oil",18.3,0.0,583
3031,"Milk flour, made from roasted soybeans",31.1,0.0,405
3032,Soybean milk (100 g soybean/l),3.1,0.0,28
3033,"Tofu in light syrup (Tofu 160g, sirup 65ml)",2.3,0.0,37
4001,"Calabash, Bottle gourd",0.6,35.3,14
4002,"Asgourd Waxgoured, Winter melon",0.6,25.0,12
4003,Pumpkin squash,0.3,18.3,27
4004,"Egg plant big, Brinja aubergine",1.2,5.0,23
4005,Tomato,0.6,5.0,20
4006,Egg plant - small,1.5,10.0,20
4007,Carrots,1.5,10.5,39
4008,Dried carrot,9.2,0.0,292
4009,Aubergine,1.0,5.0,22
4010,"Cabbage, common",1.8,10.0,29
4011,"Cabbage, red",1.9,22.0,45
4012,"Dried cabbage, white",18.0,0.0,245
4013,Chrysanthemum. crown-daisy,1.6,25.0,14
4014,Watercress,2.1,30.0,15
4015,"Chinese cabbage, white",1.4,25.0,17
4016,"Mustard greens, India, leaves and stems",1.7,24.0,16
4017,Water drop-wort; Celery water,1.0,20.0,10
4018,"Celery, Chinese",3.7,16.0,48
4019,"Banana common varieties, unripe",1.2,32.0,74
4020,"Red radish oriental, raw",1.3,20.0,48
4021,"Radish garden while, raw",1.5,13.2,21
4022,"Dried radish, white",17.6,0.0,220
4023,Pachyrrhizus,1.0,15.0,28
4024,"Manchurian water-rice, Manchurian Wild rice",2.0,13.0,30
4025,"Horse radish; dish - tree, drumstick leave",1.9,4.0,14
4026,Colocasia indica,0.4,20.0,5
4027,Cucumber,0.8,5.0,16
4028,Large cucumber,0.8,5.0,11
