record_id,origin,report_rank,report_tier,rank_wave2,option,owner_agency,instrument_to_amend,precedent,effort,impact,timeline,related_options,status_in_wave2,source_ids,evidence_label,confidence,notes
PO-001,wave 1 REGULATION,,superseded,,Insert a defined 'new food / new food ingredient' category with a proportionate pre-market notification or assessment and a public positive list into the revised Food Safety Law (October 2026 session) or its implementing decree,"MOH/VFA; National Assembly Committee for Science, Technology and Environment",,"Singapore FSSA 2025 novel food approval (VN-adjacent, verified); EU Reg 2015/2283, Thailand MOPH Notification 376 (2016) (not re-verified)",High,High,,PO-015,restated or refined by wave 2 option(s): PO-015,REG-01; REG-12; REG-14; REG-63,VN-direct,Medium,"One-off window; must be WTO-notified; risk of creating a slow gate, so pair with timelines and reliance | Version 0.4: first comments October 2026, passage considered May 2027 (APR-07)."
PO-002,wave 1 REGULATION,,superseded,,Define in the implementing decree what 'new-technology food not yet permitted for circulation' (Law 55/2010 Art 55(1)(c)) means and how permission is obtained,MOH/VFA,,None in VN; Decree 15/2018 registration mechanics could be reused,Medium,High,,PO-019,restated or refined by wave 2 option(s): PO-019,REG-01; REG-02,VN-direct,High,"Removes the main enforcement-discretion risk for fungal, algal and PF foods"
PO-003,wave 1 REGULATION,,superseded,,"Reliance fast-track: accept approvals from reference regulators (Singapore SFA, US FDA GRAS no-questions, EU, FSANZ) for new food ingredients",MOH/VFA,,Decree 43/2026 fast-track for GMOs approved in >=5 developed OECD/G20 countries; Decree 15/2018 accepts foreign free-sale certificates,Medium,High,,PO-019,restated or refined by wave 2 option(s): PO-019,REG-18; REG-23; REG-02,VN-direct,Medium,Low domestic assessment burden
PO-004,wave 1 REGULATION,,superseded,,Joint MAE-MOH guidance on GMO status of purified precision-fermented proteins and enzymes (food-use certificate needed or not; 5% labelling; Art 37a closed-production certificate timelines),MAE Department of Nature Conservation and Biodiversity; MOH/VFA,,Decree 43/2026 definitions; EU distinction between food produced 'with' and 'by' GMOs (not re-verified),Low,High,,PO-016; PO-022,restated or refined by wave 2 option(s): PO-016; PO-022,REG-18; REG-19,VN-direct,Medium,Single most important clarification for PF investment
PO-005,wave 1 REGULATION,,superseded,,"Add candidate protein materials (bacterial SCP, fungal biomass, cassava-pulp microbial protein) to the livestock and aquafeed permitted lists at the next annual update, based on foreign authorisations",MAE DLPAH (livestock); DFFI (aquafeed),,Circular 31/2022 added yeast types and amino-acid by-products; Circular 21/2019 Art 6 annual update,Low,Medium,,PO-017; PO-018,restated or refined by wave 2 option(s): PO-017; PO-018,REG-32; REG-33; REG-40,VN-direct,High,Can avoid trials for materials already authorised abroad
PO-006,wave 1 REGULATION,,superseded,,"Publish a standard trial protocol for novel protein feed ingredients (poultry, pigs, whiteleg shrimp, pangasius) and fund public trials so results qualify under the state-research exemption","MAE (DLPAH, DFFI); MOST; research institutes",,Law on Animal Husbandry Art 37(2) exemption for recognised state research results,Medium,High,,PO-021,restated or refined by wave 2 option(s): PO-021,REG-29; REG-34; REG-48,VN-direct,Medium,Converts private trial cost into a public good; shortens time to list
PO-007,wave 1 REGULATION,18,3,,Provincial one-stop desk and published target timelines for feed and aquafeed procedures now decentralised,"Provincial People's Committees and Departments of Agriculture and Environment (e.g. Dong Nai, Ho Chi Minh City, Can Tho)",,Decree 136/2025 and Decree 32/2026 decentralisation,Low,Medium,,,not restated in wave 2 ranking (still a wave 1 option),REG-41; REG-35,VN-direct,High,Provinces compete for investment; low cost
PO-008,wave 1 REGULATION,,superseded,,"Use the Law on STI controlled-testing mechanism for supervised market pilots of novel foods (e.g. PF dairy proteins, cultivated seafood tastings)",MOST with MOH,,Law 93/2025 Art 21-23; Resolution 57-NQ/TW mandate; Korea regulation-free special zones (not re-verified),Medium,Medium,,PO-020,restated or refined by wave 2 option(s): PO-020,REG-48; REG-50,VN-direct,Medium,Needs an implementing decree or ministerial decision naming the approving body
PO-009,wave 1 REGULATION,17,3,,"Name alternative and novel protein ingredients for food and feed explicitly in biotech programmes (Resolution 189/NQ-CP tasks, Decision 429 follow-up) and the next high-tech product list update",MOST; MAE; MOH,,"Decision 23/2026 already lists recombinant proteins (item 60, 92) and microbial products (item 100)",Low,Medium,,,not restated in wave 2 ranking (still a wave 1 option),REG-47; REG-52; REG-53,VN-direct,High,Tax certainty and programme funding eligibility
PO-010,wave 1 REGULATION,,superseded,,Clarify high-tech certification criteria so PF and biomass fermentation plants qualify for CIT 10% for 15 years and 4+9 year holidays,MOST; MOF,,CIT Law 67/2025 Art 12-14; Decision 23/2026,Low,Medium,,PO-023,restated or refined by wave 2 option(s): PO-023,REG-45; REG-47,VN-direct,Medium,Decree 320/2025 criteria not yet read
