question,forecaster,value_or_probability,date,resolution_date,source_ids,notes
"Global cultured meat production above 100,000 t a year",Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),15% by 2031; 22% by 2036; 46% by 2051,forecasts made 27 Oct to 15 Nov 2021; published 22 Mar 2022; updated 25 Oct 2024,2031; 2036; 2051,HSC-18,"Implies 54% chance production stays below 100,000 t a year through 2051."
Global cultured meat production above 1 Mt a year,Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),3% by 2031; 9% by 2036; 31% by 2051,2021 (pub. 2022),2031; 2036; 2051,HSC-18,
Global cultured meat production above 10 Mt a year,Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),3% by 2036; 18% by 2051,2021 (pub. 2022),2036; 2051,HSC-18,
Global cultured meat production above 50 Mt a year,Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),9% by 2051,2021 (pub. 2022),2051,HSC-18,
"Over 100,000 t of cultured meat sold at under USD 10 per kg wholesale",Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),6% by 2031,2021 (pub. 2022),2031,HSC-18,Price-constrained question.
Cow-cell cultured meat produced at any price / at under USD 10 per kg,Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),8% / 4% by 2031,2021 (pub. 2022),2031,HSC-18,
Chinese government allocates USD 1 billion a year to cultured meat,Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),25% by 2031,2021 (pub. 2022),2031,HSC-18,US federal 15%; EU 13% (same panel).
Growth-factor cost below USD 1 per kg (as worded in the summary),Rethink Priorities panel (5 highly ranked Metaculus forecasters and 1 cultured-meat scientist; geometric mean of odds),30% by 2031,2021 (pub. 2022),2031,HSC-18,Unit ambiguous in the summary read; check the full report.
Accuracy of past cultured-meat timeline predictions,Rethink Priorities (retrospective of 273 public predictions),"84 resolved by 2021: 9 correct, 75 wrong (about 11% correct)",2021-09-15,n/a,HSC-19,The fetch summary said 'approximately 3%'; arithmetic from its own counts gives 11%. We use the counts. Author concludes 'very systematic overconfidence'.
Will a cultured meat product be available in at least one US store or restaurant for less than USD 30 in 2023?,"Metaculus community (question 14276, 119 forecasters)",Resolved No,question open 2023,2023-12-31,HSC-20,Community forecast values not readable without an account.
Cultivated meat market and volume by 2030,McKinsey and Company,USD 25 billion; about 1.5 Mt; up to 0.5% of world meat supply; needs 220 to 440 million L of fermentation capacity,2021-06-16,2030,HSC-21,"Consultancy projection, not a probability. Reality check 2026: largest reported production run 20,000 L (FTB-24) and 'none yet selling at commercial scale anywhere' (HSC-12)."
Share of global 'meat' supply in 2040,Kearney (expert interviews),Cultured 35%; plant-based 25%; conventional 40%,2019-06-13,2040,HSC-22,Consultancy projection; far above every later model.
Alternative proteins' share of the global protein market in 2035,BCG and Blue Horizon,Base 11% (97 Mt); upside 16% (technology) or 22% (regulation); downside 10%,2021-03,2035,HSC-23,Market-share projection recorded as an external forecast only; this study makes no market forecasts.
Very strong El Nino in northern autumn and winter 2026-27,NOAA Climate Prediction Center,Greater than 90%,2026-09-10,2027-02,HSC-28,Directly relevant to Peru's anchoveta and Vietnam's 2027 dry season.
Nino-3.4 anomaly above +2.5 C in October to December 2026 (a record event),NOAA Climate Prediction Center,75%,2026-09-10,2026-12,HSC-28,Next update 8 October 2026.
Year with greater than 10% maize loss in all four top exporters at once,Published model via CLM-24,Near 0% today; 7% at 2 C warming; 86% at 4 C,see CLM-24,2 C around the 2040s,CLM-24,Cross-reference to climate stream.
"Microbial protein share of crop-based feed protein demand, 2050","Published model via FTG-32 (SSP1, SSP2, SSP5)",10% to 19% (potential),see FTG-32,2050,FTG-32,"Model potential, not a forecast."
Power-to-protein production cost at best global sites,Fasihi et al. 2025 via FTG-01,EUR 4.0 to 4.5 per kg (2030); EUR 2.1 to 2.3 per kg (2050),2025,2030; 2050,FTG-01,7% WACC; authors doubt competitiveness as bulk feed.
Precision-fermentation protein cost targets,Industry 'envisaged' figures via FTB-23,USD 10 per kg by 2025; USD 1 per kg by 2035,see FTB-23,2025; 2035,FTB-23,The 2025 target is not evidenced as met (FTB).
Deaths avoidable and emissions cut by a planetary health diet,EAT-Lancet Commission 2.0 (via PIK),Up to 15 million premature deaths a year; food emissions cut by more than half,2025-10-03,2050 framing,HSC-24,Food systems about 30% of global GHG. Different from 2019 edition values (11 million deaths).
Food-system emissions in 2050: business as usual versus planetary health diet with halved waste,"EAT-Lancet Commission 1.0 (2019 summary, rehosted 2025)",9.8 versus 4.5 Gt CO2e a year; red meat 14 g a day (range 0 to 28) recommended,2019,2050,HSC-25,Do not mix with 2025 figures.
Local production share of Singapore's protein consumption,Government of Singapore (Singapore Food Story 2),30% by 2035 (from 26%); fibre 20% by 2035,2025-11-06,2035,HSC-36,Official target replacing '30 by 30'; alternative proteins excluded in the short term.
