record_id,buyer,segment,ownership,protein_ingredients_used,evidence_of_use,scale_indicator,statements_on_plant_protein_or_sustainability,likely_first_novel_product,switching_likelihood,ease_of_first_trial,source_ids,evidence_label,confidence,demand_evidence_type,notes
BM-01,VISSAN (Vietnam Livestock Technology JSC),"Meat processing (gio, cha, sausage, pate, canned); chay line",Vietnamese JSC; Masan MEATLife strategic link,"Soy protein (19 of 61 unique meat formulations), wheat gluten or wheat protein, milk protein, egg white powder, wheat fibre, yeast extract","Ingredient lists on 118 Vissanmart SKUs (84 with lists), Sep 2026","Revenue VND 2,972 billion and processed food 18,547 t (2025); 2026 plan VND 3,270 billion and 20,350 t; frozen food plant 5,000 t/yr (HCMC) and northern plant 3,000 t/yr",No plant-based or chay mention found in the text of the 2025 annual report; launched two chay dumpling SKUs on 27 Aug 2026 (supply study ECO-30),Domestic TVP or soy concentrate for chay lines; soy-free binder (mung bean protein) or fungal biomass for value-line gio and pate,Medium,Medium: existing chay lines and new-product pipeline; state-linked governance,BUY-04; BUY-05; ECO-30,VN-direct,High,revealed,"Soy protein appears mainly in value lines (3 Bong Mai canned range, pate, gio lua thu and bi, DHA sausages), not premium lines."
BM-02,"Masan MEATLife (MEATDeli, Ponnie, 3F Viet, Masan Jinju)",Meat processing and chilled meat,Masan Group (Vietnam),Not verified from labels in this wave,Masan Jinju makes sterilised sausage and canned meat (2023),"Revenue VND 9,230 billion (2025), processed meat revenue up 21.9%; innovation products 31% of category revenue; about 61% of the protein category in WinCommerce's 4,592 stores",Describes its strategy as becoming a 'nen tang dam tieu dung' (consumer protein platform); no plant-based product found,Hybrid or high-protein processed meat using fungal biomass or plant protein; fast in-store tests through WinCommerce,Medium,"Medium: owns retail shelf and data, so a trial can reach shelf fast",BUY-10; BUY-11; BUY-13; BUY-14,VN-direct,Medium,stated,"Ponnie sausage positioned on '88% meat' (2022), which signals that the premium tier markets less extender, not more."
BM-03,"Masan Consumer (Omachi, Kokomi, Chin-su, Nam Ngu)",Instant noodles; seasonings and sauces,Masan Group,Not verified in this wave,n/a,"Revenue VND 30,557 billion (2025); H1 2026 VND 15,637 billion; Omachi value share up 1.3 points in H1 2026",No plant protein statement found,TVP garnish for noodles; umami or protein ingredients for seasonings,Low,Low: large FMCG with long qualification,BUY-11; BUY-12,VN-direct,Medium,revealed,Protein ingredient use not checked on labels; open question.
BM-04,C.P. Vietnam (CPV Food),"Integrated feed, farm and food; processed chicken for export",Charoen Pokphand (Thailand),Not verified in this wave,n/a,"Revenue about VND 85,000 billion (2025, supply study); CPV Food Binh Phuoc (now Dong Nai) processed chicken complex USD 250 million, exporting to Japan, Singapore, Hong Kong","R&D, AI and net-zero messaging; we found no plant-based product or statement in Vietnam",Export-oriented hybrid or plant-based lines if the Thai parent localises them (not evidenced),Low,Low: export QA and group-level product decisions,BUY-31; IND-43,VN-direct,Medium,stated,Also a feed buyer (covered by the supply study).
BM-05,Ha Long Canfoco (Do hop Ha Long),"Canned meat, pate, sausage",Listed JSC (Hai Phong),Not published online,Product pages lack ingredient lists,"Net revenue VND 204 billion in H1 2026, down 32%; Q2 2026 loss VND 12 billion; about 130 t of ASF-infected pork destroyed (incident Sep 2025, disclosed early 2026)",None found,None near term,Low,Low: financial distress and a food-safety crisis,BUY-20,VN-direct,High,revealed,A reformulation story ('safer protein') is conceivable but the firm is shrinking.
BM-06,Ba Huan JSC,Eggs and egg products,Vietnamese JSC,"Supplier of eggs, not a protein-ingredient buyer",n/a,Tax arrears VND 30.4 billion; 401 workers; social insurance arrears VND 6.5 billion (Sep 2026),None found,Not a plausible first customer,Low,Low,BUY-23,VN-direct,High,revealed,Listed in the brief as a possible buyer; evidence points the other way.
BM-07,JBS (Vietnam plants),Meat processing for export,JBS S.A. (Brazil),Not known,n/a,"USD 100 million for export-processing plants in Hai Phong then HCMC, processing imported meat and offal for China and other markets",None found in Vietnam,None near term,Low,Low,BUY-30; BUY-46,VN-direct,Medium,stated,"Signals FDI in meat processing, not demand for alternatives."
BM-08,Acecook Vietnam,"Instant noodles, pho, mien",Acecook (Japan) majority,Soy protein in seasoning and garnish sachets; pea starch 82 to 84 g/kg in De Nhat noodle blocks; mung bean starch in Mien Phu Huong,"Product ingredient lists, Sep 2026","Vinh Long plant (USD 200 million, 2026): 81,000 t/yr products plus 27,600 t/yr sachets, 1.2 billion packs/yr in phase 1; national market 8,231 million servings (2025)",Sustainability messaging on biomass boilers; Hao Hao is calcium-fortified (333 mg per pack); no protein-fortification claim found,Domestic TVP granules for 'thit bam' style garnish; pulse starch from a mung bean or pea fractionation plant,Medium,"Medium: Japanese QA, but sachet components are a small, testable change",BUY-03; BUY-21; BUY-22,VN-direct,High,revealed,Hao Hao 75 g pack gives 6.2 to 6.9 g protein.
BM-09,Vinamilk,"Dairy, plant milks, nutrition",Listed; SCIC is a major shareholder,"Pea protein (first protein ingredient of high-protein nut milk); milk powders and whey (imported, per USDA)","Product ingredient list and claims, Sep 2026","Revenue VND 35,034 billion in H1 2026 (up 17.7%); high-protein and plant milk lines named as growth drivers","Markets 'mot nguon dam thuc vat moi: dau Ha Lan' (a new plant protein source: pea); claims no soy, no lactose, non-GMO, no gluten, glyphosate-free for all plant milks","Rice or mung bean protein isolate as a soy-free, locally made alternative to imported pea protein; later precision-fermented dairy protein",Medium,"Medium: strict specs and long QA, but proven appetite for non-soy protein",BUY-15; BUY-16; MAC-31,VN-direct,High,revealed,The only large Vietnamese buyer found using a non-soy protein isolate.
BM-10,"Vinasoy (Quang Ngai Sugar, QNS)",Soy milk and nut milks,Listed parent QNS; Nutifood group building a stake,Whole soybeans (imported); plant protein in Veyo nut milks,Company and press,"Soy milk revenue more than VND 4,100 billion (2024, supply study); about 80% soy milk share",Member of the Plant Based Foods Association; positions on 'dinh duong thuc vat' (plant nutrition); Veyo Smarty kids nut milk (Dec 2025),Mung bean or rice protein to raise protein in nut milks without more soy,Medium,Medium,BUY-17; ECO-41,VN-direct,Medium,stated,"Uses beans, not isolates, in its core line."
