actor_id,actor,actor_type,vietnam_presence,asc_status_sep_2026,stated_ingredient_strategy,microbial_protein_trials_or_purchases,standards_targets_and_timeline,relevance_to_t2,source_ids,evidence_label,confidence,demand_evidence_type,notes
FBA-A01,Skretting Vietnam (Nutreco),"aquafeed mill, multinational","Thuan Dao branch, Tay Ninh (former Long An); shrimp, pangasius, tilapia, marine fish and trout feed",Certified 2 Jul 2025 (v1.2),"Nutreco RoadMap 2025 target of 5 to 10% novel ingredients by volume by 2025; result 0.6% for Nutreco, 1.5% for Skretting, 0.3% for Trouw Nutrition; now judges novel ingredients on footprint, resilience, supplier readiness and customer value rather than volume. Target of 100% deforestation-free soy and palm by 2025; result 40% (Skretting 38%). Counts yeast and bacterial single-cell protein, mycoprotein and functional ingredients (prebiotics, probiotics, hydrolysates) as novel; screens them on food safety, nutrition, scalability, cost competitiveness and environmental and social impact",None found in Vietnam. Only novel ingredient in Vietnamese commercial feed is insect meal in shrimp feed from November 2025 (benchmark only),RoadMap 2025 targets missed; no replacement volume target published in the 2025 impact report,The one named buyer with a public novel-ingredient intake route (supplier form); its global share shows how slowly novel inputs enter feed even with a target,FBA-07; FBA-08; FBA-04; VCO-28,VN-adjacent,High,revealed; stated,"Group-wide figures, not Vietnam-specific; insect meal is cited as a benchmark, not a recommendation"
FBA-A02,De Heus Vietnam,"livestock and aquafeed mill, multinational","21 plants; new shrimp feed mill (2024); marine R&D facility at Vinh Long (July 2024); 168,000 t a year marine and cold-water fish feed mill at Vinh Long (2026); bought CJ Feed and Care (closed 3 Mar 2026)","Vinh Long 4 branch certified 23 Oct 2025 (v1.2, shrimp)","Aims for deforestation- and conversion-free soybean meal and palm on a mass-balance basis, with compensation credits where risk is high; names dependency on soy and feed additives from the United States, Brazil, Argentina and China as a strategic risk","None found; the 2025 sustainability report has no novel, single-cell, yeast, insect or algae ingredient target or trial",Global environmental and human rights due diligence process by end 2025,Largest livestock buyer and a new premium shrimp and marine buyer; owns an in-country marine trial facility that could host a head-to-head trial,FBA-12; FBA-04; VCO-08; VCO-09; VCO-10,VN-direct,Medium,stated,Clean negative on microbial ingredients in the 2025 report (text search)
FBA-A03,C.P. Vietnam (Charoen Pokphand Foods),"integrated feed, farm and food group","Aquaculture business branch; new Ca Mau shrimp feed capacity of 124,800 t a year (2026)","Aquaculture business branch certified 18 Jul 2025 (v1.2, shrimp)","Target of 100% of key raw materials (feed corn, soy, palm oil, cassava) from deforestation-free, traceable sources; 43% achieved in 2025; soy for poultry feed deforestation-free since January 2026; promotes probiotic-enriched feed",None found; the 2025 sustainability report does not mention single-cell or microbial protein,On-site ESG audits of critical and high-risk Tier 1 suppliers in Thailand and Vietnam by 2025,"Named first buyer; its stated feed innovation is probiotics, not protein",FBA-11; FBA-04; IND-42,VN-adjacent,Medium,stated,Group figures mostly Thailand-based
FBA-A04,Grobest Vietnam,"shrimp feed mill, Taiwan-owned",Bien Hoa mill (Dong Nai); GROFARM model with 68 new farms in 2024; claims market leadership in Vietnam,"Certified 23 Jun 2025 (v1.2, shrimp)","Seeks alternative proteins that keep performance and cost-efficiency to ease reliance on fishmeal; 2024 certified sourcing: fishmeal 55%, soy 38%; sells functional feed lines (growth, immunity) and trialled immune functional feeds against EHP in Vietnam and Indonesia","Evaluated bacterial single-cell protein and fermented corn protein in recent years (results not published); in 2024 moved research to canola protein concentrate, which replaced up to 80% of fishmeal in a Taiwan trial",Six BAP-certified plants in 2024 (10 in 2022),The only named Vietnamese shrimp feed buyer with a disclosed microbial-protein evaluation; its move to a plant concentrate is a revealed preference on price and performance,FBA-13; FBA-04,VN-direct,Medium,revealed; stated,Company report; market-leadership claim conflicts with the package view that Sheng Long is largest (see disagreements)
FBA-A05,Uni-President Vietnam,"feed, flour and food group, Taiwan-owned","Sites in Ho Chi Minh City (former Binh Duong), Dong Thap (former Tien Giang), Khanh Hoa (former Ninh Thuan) and Da Nang (former Quang Nam)","Quang Nam branch certified 13 Nov 2025 (v1.01, shrimp)","Named ASC certification as a 2026 priority; quoted fishmeal at USD 1,600 per t (November 2025); website gives no ingredient strategy",None found,None published,Named first buyer; no public signal beyond ASC,FM-04; VCO-29; FBA-04,VN-direct,Low,stated,
FBA-A06,Sheng Long Bio-Tech (Haid Group),"shrimp and fish feed mill, China-owned","Haid and Thang Long (Sheng Long) Vinh Long complex, 650,000 t a year; Haid plant in Hai Phong (former Hai Duong), 700,000 t a year claimed","Certified 11 Mar 2026 (v1.01, shrimp and marine finfish)",Named ASC certification as a 2026 priority; expected shrimp feed sales to grow about 15% in 2026,"Not found; Haid website could not be fetched (robots or server error), so the parent strategy was not read",None read,Largest shrimp feed maker by capacity in the package; parent is a Chinese group with direct access to Chinese microbial proteins,FM-04; IND-46; IND-43; FBA-04,VN-direct,Low,stated,Gap: Haid annual report not read
FBA-A07,Tongwei Vietnam,"aquafeed mill, China-owned","Top-six shrimp feed maker; raised shrimp feed prices by VND 1,200 to 1,500 per kg in June 2026",Initial audit (shrimp),Group feed capacity about 13 Mt a year; 2025 ESG report describes precision aquatic nutrition and microalgae R&D on protein substitution and phycocyanin,"None found; the 2025 ESG report has no single-cell, microbial or yeast protein and no fishmeal or soybean-meal reduction target (Chinese-language text search)",None found for Vietnam,"Named first buyer entering ASC; its group R&D points to algae, not yeast or bacteria",FBA-14; FM-10; FBA-04,VN-adjacent,Medium,stated,Clean negative for microbial protein in the group ESG report
FBA-A08,BioMar Viet Uc (Viet Uc Aqua Feed),shrimp feed joint venture of BioMar (Denmark) and Viet-Uc,"Factory run with Viet-Uc, one of the largest shrimp farmers in Vietnam; ramp-up volumes cited in BioMar H1 2026 results","Certified 11 Jul 2026 (v1.2, shrimp); first ASC-certified BioMar plant in Asia",BioMar target of 50% circular and restorative ingredients by 2030; 27.4% in 2024; lists commercialisation of novel raw materials as a strategic aim,None found for Vietnam,50% circular and restorative by 2030,New premium shrimp buyer tied to an integrated shrimp farmer; a plausible trial partner,FBA-09; FBA-10; FBA-24; FBA-04,VN-direct,Medium,stated,BioMar took a DKK 36 million goodwill write-down in Vietnam in 2023
FBA-A09,Cargill Vietnam,"livestock feed and premix, multinational","About 1,100 staff; 11 plants (2023); Provimi premix plant of 40,000 t a year in Dong Nai",Not in the ASC register,"Website lists livestock, poultry and aquatic feed, supplements and additives; no ingredient strategy found",None found,None found; global aqua sustainability page returned 404,Premix plant is a route for micro-inclusion functional ingredients; package reports an exit from aquafeed in May 2025,FBA-16; IND-47; IND-43,VN-direct,Low,stated,Disagreement on whether Cargill still makes aquafeed in Vietnam
FBA-A10,GreenFeed Vietnam,"livestock and aquafeed mill, Vietnamese",Among the livestock feed leaders,"Certified 1 Aug 2025 (v1.2, pangasius, tilapia, seabass and seabream)",Not read,None found,None read,Pangasius and marine fish buyer with ASC scope,FBA-04; MAC-25,VN-direct,Low,revealed,Register entry only
