where,current,proposed,evidence_source_ids,strength,type
"ch27-export-demand 27.3, ""The tariff edge""; market_access.csv (new rows)",Tariff edge stated without origin conditions; EU and UK only; Japan edge given for textured protein only,"Add an origin paragraph: the EU text (EVFTA Protocol 1) is now verified and matches the UK text; for stuffed pasta and other chapter 19 foods the binding recipe item is non-originating flour, starch or rice (at most 20% of weight, and flour milled from imported wheat is non-originating); imported textured soy is not limited in dumplings and is limited in 2106 foods only to 10% of weight or ex-works price; CPTPP (UK, Japan, Canada) and RCEP need only a change of chapter for 1902, so the recipe does not bind there",ORG-01; XBA-30; ORG-04; ORG-06,strong,adds
ch27 27.3 Barrier 4 and TPP-08 avoid list as proposed by wave 8 L3 (changes.csv row on market_access and TPP-08),"""chay food preparations with more than 10% imported textured soy, and wheat-wrapper dumplings above 20% imported flour, for the EU""","""EU-bound wheat-wrapper foods (dumplings, bao, pasta-wrapper spring rolls) with more than 20% non-originating flour or starch by weight; for the UK claim CPTPP instead"". Drop the textured soy clause or restate it as ""2106 foods with imported textured soy above 10% of weight or value""",ORG-01; ORG-03; ORG-04,strong,corrects
ch27 27.3 tariff edge; chart-tariff-edge; market_access.csv,"EU, UK and Japan edges of 6 to 13 points on textured protein, food preparations and plant drinks","Add stuffed pasta: EU 8.3% plus EUR 6.10 or 17.10 per 100 kg (0% for Viet Nam); Japan 21.3% WTO against 3.8% for Viet Nam under CPTPP in FY2026, with no concession for China or Thailand (17.5 points); Canada 11% against free; UK 8% plus GBP 5.10 or 14.00 per 100 kg against 0% under UKVFTA and CPTPP",ORG-02; ORG-03; ORG-05; ORG-07,strong,updates
ch27 27.3 (new sentence) and TPP-08 formats,No meat versus vegetable distinction,"Add: Viet Nam is not on the EU list for entry of meat products (Implementing Regulation 2021/404 Annex XV as adopted), and meat-filled stuffed pasta is not yet duty-free (EUR 6.787 per 100 kg in 2026 against EUR 54.30 MFN); EU-bound Vietnamese wrapped foods are seafood or plant-filled, so a plant-protein filling is the practical substitute for pork in EU lines",ORG-10; ORG-02; ORG-11,moderate,adds
target_product_profiles.csv TPP-08 format_and_function and label_and_claims,"""Frozen or ambient; simple labels""","Add: for EU buyers, wrappers of Vietnamese rice flour or cassava starch, or wheat flour at most 20% of weight; plant-protein fillings may use imported textured soy freely in dumplings, and soy isolate or gluten freely in 2106 foods",ORG-01; ORG-12; XBA-26,moderate,adds
target_product_profiles.csv TPP-01 label_and_claims; ch29 29.2 TPP table,"""Non-GMO; halal certificate for exporters; certificate of analysis; traceable origin""","Add: to count as originating in any agreement, domestic textured soy must be extruded from soy flour or meal (1208, 2304), not from imported concentrate (2106.10). Origin rules give it no export premium",ORG-01; ORG-04; ORG-06; TIC-12,moderate,adds
play_demand_check.csv T1 demand_evidence; ch29 29.3 T1 row,Import substitution evidence only,"Add a clean negative: export origin rules do not create a customer for domestic textured soy (dumplings are indifferent to its origin under every agreement; EU and UK 2106 foods can use up to 10% imported textured soy by weight or value, or isolate and gluten without limit; CPTPP and RCEP accept it). Market pull stays at 5; kill test unchanged",ORG-01; ORG-04; ORG-06; XBA-30,moderate,adds
"brief-manufacturers ""Export angles""","Singapore approval, halal; no origin guidance","Add: for EU buyers, check the flour share of wrappers (non-originating flour or starch at most 20% of weight; flour milled from imported wheat counts), use Vietnamese rice flour or cassava starch where needed, and ship to the UK, Japan and Canada under CPTPP, which accepts imported flour and textured soy. Switching to domestic textured soy does not change origin for dumplings",ORG-01; ORG-04; ORG-05; ORG-07,moderate,adds
open_questions.csv OQ-244,open,"Answered: EU verified (EVFTA Protocol 1, identical to UKVFTA); CPTPP and RCEP read; imported soy protein does not break origin for 1902 foods and breaks it for 2106 foods only above the 10% tolerance; residual question on the value basis of the tolerance",ORG-01; XBA-30; ORG-04; ORG-06,strong,updates
demand_moves.csv DMV-19; ch27 27.7 Policy makers bullet,"""clarify origin rules for products made from imported soy protein""","""publish an origin note for wrapped-food exporters on the EU 20% flour and starch cap and on the 10% tolerance by weight or value; imported soy protein is not the main constraint""",ORG-01,moderate,corrects
"wave 8 L3 key_numbers.csv row ""Maximum non-originating flour, starch or rice in stuffed pasta""","Context: ""chapter 21 chay foods must also change heading, so more than 10% imported textured soy (2106.10) breaks origin; EU rules expected to match (not verified)""","Context: ""EU rules verified and identical; in 2106 foods imported textured soy is allowed up to 10% of weight or ex-works price; in stuffed pasta it is not limited""",ORG-01,strong,corrects
