record_id,actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AFN-A01,AFN-A01,Coefficient Giving (Farm Animal Welfare fund; Alternative Protein R&D RFP),international,philanthropy (grantmaker),United States; global,"Funds alternative-protein R&D to close taste and price gaps: off-flavour reduction, fat alternatives, egg replacement, and characterising fish flavours in tilapia, milkfish, carp and catfish. Up to USD 30 million over two rounds (USD 0.1 to 1 million; USD 1 to 5 million), closed 10 August and 15 September 2026, decisions by 30 November and 31 December 2026. For-profits and international applicants eligible. Fund strategy includes movement building 'especially in emerging economies'. Also funded the Stanford restaurant displacement study.",Taste and price represent the biggest barriers to mainstream adoption,"No country named. Emerging economies are a stated priority for movement building. The fish species chosen are Asian aquaculture species, including catfish (pangasius is a catfish).","Medium. Asks R&D applicants for 'a credible pathway to industry uptake', so a Vietnamese applicant needs a named buyer. Demand evidence it funds is on displacement (restaurant data), which supports Part III.",AFN-01; AFN-02; AFN-03; AFN-07,general,High,"Grants database could not be searched from here (HTTP 403), so Vietnamese grants are unverified. Part II ch08 already covers this RFP as a supply-side grant."
AFN-A02,AFN-A02,Nova Vista Foundation (Protein Innovation RFP),international,family foundation,United States; global,"USD 10 million RFP (grants USD 100,000 to 750,000 a year; phase 1 closed 15 September 2026; decisions late November or early December 2026) for policy (public R&D and commercialisation funding; fair, safe, fast novel-food pathways) and market shaping (public procurement of innovative protein products, advance market commitments, retailer and corporate protein-diversification commitments such as protein ratio targets, blended finance, prizes) plus experimental work (AI, open data).",Public procurement of innovative protein products specifically.,"Extra policy capacity sought in 'high-innovation Asian economies (including but not limited to Japan and South Korea), Germany at the national level, and the Nordics'. Vietnam not named.","High. Defines demand evidence as institutional decisions: goals must be 'outcomes in the world' with 'an identifiable decision-maker, a reason they might move, and a window'. Out of scope: direct R&D, culture change and consumer awareness campaigns, whole-food plant-based interventions, individual diet change, and 'work whose likely effect is to shift consumption from larger animals to smaller ones'.",AFN-04; AFN-05,general,High,The brief calls this the 'Nova Vista Foundation / Navigation Fund' RFP. The RFP text and announcement name only Nova Vista; we found no link to the Navigation Fund.
AFN-A03,AFN-A03,The Navigation Fund,international,philanthropy (grantmaker),United States; global,"Farm animal welfare grants by invitation, three cycles a year: institutional impact (policies at food corporations, government and public institutions), movement power, target audiences, capacity building, new funding, innovation.",Grant applications are by invitation,"No region named on the grants page. No alternative-protein RFP found, which matches Part II ch08.","Low to Medium. Institutional-policy focus could cover public meals, but no demand evidence standard is published.",AFN-06,general,Medium,
AFN-A04,AFN-A04,The Good Food Institute (global),international,nonprofit field-builder and grantmaker,United States; global,"Open-access research grants (USD 27 million plus, 141 grants since 2019, 26 countries; closed in 2026, no reopening date) on organoleptic quality, cost and scale-up; 2025 round on fermentation-derived functionality and cell lines. Publishes State of the Industry market data. Advocates public R&D funding and fair labelling. Recommended by Giving Green as a top climate nonprofit.","focused on enhancing organoleptic properties, reducing costs, and scaling up alternative proteins",Global. Vietnam not named on the grants or State of the Industry pages. GFI's ecosystem database lists two Vietnamese companies (package ECO-22).,"Low for its grants (supply-side topics, no consumer research). Medium through the US and European retail data that Part III already uses.",AFN-08; AFN-09; AFN-10; AFN-30,general,High,
AFN-A05,AFN-A05,GFI APAC,international,nonprofit field-builder,Singapore; Asia-Pacific,"Regulatory pathways, public investment, talent. 2026 watch list: Korea, Chinese biomanufacturing, climate finance, jobs narrative, 'conventional meat enhanced with plant proteins' rolled out in foodservice first at price parity, and 'protein maximisation' positioning. Ran the Decoding Demand survey (2023, Vietnam n = 1,049) and the A*STAR blended-meat taste test.",Asia's first large-scale rollouts (of meat enhanced with plant proteins),"Singapore, Malaysia, Thailand, Philippines, China, Korea named. Vietnam not named in the 2025 report card; no team member listed for Vietnam.","High. Produces the consumer numbers funders quote for Vietnam, and is steering corporates towards blended meat, which Part III identifies as the entry route.",AFN-11; AFN-12; AFN-13,VN-adjacent,Medium,
AFN-A06,AFN-A06,GFI India with the Observer Research Foundation (state feeding schemes roundtable),international,nonprofit field-builder and think tank,India,"Building plant-based and biomass-fermented proteins from local pulses, millets, oilseed meals and broken grains into PM-POSHAN school meals and ICDS take-home rations; protein quality, safety and allergenicity studies, community acceptability trials, shared processing and testing infrastructure. FSSAI, the Department of Biotechnology, the World Bank and WFP took part.",much of the school-feeding budget operates at under 10 rupees per student each day,India only. A transfer model for Vietnam's upland child protein gap (Part III ch11.2).,"High. Treats a public feeding scheme as a protein-quality and cost buyer, not a meat-displacement channel.",AFN-14,VN-adjacent,Medium,Trade press report of the roundtable; the organisers' own summary was not read.
AFN-A07,AFN-A07,Bezos Earth Fund and the Bezos Centre for Sustainable Protein at NUS,research,philanthropy and university research centre,Singapore; East and Southeast Asia,"USD 30 million centre (September 2024) on microalgae and biomass fermentation, cultivated and plant-based proteins and hybrids; platforms for nutrition in Asian populations, safety and consumer acceptance. With Enterprise Singapore, up to SGD 1 million per growth-stage startup at TRL 7 to 9 (January 2026 call), for 'technical and commercial viability'. Example project: tofu by-product into protein.","Asia is pivotal to the future of sustainable proteins, and Singapore is leading the way.",Targets East and Southeast Asia's 2.3 billion consumers. Vietnam not named.,Medium. Runs consumer-acceptance research and wants products matching meat 'in both taste and price'; a natural partner for Vietnamese sensory and label tests.,AFN-15; AFN-16; AFN-17,VN-adjacent,Medium,
AFN-A08,AFN-A08,ProVeg International and ProVeg Incubator,investors,accelerator and advocacy NGO,Germany; global,"Up to USD 300,000 including USD 75,000 in kind for early-stage plant-based, fermentation and cultivated startups; 100+ startups supported.",100+ startups transforming the food system,No Asia programme or Vietnamese portfolio company found. Part II ch08 and app-s11 list it as a regional option.,Low. No published demand evidence standard.,AFN-48,general,Medium,
AFN-A09,AFN-A09,Asia Research and Engagement (ARE),investors,investor-backed engagement NGO,"Asia (Singapore, Hong Kong base)","Asia Protein Buyers 100 benchmark (February 2026): 100 listed retailers, manufacturers, restaurant chains and hotel groups in 12 markets, 40 indicators. Protein diversification indicators: alternative proteins in strategy, 2030 sourcing targets, disclosure of alternative protein as a share of protein sales, reporting on the GFI and FAIRR framework. Asia Protein Transition Platform with 40+ companies and investor signatories.","Diversify further with alternative proteins, setting a sales target to help drive uptake and scale.","Vietnam included: five buyers assessed (Vinamilk, Masan, Vinh Hoan, Minh Phu, Nam Viet); Vinamilk in Tier 3. Platform engagement named in China, Thailand, India, Japan and Singapore, not Vietnam.",High. Defines corporate demand evidence as targets and disclosed volumes. Protein diversification averaged 7.4%; 48 of 100 buyers offer plant-protein products; only 2 publish sourcing targets and report volumes.,AFN-18; AFN-19,VN-direct,High,
AFN-A10,AFN-A10,FAIRR Initiative,investors,investor network,United Kingdom; global,"Protein diversification engagement (phase 2 ended October 2025; 73 investors with USD 11.5 trillion; 20 large manufacturers and retailers, none Asian). Coller FAIRR Protein Producer Index scores listed producers on alternative proteins.",(Vinamilk) lacks a timebound target for protein diversification,"Vinamilk assessed in the 2024 index: rank 34 of 60, alternative proteins score 45 of 100, plant-based 1.30% of its product range.","Medium. Investor pressure through disclosure; Asian coverage is via the producer index, not the engagement.",AFN-20; AFN-21,VN-direct,High,
AFN-A11,AFN-A11,Humane World for Animals (formerly Humane Society International),international,animal protection NGO,"United States; global, with a Viet Nam office","In Viet Nam: dog and cat meat trade, wildlife, cage-free hens (90,000 hens in 2024), disasters. Globally: Forward Food chef training and plant-based menu commitments; in 2025 new commitments to transition 2.3 million meals a year to plant-based and training of 370+ chefs and 570+ nutritionists in seven countries including Viet Nam.","trained over 370 chefs, as well as more than 570 nutritionists and other professionals across Brazil, Canada, India, South Africa, Thailand, the UK and Viet Nam","Active in Viet Nam. The Viet Nam page lists no plant-based programme and Forward Food lists no Viet Nam location, but the 2025 summary includes Viet Nam in plant-based training.",Medium. Measures meals shifted; the one international diet-change implementer with staff in Vietnam that we found.,AFN-22; AFN-23; AFN-24,VN-direct,Medium,Corrects the wave-6 note (CHY-63) that it has no plant-based work in Vietnam; the Viet Nam detail is not published.
AFN-A12,AFN-A12,Lever Foundation,international,corporate engagement NGO,Hong Kong; Asia,"Corporate sourcing policies in Asia: 175+ commitments by early 2025 (cage-free, improved production, plant-based); hotel plant-based menu targets in China (IHG Greater China 30% by 2025, Orange Hotels 70% across 750 hotels); claims 29 million corporate meals shifted to plant-based. In 2026 expanded plant-based policy work to India and Thailand, 'shifting protein procurement ratios' with hotels, foodservice and retailers.",Our role isn't to introduce a new way of eating; it's to help institutions formalise and expand something that's already culturally present,"Hong Kong, China, Malaysia, Singapore, Philippines, Korea, India, Thailand. Vietnam not named.",High. Shows the corporate-commitment route working in Asian hospitality; measures meals shifted. Accor's own policy (50% vegetarian or plant-based dishes by 2030 in all hotels) already covers its 43 Vietnamese hotels.,AFN-38; AFN-39; AFN-40; AFN-41,VN-adjacent,Medium,Lever figures are organisation claims reported by trade press.
AFN-A13,AFN-A13,"Animal Charity Evaluators and its recommended diet-change charities (Sinergia Animal, Good Food Fund)",international,charity evaluator and grantmaker,United States; global,"2025 recommendations include Sinergia Animal (institutional meat reduction in schools and universities; 998,000 meals replaced in 2023 across Argentina, Colombia and Indonesia) and Good Food Fund (China; certifies institutions at least 60% plant-based). Movement Grants fund smaller groups.",3.4 meals replaced per dollar (ACE estimate for Sinergia's institutional programme),"Asian diet-change work in China, Indonesia and Thailand only. No Vietnamese grantee in the July 2025 Movement Grants round.","High for metrics. Allocates on cost per meal replaced and suffering averted, units Part III does not report.",AFN-25; AFN-26; AFN-27; AFN-28,general,Medium,
AFN-A14,AFN-A14,"Animal Alliance Asia (ReRoot Asia Fund, supported by Stray Dog Institute)",international,regranting network,Asia,"2026 fund for 'projects that will bring diet change', including institutional menu offerings, through local advocates.",transform individual food choices or institutional menu offerings,"Eligible countries in 2026: Taiwan, Philippines, Indonesia, Nepal, Pakistan, Japan. Vietnam not eligible.","Medium. Would fund institutional menu work of the kind Part III proposes, but not in Vietnam.",AFN-29,VN-adjacent,Medium,
AFN-A15,AFN-A15,Giving Green and Founders Pledge (climate recommenders),international,donor advisers,United States; United Kingdom,"Giving Green's 2025 to 2026 top climate nonprofits include GFI, for public R&D funding, fair labelling and cultivated-meat market access. Founders Pledge Climate Fund impact page shows only energy-policy grants.",Livestock production is responsible for at least 10% of global emissions,None found for Southeast Asia or Vietnam food work.,"Low to Medium. A climate case needs tonnes of CO2e avoided per USD, which Part III does not give.",AFN-30; AFN-31,general,Medium,Founders Pledge result is a clean negative from one page.
AFN-A16,AFN-A16,Rockefeller Foundation (school meals) and the School Meals Coalition,international,foundation and intergovernmental coalition,United States; Bangkok office; global,USD 100 million pledge (March 2025) towards nutritious school meals for 100 million children; climate-conscious and regenerative school meals linked to public procurement; School Meals Coalition membership and financing initiatives.,connecting local farmers practicing regenerative agriculture with public procurement systems,"Vietnam not named in the school meals work. Vietnam not listed among School Meals Coalition members, while Cambodia, Indonesia, Lao PDR, Philippines, Thailand and Timor-Leste are.","Medium. School-meal procurement is a demand lever, but these funders favour local and regenerative sourcing, not novel protein.",AFN-32; AFN-33,VN-direct,Medium,Negative findings from the pages read.
AFN-A17,AFN-A17,WWF (Planet-Based Diets; WWF-Viet Nam),international,conservation NGO,Global,"Retailer methodology (November 2025) for measuring the ratio of plant to animal protein-rich food sales by weight, towards 60% plant; counts legumes, tofu, tempeh, seitan and meat alternatives; designed for countries where animal food intake exceeds health recommendations.",This methodology is for retailers in countries where consumption of animal-based food exceeds health recommendations and planetary boundaries.,Global. WWF-Viet Nam's home page shows no diets or protein work.,"Medium. Offers the metric a Vietnamese retailer ratio target would likely use; weight-based, so tofu and low-protein chay would count fully.",AFN-34; AFN-35,general,Medium,
AFN-A18,AFN-A18,Dharma Voices for Animals (Vietnam Project),international,Buddhist animal advocacy NGO,United States; Vietnam (Hanoi),"Pagoda-based programme with Phap Van Pagoda: film screenings, plant-based cooking classes, dharma talks, free plant-based lunches, a donation-based vegan restaurant; plans to expand to the centre and south.","convert[ing] five restaurants into going vegan, including a dog meat restaurant","Vietnam-specific; aims at 15,000 pagodas and about 60 million lay Buddhists (organisation's framing).",Medium. The only organised attempt we found to add chay or vegan occasions through pagodas; no measured outcomes or dates.,AFN-36,VN-direct,Low,
