record_id,formulation_archetype,archetype,n_sku,n_products,count,median,min,max,count_ppp,median_ppp,min_ppp,max_ppp
RAA-001,A0,not a protein product / insufficient data,24,19,,,,,,,,
RAA-002,A1,starch-and-vegetable filled wrapper (<5 g),38,26,14,3.95,1.53,5.7,17,368548,155556,1727642
RAA-003,A10,tofu (3.8-9.3 g),8,8,5,4.98,3.8,9.3,5,66265,39171,121053
RAA-004,A11,"cultured/set nut, coconut or pea-oat product",14,10,5,2.93,1.6,9.7,8,572862,510526,892487
RAA-005,A12,imported premium SPC/SPI analog (15-16 g),2,2,2,15.5,15,16,2,581976,542424,621528
RAA-006,A13,"legume patty or spread (chickpea, 9 g)",3,3,2,9,9,9,2,447811.5,370370,525253
RAA-007,A14,protein powder (41-58 g),4,4,4,47,41.2,58.3,4,359537,343029,365634
RAA-008,A15,rice-based ready meal (about 4 g),3,2,1,4.2,4.2,4.2,1,383333,383333,383333
RAA-009,A2,"wheat-dough bun / wheat-wrapper dimsum (5-7 g, wheat-led)",11,7,5,5.74,5,6.3,3,262500,173055,572674
RAA-010,A3,hydrated TVP/gluten analog (12-25 g),10,10,5,19,12,25.1,4,111584.5,65990,175000
RAA-011,A4,gel/emulsion seafood analog (about 3 g),4,3,2,3.015,3,3.03,3,288449,278667,471947
RAA-012,A5,dry TVP/gluten slices and chunks (53-67 g as sold),8,8,5,64,53.3,66.7,4,64583.5,48976,85053
RAA-013,A6,canned soy luncheon/stew (4.5-9 g),9,7,2,6.79,4.5,9.08,2,321103,223704,418502
RAA-014,A7,soy beverage (1.3-2.5 g),14,14,6,2.25,1.3,2.5,3,91667,91660,877778
RAA-015,A8,pea-protein-fortified plant milk (5 g),2,2,2,5,5,5,2,174305.5,161111,187500
RAA-016,A9,cereal/nut beverage (<1.5 g),32,24,6,1.05,0.7,1.1,3,890909,725000,1444444
