record_id,protein_source,vnd_per_100g_protein,vnd_per_25g_protein,school_portion,protein_g_in_portion,vnd_per_portion,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-C01,"Tofu, household average paid (VHLSS 2024)","19,600","4,900",80 g tofu (school portion),8.7,"1,712",DIE-05; DIE-12,VN-direct,Low,inferred,Household unit value; closest to what a local kitchen pays (our calculation)
PMR-C02,"Tofu, supermarket (WinMart, 24 Sep 2026)","30,000","7,500",80 g tofu,8.7,"2,620",DIE-23; DIE-12,VN-direct,Medium,revealed,Retail; composition-table protein 10.9 g per 100 g (our calculation)
PMR-C03,"Hen eggs (Bach Hoa Xanh, 24 Sep 2026)","34,300 (40,000 at regular price)","8,575 to 10,000",1 egg,about 7,"2,400 to 2,800",COST-41; DIE-12,VN-direct,Medium,revealed,Egg weight 55 g assumed by Part III
PMR-C04,Chicken thigh meat,"39,000","9,750",95 g raw (Hoa Sua portion),19.3,"7,525",COST-40; DIE-12; PMR-24,VN-direct,Medium,revealed,Promotional retail price; portion from caterer menu sheets (our calculation)
PMR-C05,Chicken breast,"44,800","11,200",,,,COST-40; DIE-12,VN-direct,Medium,revealed,
PMR-C06,Lean pork,"70,900","17,725",90 g raw (Hoa Sua portion),17.1,"11,880",COST-39; DIE-12; PMR-24,VN-direct,Medium,revealed,Retail; portion from caterer menu sheets (our calculation)
PMR-C07,Pangasius fillet,"66,700","16,675",70 g raw (Hoa Sua portion),10.5,"7,000",DIE-15; DIE-13,VN-direct,Medium,revealed,"Protein 15 g per 100 g; Decision 3958 food table lists 9.7 g, which would raise the cost per gram"
PMR-C08,Dry soybeans,"14,500","3,625",,,,DIE-22; DIE-12,VN-direct,Medium,revealed,"Raw material, not a dish"
PMR-C09,"Textured soy protein, indicative Vietnamese ex-factory cost","3,700 to 10,700","925 to 2,675",ingredient giving the same protein as 80 g tofu,8.7,320 to 930,ch09 cost stack B; FORM-05; FORM-06,VN-direct,Low,inferred,"Ingredient only: oil, sauce, labour and a finished dish are not costed (our calculation)"
PMR-C10,"Textured soy at the TPP-01 price target (Chinese landed, about USD 1.9 per kg of protein)","4,940","1,235",ingredient giving the same protein as 80 g tofu,8.7,430,BUY-02; FORM-01,VN-direct,Low,inferred,"USD converted at VND 26,000 (our calculation); ingredient only"
PMR-C11,Branded retail textured or gluten analogue,"112,000","28,000",ingredient giving the same protein as 80 g tofu,8.7,"9,744",FORM-01,VN-direct,Medium,revealed,Retail price of a finished consumer product (our calculation)
PMR-C12,Imported plant-based analogues (retail audit),"542,000 to 622,000","135,500 to 155,500",,,,FORM-01,VN-direct,Medium,revealed,
PMR-C13,"Observed plant-slot day: fish 70 g, tofu 80 g, pork 7 g (Ngoc Lam, 15 Sep 2026)","51,300","12,800",two protein dishes,20.5,"10,544",PMR-24; DIE-15; DIE-23; COST-39; DIE-12,VN-direct,Low,inferred,Retail prices applied to the caterer portions (our calculation)
PMR-C14,"Observed pork day: pork 90 g, pork 65 g (Gia Thuy, 22 Sep 2026)","69,500","17,400",two protein dishes,29.5,"20,460",PMR-23; COST-39; DIE-12,VN-direct,Low,inferred,Retail prices applied to the caterer portions (our calculation)
PMR-C15,Public lunch protein budget (assumption-based),"25,200 to 64,000","6,300 to 16,000",protein items of one lunch,25,"6,300 to 16,000",PMR-06; PMR-32; PMR-33; AIB-35,VN-direct,Low,inferred,"Meal VND 35,000 to 40,000; food 60 to 80% of the meal; protein items 30 to 50% of food (our assumption); 25 g of protein from the protein dishes (our calculation)"
