record_id,crop_or_system,protein_kg_per_ha_per_yr,basis,vn_relevance,source_ids,confidence,notes
LPY-001,"Soybean, Vietnam average (1 crop)",580,"1.62 t per ha (42 kt on 26 kha, MY2024/25) x 36% crude protein as fed",Area falling; one crop after rice in rotation is the usual slot,FS-24,Medium,"Protein share is a general value. Two crops a year would give about 1,160."
LPY-002,"Soybean, import-origin average (Argentina, Brazil, US)","1,140",3.16 t per ha x 36%,The land Vietnam effectively farms abroad,QNT-01 (via QNT model),Medium,About 2.3 M ha abroad supplied Vietnam's soybean meal in 2025 (QNT).
LPY-003,Imported soybean meal protein (mass allocation),"1,410",QNT: about 0.71 ha per t of protein,Benchmark for protein substitutes,QNT-model,Low,Allocation method changes this by about 25% (QNT).
LPY-004,"Maize grain, Vietnam (1 crop)",460,5.43 t per ha (4.4 Mt on 0.81 Mha) x 8.5% crude protein,Upland and some rice-land conversion,FS-25; MAC-01,Medium,Energy crop first; protein is a by-product.
LPY-005,"Rice paddy, Mekong Delta (2 crops)",790,6.10 t paddy per ha per crop (43.5 Mt on 7.13 M ha planted) x 6.5% protein x 2,Current use of the land being released,FS-25,Medium,Lysine-limited protein. Three crops a year possible in parts of the delta.
LPY-006,Cassava roots used directly,250,20.5 t fresh roots per ha x 1.2% crude protein,Upland; not suited to wet lowland,FS-01,Medium,Roots are a carbon crop.
LPY-007,Cassava roots via microbial fermentation (sugar route),"1,260",20.5 t roots -> 4.66 t starch -> 5.03 t glucose per ha; 4.0 t glucose per t protein,The S-ALT sugar route; 262 kha would supply the 2050 need,FS-01; FS-05; QNT-model,Low,Needs 0.37 t urea per t protein (QNT); competes with starch exports and E10.
LPY-008,Sugarcane via microbial fermentation,"1,410",5.38 t sugar per ha (Gia Lai: 215 kt on about 40 kha) -> 5.66 t SE -> / 4.0,"Gia Lai, Dak Lak; cane area stable",FS-34; QNT-model,Low,Cane also yields bagasse (about 2 t DM per ha) for energy or 2G sugar.
LPY-009,Rice straw as 2G co-product (no extra land),"730 to 1,040",2 crops x 4.72 t straw per ha x 0.31 to 0.44 t SE per t / 4.0,Every Mekong rice hectare; the 1 Mha programme,NGF-02; NGF-05; ngf_calc.py,Low,Adds protein on top of the rice crop's own 790 kg; depends on bankable 2G sugar.
LPY-010,"Napier grass, typical management","2,500",26 t DM per ha per yr x 96 g crude protein per kg DM,Ruminant fodder on converted land; cattle herd falling,NGF-21,Medium,Only ruminants use it; fibre-rich.
LPY-011,"Napier grass, intensive (11 to 12 cuts a year, dense sowing)","9,600",71 t DM x 135 g crude protein per kg DM,Needs high N and water,NGF-21,Low,Few studies; could feed a leaf-protein extraction plant.
LPY-012,Duckweed on pig-manure wastewater (tropical year-round extrapolation),"7,500","327 mg N per m2 per day x 6.25 x 365 (Flanders pilot, 175 days)","Mekong ponds, livestock effluent; duckweed (bèo) already on the livestock feed list",NGF-22; ngf_calc.py,Low,22 t DM per ha at 6.1 g per m2 per day. Heavy metals and manganese need control for food use (v0.1).
LPY-013,"Duckweed, v0.1 planning range","2,500 to 10,500",10 to 30 t DM per ha x 25 to 35% crude protein,As above,SCI-36; SCI-37 (v0.1),Medium,No Vietnamese field data; a claim of 5 to 10 times crop protein yields (NGF-23).
LPY-014,"Microalgae (potential, closed systems)","22,000 to 44,000",FTG-30 potential,South-central coast for spirulina,FTG-30,Low,"Potential, not achieved yields; high capex."
LPY-015,Power-to-protein on solar PV land (Vietnam),"13,000 to 22,000",450 to 750 m2 of PV per t protein (FTG estimate),Any land; energy not land is the constraint,FTG (estimate); QNT-09,Low,Not a crop: electricity plus CO2 plus NH3. Over 10 times any staple crop (QNT-09).
