question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"What are Vietnamese retail volumes, prices, household penetration and repeat rates for tofu, soy milk, packaged chay foods and imported plant-based meat, 2019 to 2025?","Every benchmark in this paper is foreign; the Vietnam sizing model needs a revealed baseline and a repeat rate, not survey intent",Buy a one-off extract of household panel data for the relevant categories,Kantar Worldpanel Vietnam; NielsenIQ Vietnam,High
"How large is Taiwan's traditional vegetarian and mock-meat industry, and did Western-style plant-based meat grow the category or take share within it after 2019?","Taiwan is the closest analogue to Vietnam (Buddhist vegetarian culture, soy and gluten mock meats, strong foodservice); we found only small retail figures and 2019 to 2020 launch claims",Ask for industry output and retail panel series; check Taiwan Council of Agriculture or MOEA statistics,"Food Industry Research and Development Institute (FIRDI), Taiwan; Taiwan Vegetarian Food association bodies; Euromonitor",High
Does buying plant-based meat or plant milk displace meat or dairy purchases in any Asian market?,"The animal-welfare and supply-security case depends on displacement; all scanner-panel evidence found is from the US, UK and Netherlands, and shows weak or no displacement for meat analogues",Commission a panel analysis of households that start buying chay or plant-based products in Vietnam or Thailand,Kantar Worldpanel (Vietnam or Thailand) with a university economist,High
"What is the own-price elasticity of demand for plant-based meat, tofu and chay products in any Southeast Asian market?",Price is the largest gap in Vietnam (imported analogues cost 12 to 18 times eggs or chicken per gram of protein); we found no Asian elasticity estimate,Estimate from retailer scanner data in partnership with one modern-trade chain,"Bach Hoa Xanh, WinMart or Co.op Mart with a Vietnamese university economics department",High
"Do plant-based defaults or higher vegetarian availability in Vietnamese canteens change what people eat over days and weeks, not just at the next meal?","Institutional routes are the best-evidenced lever, but the rigorous meta-analysis finds small lasting effects and no Asian trials were found",Run a pre-registered canteen trial with delayed outcomes in a university or factory canteen,A Vietnamese university canteen operator with GFI APAC or a public health school,High
"How did Lidl's 2023 price parity in Germany and the Netherlands affect total category volume and meat sales, separating share-shifting between retailers from category growth?","Price parity is the most cited tipping point; the only effect figure is a company claim with no control, while national volumes stalled",Request retailer-level Circana splits or an independent evaluation,GFI Europe; ProVeg; Schwarz Group,Medium
"What are Thailand's meat-substitute sales volumes (kg), channel split and brand shares for 2020 to 2025, and what happened to Krungthai COMPASS's 2024 forecast?","Thailand is the nearest ASEAN comparator with a large meat industry moving into plant-based (CP, NRF, Thai Union)",Buy the Euromonitor Thailand meat substitutes extract or ask Madre Brava for its dataset,Euromonitor; Madre Brava; Krungsri Research,Medium
"What is the size and trend of China's plant-based meat market by channel since 2019, separating traditional su rou from Western-style products?",China supplies Vietnam's textured soy and gluten and is the largest Asian market; we found only press accounts of decline,Ask for Euromonitor or Mintel China series; GFI APAC may hold them,GFI APAC; Euromonitor,Medium
"What is Japan's soy meat (daizu meat) market size time series, and what is soy milk's share of all drinking milk?",Japan shows soy milk growing while soy meat contracted; a share figure would give an Asian plant-milk ceiling,Retrieve MAFF milk statistics (e-Stat) and Yano or Fuji Keizai soy meat data,Japan Soymilk Association; Yano Research Institute; MAFF,Low
What is the size of South Korea's meat analogue market and who buys it?,"Korea is an active Asian alternative-protein policy market (Food Tech Industry Promotion Act, December 2025); we could not read the one Korean market paper found",Read the PMC review 'An investigation of the status of commercial meat analogs and their ingredients: worldwide and South Korea' (blocked by rate limit on 24 September 2026),aT Korea Agro-Fisheries and Food Trade Corporation; KATI,Low
"What are actual sales volumes and prices of cultivated meat products to date (Singapore, US, Australia)?",Needed to show frontier actors how small the market still is; no company publishes volumes,Ask Singapore Food Agency or companies directly; GFI APAC cultivated team,Singapore Food Agency; GFI APAC,Low
"How much precision-fermented dairy protein is sold B2B, at what price per kg, and to which food makers?",B2B ingredient demand is one of Part VI's four layers; we found investment and cost claims but no volumes,Interview two or three buyers and producers under confidentiality,GFI (fermentation team); Vinamilk or TH procurement,Low
"Are there plant-based meat retail series for Sweden, Israel, Singapore and Hong Kong comparable to the Circana and SPINS series?",The brief asked for these countries; we found none in retrieved sources,"Ask GFI Europe (Nordics), GFI Israel and GFI APAC for data they hold",GFI Europe; GFI Israel; GFI APAC,Low
