platform,platform_type,what_was_tried,url_tried,access_result,sales_counter_visible,rating_or_review_visible,usable_for_sku_sell_through,source_ids,evidence_label,confidence,demand_evidence_type,notes
Shopee,marketplace,category page for nut milk through the fetch tool,https://shopee.vn/S%E1%BB%AFa-h%E1%BA%A1t-cat.11036194.11036195,"page returned only a JavaScript shell (""Please enable JavaScript""); no product data",not readable,not readable,no,ECR-11,VN-direct,High,revealed,"Category pages under /mall/*-cat. and search with filters are disallowed in robots.txt; the internal product API was not tried, by the brief's rule against working round a failed fetch."
Lazada,marketplace,catalogue search and a brand store through the fetch tool; raw page of the same search,https://www.lazada.vn/catalog/?q=sua+hat,"fetch tool returned an empty page; the raw page is a captcha (""punish"") redirect",not readable,not readable,no,ECR-12,VN-direct,High,revealed,Blocked by a bot challenge; not worked round.
Tiki,marketplace,search page and the grocery category through the fetch tool,https://tiki.vn/search?q=sua+hat,HTTP 403 on search and category pages; the home page loads but carries no products,not readable,not readable,no,ECR-13,VN-direct,High,revealed,Not worked round.
TikTok Shop,social commerce,shop landing page through the fetch tool,https://www.tiktok.com/shop/vn,disallowed by robots.txt,not readable,not readable,no,ECR-14,VN-direct,High,revealed,
Sendo,marketplace,home page through the fetch tool,https://www.sendo.vn/,"robots.txt fetch failed (HTTP 500), so the tool refused the page",not readable,not readable,no,ECR-15,VN-direct,High,revealed,
Bach Hoa Xanh (Mobile World Group),grocery chain web shop,"home page, milk collection, fresh-milk category and search",https://www.bachhoaxanh.com/sua-tuoi,category page lists products and prices through the fetch tool; search is disallowed in robots.txt; the collection page shows placeholders; direct requests get an empty reply,no,no,no (prices only),ECR-10,VN-direct,High,revealed,"Nine fresh-milk items with prices read; no sales counter, rating or review count on the listing."
WinMart (WinCommerce),grocery chain web shop,chay and soy-milk category pages,https://winmart.vn/sua-dau-nanh--c01033,"category pages carry no product data in the page; products load from a separate service (used by wave 7, CPC-19)",no counter seen,no,no,ECR-16; CPC-19,VN-direct,High,revealed,Wave 7 read prices through the search service; no sales counter was reported there either.
Co.op Online (Saigon Co.op),grocery chain web shop,"product pages for Fami, Vinamilk and TH plant milks and a Co.op Select chay item",https://cooponline.vn/sua-dau-nanh-fami-36-hop-x-200ml--s250107944,"server-rendered structured data with price, stock, ingredients and a rating block",no,yes (rating and review count fields),no: review counts are zero even on the best-known soy milk,ECR-09; AIB-30; CPC-15,VN-direct,High,revealed,Every page checked showed averageRating 0 and totalReviews 0.
AVAKids (Mobile World Group),mother and baby chain web shop,fresh-milk and nut-milk category pages through the fetch tool,https://www.avakids.com/sua-hat,"category pages show price and a ""Da ban"" counter for each product group; direct requests get an empty reply",yes,star rating on some items; no review count on the listing,"partly: milk only, no chay, tofu or meat",ECR-07,VN-direct,High,revealed,"Counters are shared by the 4-pack and case variants of a product and rounded above 1,000."
Kamereo,HoReCa B2B platform,"product pages read through their embedded page data, 143 URLs from the sitemap, 10 seconds apart as robots.txt asks",https://kamereo.vn/products/sua-dau-nanh-goldsoy-giau-dam-khong-duong-1l-D019,"price, stock, category and a cumulative totalSold counter on every page read (142 of 143)",yes,no,"yes, for kitchen buyers (not households)",ECR-06; CPC-12; CPC-13,VN-direct,High,revealed,One page (Vissan beef sausage 40 g) returned no data. The counter has no stated start date.
WheyShop,sports-nutrition web shop (Sapo platform) with four stores,product sitemap and 145 product pages,https://wheyshop.vn/nugo-nutrition-plant-protein-2lbs-907g,"product pages show price, a ""da ban"" figure and product facts","yes, but set in the shop theme",no,"weak: 24 figures are shared by 55 of 144 products, which real counts would rarely do",ECR-08,VN-direct,High,revealed,
Brand and specialist web shops,brand or retailer own shops,"home and collection pages of Vissanmart, An Nhien, Ong Tempeh, Vinasoy, Nam An Market, TH truemart, Nutifood (ngoinhadinhduong.com), Kingfoodmart; Vinamilk giacmosuaviet.com.vn",https://thtruemart.vn/collections/sua-hat,pages load (Vinamilk shop returned 403; Au Lac reset the connection); none shows a sales counter; several load products by script,no,no,no,ECR-16,VN-direct,High,revealed,
