record_id,application,claim_or_result,magnitude,study_or_source,demonstrated_or_claimed,source_ids,evidence_label,confidence,foresight_type,horizon_year,notes
AIB-001,Cell culture media optimisation (cultivated meat model cells),Multi-information-source Bayesian optimisation of a 14-component serum-free medium for C2C12 mouse muscle cells,181% more cells than DMEM control at +1.6% cost; 38% fewer experiments than an efficient DOE (81 vs 132); suboptimal but better medium within 30 experiments (77% less effort),"Cosenza et al. 2022, Biotechnology and Bioengineering, doi:10.1002/bit.28132",demonstrated,FTB-02,general,High,not forward-looking (measured result),n/a,"Full-text excerpts read. Lab scale, one mouse cell line, multi-passage validation to passage 4. Not a production cost result."
AIB-002,Cell culture media optimisation (cost and growth trade-off),Multi-objective Bayesian optimisation of serum-free C2C12 media,One medium with 23% more growth at 62.5% of control cost; several media with more than 100% more growth,"Cosenza et al. 2023, Engineering in Life Sciences, doi:10.1002/elsc.202300005",demonstrated,FTB-03,general,High,not forward-looking (measured result),n/a,Authors state they did not compare against a DOE in this study.
AIB-003,Media and recombinant protein production optimisation (Pichia / Komagataella phaffii and human PBMCs),Bayesian-optimisation iterative experimental design,"3 to 30 times fewer experiments than estimated for standard DOE; about 3-fold with few factors, 10 to 30-fold with 9 factors including categorical; transfer learning saved at least 20% of experiments in a new design space","Narayanan et al. 2025, Nature Communications, doi:10.1038/s41467-025-61113-5",demonstrated,FTB-04,general,High,not forward-looking (measured result),n/a,"DOE comparison is partly an estimate of what DOE would need, not a head-to-head run. Directly relevant to precision fermentation process development."
AIB-004,Metabolic pathway optimisation (automated DBTL),"BioAutomata: robotic biofoundry (iBioFAB) plus Bayesian optimisation, lycopene pathway",Evaluated less than 1% of possible variants; outperformed random screening by 77%,"HamediRad et al. 2019, Nature Communications, doi:10.1038/s41467-019-13189-z",demonstrated,FTB-05,general,High,not forward-looking (measured result),n/a,"Abstract read. Benchmark is random screening, not expert design."
AIB-005,Enzyme engineering (autonomous),Protein language model plus ML plus biofoundry automation with no human judgement in the loop,Yersinia mollaretii phytase variant with 26-fold higher activity at neutral pH; Arabidopsis methyltransferase with 90-fold better substrate preference and 16-fold higher ethyltransferase activity; each in 4 rounds over 4 weeks with fewer than 500 variants,"Singh et al. 2025, Nature Communications, doi:10.1038/s41467-025-61209-y (figures from preprint doi:10.1101/2025.02.12.637932)",demonstrated,FTB-06,general,Medium,not forward-looking (measured result),n/a,Abstract only. Phytase is an aquafeed enzyme; Vietnam already expresses an alkaline phytase for aquafeed (v0.1 RD-35).
AIB-006,Enzyme engineering (LLM-agent biofoundry),"AI-native biofoundry using LLM agents, ESM-2 zero-shot scoring and active learning, DNA polymerase",Hit rate above 66% in 3 autonomous rounds; 37% lower sequencing error than a commercial reference,"Zhang et al. 2026, bioRxiv, doi:10.64898/2026.02.01.703093",demonstrated (preprint),FTB-09,general,Low,signal,2026 to 2030,Not peer reviewed. Signal that agentic AI lowers the expertise threshold for running DBTL loops.
AIB-007,Protein generation (language model),ProGen generated artificial lysozymes,"Functional enzymes with catalytic efficiency similar to natural lysozymes, including at low identity to natural sequences","Madani et al. 2023, Nature Biotechnology, doi:10.1038/s41587-022-01618-2",demonstrated,FTB-07,general,Medium,not forward-looking (measured result),n/a,Abstract not retrieved in this session (database abstract field was corrupted); result widely cited.
AIB-008,Protein generation (multimodal model),ESM3 generated a new fluorescent protein,Bright fluorescent protein at 58% sequence identity to known fluorescent proteins,"Hayes et al. 2025, Science, doi:10.1126/science.ads0018",demonstrated,FTB-08,general,High,not forward-looking (measured result),n/a,Abstract read. Not a food protein. Shows design far from natural sequences is feasible.
AIB-009,Optimiser comparison on media data,Bayesian optimisation compared with expert-led DOE in high-dimensional medium optimisation,"Title states BO ""rivals"" expert-led DOE (parity, not large gain)","Poduschnick et al. 2026, SSRN preprint, doi:10.2139/ssrn.7267115; see also Parsaee et al. 2026, Bioinformatics, doi:10.1093/bioinformatics/btag607",demonstrated (preprint); results not read,FTB-46,general,Low,signal,2026 to 2030,Titles and truncated abstracts only. Counter-evidence to large-gain claims: gains depend on problem dimension and on how good the expert baseline is.
AIB-010,Sector-wide AI adoption in cultivated meat,Review of AI use in cultivated meat to April 2026,"No good estimate of time saved; adoption ""far below the ceiling""; open data is the binding constraint; no published company use of protein-engineering tools such as AlphaFold or AlphaProteo found","Moulange and McAuliffe, Rethink Priorities, 9 June 2026",assessment,FTB-01,general,High,signal,2026 to 2030,"Think-tank review, not systematic. Useful as the most recent independent assessment."
