capability,exists_in_vietnam,status,who,open_to_third_parties
"Aerobic, sterile fermentation at scale","Yes (about 11,000 to 34,000 m3, modelled)",yes-closed,"Vedan, Ajinomoto, Daesang",No published offer; JV or tolling would need negotiation
Food-grade contract fermentation (pilot or commercial),Not found,absent,,
Glucose from cassava starch,Yes,yes-open,"Vedan, others",Yes (Vedan sells glucose)
Feed pelleting and extrusion,"Yes, about 48% utilised",yes-open,269 feed mills,Trials easy to host
"Food extrusion (TVP, high-moisture)",Not found,absent,,
Protein isolate or concentrate,Not found,absent,,
Food-grade soy flakes,Not found (crushing is feed-grade),absent,VAL could in principle,Unknown
Frozen chay co-packing,Yes,yes-open,"Vissan, CJ Foods, Cholimex, SG Food, GN Foods",Yes (private labels exist)
UHT plant-milk filling,Yes,yes-unclear,"Vinasoy, Vinamilk, TH, Nutifood",Not documented
GMP biologics skills,Yes,yes-closed,Vaccine and veterinary plants,"People, not tanks"
"Accredited testing (proximate, contaminants)",Yes,yes-open,"NACEFA, NIFC, Eurofins, QUATEST 3",Yes
Amino-acid profile and digestibility testing,Not found on laboratory pages,absent,,Likely overseas for now
Official feed and aquafeed trials,"Yes (state centres, reorganised 2025 to 2026)",yes-open,MAE centres,Yes (services allowed)
