event_id,date,date_precision,outlet_or_actor,item_type,topic,location,what_was_found,quantity,plant_or_filler_named,frame,official_action,source_ids,evidence_label,confidence,demand_evidence_type,notes
TRU-E01,2015-02-02,day,VnExpress Ngôi sao,advice column,starch filler in meat products,national,"Advice that bought giò chả may be poor quality, contain much starch or even borax",,starch,cheapening,none,TRU-29,VN-direct,Low,revealed,Snippet only
TRU-E02,2015-02-09,day,CDC Quang Ninh (republishing Dan Tri of 8 Feb 2015),advice column (government page),starch filler in meat products,Quang Ninh,Giò lụa without air holes has been mixed with starch and made with poor meat; crumbly giò has been mixed with starch; springy giò has borax,,starch,cheapening,provincial CDC republishes consumer advice,TRU-02,VN-direct,Medium,revealed,Read in full
TRU-E03,2015-02-09,day,VietNamNet (reprint of Tuoi tre & Doi song),press story (relayed foreign scandal),meat in chay,Taiwan; Ho Chi Minh City,Taiwanese tests relayed: 15 of 21 imitation-meat samples with animal ingredients; 4 of 15 loose samples with pork or chicken; Vietnamese restaurants said to import Taiwanese mock meat; HCMC market chay mostly unlabelled,15 of 21 samples (Taiwan),none,fraud; health risk,none in Vietnam; article asks regulators to make makers disclose substances,TRU-01,VN-adjacent,Low,revealed,Taiwanese figures relayed without source; not evidence about Vietnamese products
TRU-E04,2015-10-20,day,Dan Tri,enforcement,starch filler in meat products,Ho Chi Minh City (former Binh Chanh district),Unlicensed pork floss (chà bông) with wheat flour at about twice the weight of the meat and sodium cyclamate,about 750 kg,wheat flour,fraud; health risk,facility closed; about 750 kg burned the same day,TRU-08,VN-direct,Medium,revealed,Read via fetch summary
TRU-E05,2015-11-10,day,Dan Tri,enforcement,chay safety and origin,not stated in listing,Nearly 400 kg of frozen chay smuggled from China,nearly 400 kg,none,health risk (origin),seizure,TRU-22; TRU-31,VN-direct,Low,revealed,Headline only
TRU-E06,2016-06-17,day,Dan Tri,advice column,starch filler in meat products,Hanoi (Uoc Le craft village),Artisan tips to avoid giò with much starch or borax,,starch,cheapening,none,TRU-29,VN-direct,Low,revealed,Snippet only
TRU-E07,2016-09-03,day,Thanh Nien,press story,chay safety and origin,not stated,Germs in untraceable chay food,,none,health risk,not seen,TRU-31,VN-direct,Low,revealed,Snippet only
TRU-E08,2016-10-23,approximate (survey released mid-October 2016),"Vinastas (consumer association), reported by Dan Tri",composition survey precedent,other traditional food (fish sauce),national (19 provinces),Survey said 101 of 150+ fish-sauce samples (67.33%) exceeded arsenic limits; supermarkets removed traditional fish sauce; MOH said the arsenic was organic and the information inaccurate; press framed the survey as a strike on traditional makers,101 of 150+ samples,none,fraud accusation that backfired,Ministry of Health rebuttal,TRU-19,VN-direct,Medium,revealed,Precedent for how a composition survey of a traditional food is received
TRU-E09,2016-12-13,day,Dan Tri Dan sinh,advice column,starch filler in meat products,national,Giò mixed with much starch and poor meat is crumbly and lacks aroma,,starch,cheapening,none,TRU-29,VN-direct,Low,revealed,Snippet only
TRU-E10,2017-01-06,day (charges reported 29 Apr 2018),Dan Tri,enforcement,species substitution with declared meat content,Ho Chi Minh City,"Beef balls labelled 70% or more beef; forensic DNA found pork and no beef; reported ingredients also buffalo meat, starch and additives","about 1 t seized; nearly 7 t sold to Dong Thap (former Tien Giang) and 350 kg or more to Vinh Long (former Tra Vinh), VND 290 million",starch,fraud,criminal charges for making and selling counterfeit food,TRU-09,VN-direct,Medium,revealed,Shows declared percentages are enforced with DNA tests
TRU-E11,2017-10-03,day,Dan Tri,enforcement,chay safety and origin,not stated in listing,Chả đòn chay made with borax,,none,health risk,not stated in listing,TRU-22,VN-direct,Low,revealed,Headline only
TRU-E12,2018-11-21,day,tcvn.gov.vn (standards directorate site),warning article,chay safety and origin,national,Toxic flavourings and shaping chemicals in chay giả mặn (mock meat),,none,health risk,none,TRU-29,VN-direct,Low,revealed,Snippet only
TRU-E13,2019,approximate,Facebook (Yêu Phan Thiết; Góc quay Bình yên),social media,meat in chay,not stated,Posts claiming animal meat found in chả chay,50+ and 20+ reactions,none,fraud (religious),none,TRU-30,VN-direct,Low,revealed,Snippets; unverified claims
TRU-E14,2019-12-18,day,Lao Dong,press story,starch filler in meat products,Hanoi,"During the pork price spike, sellers added more starch, fat, skin and wood-ear mushroom and some added tapioca and corn starch to hold prices; a shopper called this dishonest and made her own giò; a 20-year seller said customers fell by nearly half","giò lụa VND 130,000 to 150,000 rising to 200,000 per kg",tapioca and corn starch; wood-ear mushroom,fraud; cheapening,none,TRU-03,VN-direct,Medium,revealed,Consumer and seller statements inside the article are stated; the demand drop is one seller's account and mixes price and trust effects
TRU-E15,2019-12-28,day,Gia dinh & Xa hoi (Suc khoe & Doi song),press story,starch filler in meat products,Hanoi,Many people make giò at home to avoid giò độn bột as prices hit records,,starch,fraud,none,TRU-29,VN-direct,Low,revealed,Snippet only
TRU-E16,2020-01-20,day,VnExpress,advice column (Tết quiz),starch filler in meat products,national,Giò without air holes has been mixed with much starch and poor meat,,starch,cheapening,none,TRU-29,VN-direct,Low,revealed,Snippet only
TRU-E17,2020-02-05,day,Dan Tri,enforcement,chay safety and origin,An Giang (Phu Tan),Chay maker making chả đòn with borax,50 kg product; 4 kg unused borax,none,health risk,administrative record; evidence seized,TRU-17,VN-direct,Medium,revealed,
TRU-E18,2020-05-12,day,Dan Tri,press story,plant-based meat in media,global,"Headline: soy pork in restaurants, beware a trick (cú lừa); body favourable to plant-based meat",,soy,deception (headline); acceptable (body),none,TRU-10,VN-direct,Medium,revealed,
TRU-E19,2020-05-12,day,Dan Tri,press story,plant-based meat in media,Vietnam,Artificial meat cannot replace real meat; most Vietnamese fear products labelled nhân tạo,,none,negative (artificial),none,TRU-11,VN-direct,Medium,stated,Quotes a poultry farmer and a Hanoi consumer
TRU-E20,2020-08-31,day,Dan Tri,enforcement,chay safety and origin,Dong Nai (Bien Hoa),"Rapid borax tests on 4 Au Lac chay products after a botulism case: chay pork roll and chay shrimp negative, two tofu-skin products positive; no meat test",4 samples; 2 positive,none,health risk,inspection,TRU-14,VN-direct,Medium,revealed,
TRU-E21,2020-09-02,approximate (Google News date),VnExpress,press story,chay safety and origin,Ho Chi Minh City,Unlabelled chay mock meat sold in markets and online; market surveillance promises tighter control; Vissan deputy general director says meat-eating families turn to chay to reduce meat protein,"prices VND 70,000 to 250,000 per kg",none,"health risk (origin, hygiene)",promise of tighter checks,TRU-04,VN-direct,Medium,revealed,No meat testing mentioned
