topic,year,count,complete_set,source_ids,evidence_label,confidence,notes
T01 Plant-based meat / meat analogue,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2021,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2022,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2024,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2025,3,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T01 Plant-based meat / meat analogue,2026,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2021,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2024,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2025,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T02 Textured / extruded protein,2026,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2021,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2024,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2025,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T04 Rice protein,2026,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2018,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2020,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2021,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2022,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2023,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2024,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2025,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T05 Soy protein isolate / concentrate,2026,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2016,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2021,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2022,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2023,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2024,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2025,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T07 Single cell protein,2026,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
