where,current,proposed,evidence_source_ids,strength,type
"ch25 front matter summary and ""In one paragraph""","""School meals are price-capped, in a trust crisis and guided by an animal-protein target""; ""guided by an old target to raise the animal share of children's protein""","""School meals are price-set (VND 35,000 to 40,000 a lunch), in a trust crisis, and national guidance (Decision 3958/QĐ-BYT, 2025) already reserves a twice-weekly plant-protein slot that menus under-use and fill with tofu beside meat; the menu software still prints an animal-protein floor of 48%.""",AIB-39; PMR-26; PMR-10 to PMR-31; PMR-06; PMR-32,strong,corrects
"ch25.3 paragraph ""The school milk precedent points towards animal protein""","Decision 1340 target (animal protein above 40%); ""a plant protein pitched as replacing animal protein in schools runs against the stated target""","State that the 1340 targets ended in 2020; give the Decision 3958 rule, the audit (15.1% of 239 days with plant protein; 9 of 48 weeks meeting the rule; 1 animal-free day; no textured soy or mock meat) and the unenforced 48% software standard; conclude that a new ingredient competes with tofu and only blends in minced dishes (28.5% of days) remove meat",AIB-39; PMR-26; PMR-10 to PMR-31,strong,corrects
ch25.3 Schools paragraph; meal_programmes.csv INS-005 and INS-006,"Hanoi VND 20,000 subsidy (2025 to 2026); lunch ceilings","Add 2026 to 2027: VND 40,000 meal with VND 28,000 from the city and VND 12,000 from parents (Resolution 84/2026/NQ-HĐND); ward councils assign caterers; Ho Chi Minh City lunch VND 35,000 (2025 to 2026)",PMR-05; PMR-06; PMR-32; PMR-33,moderate,updates
"ch25.3 ""Hospitals and the military""; meal_programmes.csv INS-012 and INS-013; AD.4","""We found no retrievable data on patient meal budgets, military rations or military food procurement""","Hospital tender: 60 g protein a day, tofu 120 g as full replacement for 60 g of meat (about 13.1 g against 11.4 g of protein), tofu menu version required; army allowance VND 72,000 a day",AIB-44; AIB-45,moderate,adds
"ch25.6 table, hybrid meat and plant row, ""Not first""","""Schools until trust recovers""","""Schools only as a named processor's labelled blend for minced-meat and fish-cake dishes (28.5% of audited school days), after canteens""",PMR-10 to PMR-31; PMR-07; PMR-02,moderate,updates
"ch25.6 table, textured plant protein ingredient row",Second route: contract caterers for factory canteens,"Add a later route: school and hospital caterers for the plant slot, competing with tofu at VND 4,900 to 7,500 per 25 g of protein",PMR-24; DIE-05; DIE-23; AIB-44,moderate,adds
"ch25.7 ""Policy makers"" bullet; ch29.4 DMV-17; demand_moves.csv DMV-17","""Base school and public-meal protein guidance on protein quality and cost rather than an animal share; publish the supplier documents required under Dispatch 64""","""National guidance has no animal share. Ask MOET, NIN and Ajinomoto to replace the menu software's animal-protein-at-least-48% default with protein-quality, zinc and iron targets and to add textured soy and legume products to the software food list; write both into the MOET bán trú circular due 2026 and the digital menu tools due 2027 to 2028 (Decision 973/QĐ-TTg). Supplier documents are now set by Directive 33/CT-TTg.""",AIB-39; PMR-26; PMR-01; PMR-02,strong,corrects
ch28 R4 text; demand_assumptions.csv DMA-099 to DMA-113 basis and DMA-114,"School adoption ""later and lower than canteens (trust crisis; animal-protein target in Decision 1340)""; one displacement factor of 0.8 for canteens and schools",Replace the basis with Decision 3958 and the audit; apply displacement 0 to school protein sold into the plant slot (like existing chay days) and up to 0.8 only to blends in meat dishes or added plant days; effect at most 0.06 kt in 2035 (R4 displaced 0.65 to about 0.58 kt; total 2.35 to about 2.29 kt); headline unchanged,AIB-39; PMR-10 to PMR-31; PMR-26,moderate,corrects
demand_assumptions.csv DMA-083 note,"""assumption: no portion standard found""","Keep 20 g; note caterer portions of 85 to 95 g raw meat, 67 to 70 g fish or 80 g tofu per dish and 31.8 g protein per lunch including rice, 17.5 g animal",PMR-22; PMR-23; PMR-24; PMR-26,moderate,strengthens
ch29.2 TPP-04; target_product_profiles.csv TPP-04,"First buyers contract caterers and factory kitchens; avoid ""School meals first""","Add school and hospital caterers as later buyers; add a school plant-slot price target (beat 80 g of tofu at VND 1,700 to 2,600 for about 8.7 g of protein); add caterer documents (food-safety certificate, clear origin, labelled packaging with use-by date); change the avoid entry to ""branded products and meat-replacement claims in schools""",PMR-07; PMR-24; DIE-05; DIE-23,moderate,updates
ch29.4 DMV-05; demand_moves.csv DMV-05,Canteen trial with one large caterer (chay days or a protein extender),"Add a school arm: one caterer that writes one menu for several schools serves a textured-soy or blended dish in the plant slot and in one minced dish, measuring served portions and plate waste; use daily published menus (Directive 33) as controls",PMR-05; PMR-23; PMR-24; PMR-02,moderate,updates
"ch29.5 ""What not to do""","""Do not start in schools, wet markets or tourist hotels""","""Do not start in schools with a branded or meat-replacement product; the school plant slot is small (about 1,000 t of protein a year), filled by tofu and under-used; enter later as a caterer ingredient that beats tofu on cost""",PMR-10 to PMR-31; DMA-081,moderate,corrects
meal_programmes.csv INS-010 and new rows; AD.4,Decision 1340 row with no expiry note; no rows for current rules,"Note the 1340 targets ended in 2020; add rows for Decision 3958, Decision 973 tasks and dates, Directive 33, Hanoi 2026 to 2027 meal price and funding split, and the Hai Phong school tender (45,100 meals a month for 2,157 pupils)",AIB-39; PMR-01; PMR-02; PMR-06; PMR-07,strong,adds
"open_questions.csv OQ-228, OQ-220, OQ-215",Open,"OQ-228 partly answered: procurement changed (ward councils, certificate checks, daily disclosure) but the protein mix did not (pork leads 38% of days); OQ-220 partly answered (AIB-44; AIB-45); OQ-215 stays open (no published factory menus with grams)",PMR-05; PMR-02; PMR-10 to PMR-31; AIB-44; AIB-45,moderate,updates
