country,instrument,year_adopted,horizon_year,targets_relevant_to_protein_or_biomanufacturing,budget,source_ids,evidence_label,confidence,foresight_type,notes
Vietnam,Resolution 36-NQ/TW on biotechnology,2023,2030; 2045,"2030: biotech industry 7% of GDP; replace at least 50% of imported biotech products; top 10 in Asia. 2045: 10 to 15% of GDP. No protein, feed or fermentation target",None earmarked,REG-51,VN-direct,High,projection (official target),Full extraction in NTS stream
Vietnam,Resolution 189/NQ-CP (action programme for Resolution 36),2023,2030,Agri-biotech scheme; biotech product standards; incubation of industrial-scale biotech firms,Not stated,REG-52; FTB-51,VN-direct,High,projection (official target),Delivery status not verified
Vietnam,"Decision 429/QD-TTg, agricultural bio-industry to 2030 (MARD plan 4489/QD-BNN-KHCN, 2024)",2021,2030,"Agri-biotech firms +20% by 2025, +30% by 2030; training",Not stated,REG-53,VN-direct,Medium,projection (official target),
Vietnam,"Decision 1355/QD-BCT, scheme to develop the bio-industry into an economic-technical sector (MOIT)",2026,2030; 2045,"2030: biotech products replace at least 20% of imports; 30 to 50% of scheme products commercialised. 2045: replace 30 to 50% of comparable imports. Food, feed and fermentation not named in text read",Not stated,ECF-40,VN-direct,Medium,projection (official target),Lower import-substitution level than Resolution 36 (50% by 2030); see disagreements
Vietnam,"Resolution 57-NQ/TW on S&T, innovation and digital transformation",2024,2030; 2045,R&D 2% of GDP; at least 3% of state budget to S&T; sandbox mechanisms,Budget share,REG-50,VN-direct,High,projection (official target),
Vietnam,"Decision 1002/QD-TTg, training human resources for high technology 2025 to 2035, vision 2045",2025,2030; 2035; 2045,"Biotech and biology graduates 5,000 a year (2030) and 8,000 a year (2030 to 2035); STEM share 35% then 40%","State budget, institutions, enterprises",ECF-41,VN-direct,Medium,projection (official target),Modelled on the semiconductor human-resource scheme approach
Vietnam,"National AI Strategy, Decision 1671/QD-TTg; biotechnology strategy 2026 to 2030 (vision 2045) in drafting; Directive 13/CT-TTg biotech clusters",2026,2030,"AI in breeding, livestock, aquaculture; draft biotech strategy names bioinformatics and AI; MAE biotech clusters by Dec 2026",n/a,FTB-48; FTB-49; FTB-50,VN-direct,Medium,signal,None mentions fermentation or alternative protein
Thailand,BCG Economy Model,2021,2027,"Four sectors incl. agriculture and food; biobased product market projection USD 350 billion (2027, global)",Not stated on page read,ECF-45,VN-adjacent,Medium,projection,No numeric BCG target on page read
Thailand,Biotechnology Industry Development Framework B.E. 2569 to 2578 (NXPO),2025,2035,Future food and alternative proteins one of four target sub-industries; GMP precision-fermentation pilot plant; CDMO network,500 M baht a year for 10 years (synthetic biology research),RGN-35,VN-adjacent,Medium,projection (official target),Cites the GFI and Hawkwood ranking
Thailand,Engineering and synthetic biology strategy; biotech workforce programme,2026,2035,"Ecosystem, knowledge base, industrial capability",THB 5 billion (about USD 153 M) workforce upskilling,FTB-43; ECF-43,VN-adjacent,Medium,signal,Budget as reported by GFI (advocacy)
China,15th Five-Year Plan (2026 to 2030),2026,2030,Biomanufacturing listed as a future industry; MIIT to issue a dedicated biomanufacturing plan,About RMB 30 billion a year biomanufacturing investment (press),ECF-29; ECF-30,VN-adjacent,Medium,signal,Press claim: China over 70% of world bio-fermentation product output
China,MARA plan to reduce maize and soybean meal in feed; No. 1 Central Document 2025 (diversified food supply),2021; 2025,2030,Names single-cell protein; pilot-scale biomanufacturing support,About USD 1 billion public alt-protein investment announced 2025 (SDIC plus regional funds),RGN-56; ECF-43; RGN-43,VN-adjacent,Medium,signal,GEO stream covers China feed strategy in detail
India,BioE3 policy,2024,2030; 2050,Bioeconomy USD 165.7 bn (2024) to USD 300 bn (2030); smart proteins a named area; 21 BioEnabler facilities; USD 1.4 to 2.7 trillion by 2050 cited,Not stated in document read,ECF-31,general,Medium,projection (official target),Also imports distressed US fermentation capacity (FTB-38)
Japan,Bioeconomy Strategy,2024,2030,"JPY 100 trillion bioeconomy market; biomanufacturing and bio-derived products JPY 53.3 trillion; bioplastics about 2 Mt; research on cell-based food, precision fermentation, algae","About JPY 1 trillion (FY2022 projects incl. Green Innovation Fund, Biomanufacturing Revolution); JPY 3 trillion a year public plus private by 2030",ECF-32,VN-adjacent,High,projection (official target),Food tech also named in National Growth Strategy (Nov 2025) per GFI
Korea,Synthetic Biology Promotion Act,2025,2030,Five-year national plans; national council; automated biofoundries; enforcement 2026 after one-year grace,Not stated,ECF-33,VN-adjacent,Medium,signal,"Korea holds about 2% of global synthetic biology research (US 25%, China 16%)"
Korea,Food Tech Industry Promotion Act; National Bio Committee; bio output goal,2025,2027; 2035,"Biotech output USD 43 bn (2020) to 149 bn (2035); 150,000 jobs by 2027 (health-led); cultivated-meat centre in Uiseong (2027)",KRW 100 billion food-tech fund by 2027; KRW 14.5 bn Uiseong centre,ECF-34; ECF-43; RGN-19; RGN-21,VN-adjacent,Medium,projection (official target),Press and advocacy sources
Singapore,RIE2030,2025,2030,Biomanufacturing and bioeconomy named; food not in release,"S$37 billion (2026 to 2030, about 1% of GDP)",ECF-37,VN-adjacent,High,projection (official target),
Singapore,Singapore Food Story 2,2025,2035,2035 local targets (30% of protein as eggs and seafood) exclude alternative protein,S$42 M for 11 future-food projects (2025),RGN-08; RGN-09; RGN-22,VN-adjacent,Medium,projection (official target),Stepped back from home production
Malaysia,National Biotechnology Policy 2.0 (2022 to 2030),2022,2030,Names cultivated meat and fish; halal ruling on cultivated meat (Dec 2025),Not verified,RGN-19; RGN-20,VN-adjacent,Low,projection (official target),
EU,Biotech Act I (proposal COM(2025)1022),2025,2030,Regulatory sandboxes under the General Food Law; novel foods excluded (Art. 56(7)); Biotech Act II on industrial biotech in preparation,"Alt-protein: over EUR 100 M loans, EUR 50 M EIC (2025)",ECF-35; ECF-36; ECF-43,general,Medium,signal,Industry associations ask for novel foods to be included
United States,NSCEB final report,2025,2030,USD 15 billion recommended for biotech and biomanufacturing; agriculture given limited attention,"Federal alt-protein funding about USD 11 M (2025), down from about USD 115 M (2024)",ECF-42; ECF-43,general,Medium,signal,"Recommendation to Congress, not appropriation"
Denmark,Biosolutions funding,2025,2029,Biosolutions programme,DKK 460 M (USD 73.3 M) 2026 to 2029,ECF-43,general,Medium,projection (official target),As reported by GFI
Global,Public investment in alternative protein (all governments),2021 to 2025,2025,At least USD 2.5 bn cumulative (2021 to 2025) vs about USD 0.7 bn (2021); 33 countries engaged vs 16,2025 spend at most 10% of GFI's USD 10.1 bn a year benchmark,ECF-43,general,Medium,trend,Advocacy source; benchmark is GFI's own recommendation
ASEAN,No bioeconomy or alternative-protein framework found,n/a,n/a,Edition 1.0 option PO-014: co-lead ASEAN novel-food reliance work,n/a,,VN-adjacent,Low,n/a,GAP: ASEAN site search and known framework URLs failed this wave
