record_id,survey_id,source,run_by,paid_by,year,sample,frame,question_wording,share_full_vegetarian,share_periodic,frequency_definition,other_results,notes,source_ids,evidence_label,confidence,demand_evidence_type
CPR-001,S01,Xu hướng ăn chay của người Việt Nam,W&S online market research,"W&S (own poll, not stated otherwise)",2012,"659 (355 men, 304 women)","Online panel, aged 16 and over, national online users",Not published,Not reported,59% 'regularly' eat vegetarian,Mostly on lunar 1st and 15th and Buddhist holidays (no day counts published),"Reasons: calm and light mind 40.7%; to pray 39.0%; health 33.1%. Where eaten: home 75.6%, pagodas 41.4%, casual chay eateries 39.0%, chay restaurants 21.5%. 46% say chay is meaningful to their life","14 years old; online panel over-represents urban, young, connected people; 'regularly' undefined",CHY-01,VN-direct,Low,stated
CPR-002,S02,Plant-based food alternatives: future or present?,Rakuten Insight,Rakuten Insight (own multi-country omnibus),2021 (12 to 30 November),"4,018","Rakuten Insight proprietary online panel, men and women aged 16 and over","'Have you ever consumed plant-based alternatives to animal-based food products (such as nut or rice milk, cheeses made from nuts, plant-based burger patties or sausages, vegan gummi bears, etc.)?' and 'How often do you consume plant-based alternatives to animal food products?'",10% 'I only consume plant-based food' (base appears to be consumers; not stated),44% several times a week; 29% several times a month; 10% once or twice a month; 6% several times a year; 1% never,"Self-reported frequency of 'plant-based alternatives', not chay days","86% have ever consumed plant-based alternatives (highest of 13 markets). Tried: plant milk 87%, plant-based meat alternatives 49%, dairy substitutes 46%, egg substitutes 39%. Reasons: healthier 61%, animal welfare 40%, follow vegetarian or vegan diet 38%, food trend 36%, environment 32%, taste better 29%. Barriers: hard to find 39%, taste 29%, unsure of ingredients 24%, cost 24%. Would eat lab-grown meat: yes 14%","Question examples are Western analogues but Vietnamese respondents very likely count soy milk, tofu and đồ chay, which is why Vietnam tops the table. Online panel is not the population",CHY-02,VN-direct,Medium,stated
CPR-003,S03,Rakuten Insight plant-based survey 2024 (via Statista),Rakuten Insight,Rakuten Insight,2024 (8 to 29 February),"3,206 total; 2,757 had consumed; 332 had not","Online panel, aged 16 and over",'Have you ever consumed plant-based alternatives to animal-based food products...?' and 'How often do you consume plant-based alternatives...?',Not available (paywalled),Secondary reports give 44% or 45% several times a week (B-Company); values not verified,Self-reported frequency of plant-based alternatives,"Ever consumed about 86% (our derivation 2,757 / 3,206)",Only metadata read; percentages paywalled; B-Company quotes two different figures (44% and 45%),CHY-03; CHY-04; CHY-05; CHY-13; CHY-14,VN-direct,Low,stated
CPR-004,S04,Religion and Spirituality in East Asian Societies,Pew Research Center,The Pew Charitable Trusts and the John Templeton Foundation (stated in report),2023 (2 June to 17 September),"2,255 adults","Face-to-face CAPI, multistage cluster probability sample stratified by region and urbanicity; about 11% of population inaccessible",Religious identity; ancestor rituals,No diet question asked,No diet question asked,Not applicable,"Identity: no religion 48%, Buddhist 38%, Christian 10%, other 3%. 86% offered food or drink to ancestors in past 12 months",The only probability sample found; gives the religious base but not chay behaviour.,CHY-06,VN-direct,High,stated
CPR-005,S05,White Paper on religion and religious policy (as reported),Government Committee for Religious Affairs,Government of Vietnam,2023 (published 9 March 2023),Administrative count,Registered followers of recognised religions,Not applicable,Not applicable,Not applicable,Not applicable,"26.5 million religious followers, 27% of population; Buddhists more than 14 million; 18,544 Buddhist places of worship","Counts registered adherents (quy y), not people who follow lunar-day chay",CHY-07,VN-direct,Medium,revealed
CPR-006,S06,2019 Population and Housing Census (as reported),General Statistics Office,Government of Vietnam,2019,Full census,All residents; self-declared religion,Religion question in census,Not applicable,Not applicable,Not applicable,4.6 million Buddhists (second after 5.9 million Catholics),Census figure contested by Sangha and other agencies; read via secondary advocacy press only,CHY-08,VN-direct,Low,stated
CPR-007,S07,SHOULD model of plant-based food choice,Nguyen T.L. et al. (academic),Not stated in excerpts read,2019 (September to October),"1,477","Convenience sample of people eating at vegetarian restaurants, chay inns and pagodas in 10 of 19 southern provinces",Not published (questionnaire on request),Not reported,Not reported,"Describes 1st and 15th, 4 days (1st, 14th, 15th, 29th or 30th) and 10 days a month schedules",Under 29% men; about 70% over 30 years; 50% married. Health and 'understanding of body structure' strongest predictors; environment not significant; social relationships negative,"Sample drawn from people already eating chay, so it cannot estimate prevalence",CHY-09,VN-direct,Medium,stated
CPR-008,S08,Intention to adopt a periodic vegetarian diet,"Nguyen T.Q.N., Nguyen V.N., Nguyen M.D. (Tra Vinh University)",Not stated,2025 (year of publication; fieldwork date not stated),378 valid of 400,"Convenience sample at chay restaurants, chay food stores and pagodas, Ho Chi Minh City",Five-point Likert scales,Not reported,'Many' follow 1st and 15th (no share given),"1st, 8th, 14th, 15th; first and seventh lunar months",Mostly women; psychological health and attitude predict intention,Cannot estimate prevalence,CHY-10,VN-direct,Low,stated
CPR-009,S09,Urban students' shift toward vegetarian practices,Tran T.N.N. et al. (VNU Ho Chi Minh City),Not stated,2024 to 2025 (October 2024 to March 2025),707,"Criterion-based convenience sample of students at seven universities, Ho Chi Minh City, quota on diet and gender",Likert scales on health and economic motivations,Not reported,"49.6% classed vegetarian (set by quota, not a prevalence)",'Regularly' or about 4 to 10 days a month,Health and economic motivations measured,The 49.6% is a design quota; do not use as a prevalence,CHY-11,VN-direct,Low,stated
CPR-010,S10,Meat consumption practices of green consumers,"Markoni E., Ha T.M. et al. (Bern University of Applied Sciences, VNUA)",Not stated in summary read,2021 to 2022 (November 2021 to March 2022),44 participants in 7 online group discussions,"Self-identified green consumers in Hanoi, Ho Chi Minh City, Da Nang, Thanh Hoa, Nghe An",Qualitative discussion guide,Not applicable,Buddhist vegetarian days mentioned by some,Not quantified,"Health and food safety dominate; only 3 highly educated participants raised environment; meat 'cannot be replaced, only limited' at family meals","Qualitative; useful for motives, not size",CHY-12,VN-direct,Medium,stated
CPR-011,S11,Southeast Asia plant-based consumer survey (GFI APAC with Good Growth),GFI APAC and Good Growth,GFI APAC (philanthropy funded),About 2022 to 2023,"Nearly 6,000 across 6 countries",Six Southeast Asian countries including Vietnam; frame not stated on summary page,Not published on summary page,Not reported for Vietnam,Not reported for Vietnam,Not applicable,"Regional: barriers are affordability, nutrition, taste; willingness rises from 5% to 63% if solved; 93% some interest in blended products",No Vietnam split on the public page,ECO-24,VN-adjacent,Medium,stated
CPR-012,S12,"Vietnam cooking survey (6,000 dinner photos)",Q&Me,Q&Me,2023 (April),300 female home cooks cooking 5 or more times a week,"Online panel, Ho Chi Minh City and Hanoi",Photo diary plus questions,Not reported,Not reported,Not reported,No protein or chay split published (clean negative),A photo-diary method that could measure chay days if re-cut,CHY-66,VN-direct,Medium,revealed
CPR-013,S13,Press estimate '10% of Vietnamese are vegetarian',VTV; repeated by VnEconomy,Not applicable,2024 to 2025,None,None,None,'About 10%' claimed,Not applicable,Undefined,Also claims USD 1 billion vegetarian market,No survey behind it; rejected,CHY-15; CHY-18,VN-direct,Low,stated
