record_id,driver,indicator,value,unit,year,basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
DDD-001,demography,Population,101.6,million,2025,UN WPP 2024 medium variant via World Bank,DIE-36,VN-direct,Medium,revealed,Peaks at about 110.0 million in 2049 on this series. Same series as the supply study (MDR rows).
DDD-002,demography,Population,104.25,million,2030,UN WPP 2024 medium variant via World Bank,DIE-36,VN-direct,Medium,inferred,Peaks at about 110.0 million in 2049 on this series. Same series as the supply study (MDR rows).
DDD-003,demography,Population,106.53,million,2035,UN WPP 2024 medium variant via World Bank,DIE-36,VN-direct,Medium,inferred,Peaks at about 110.0 million in 2049 on this series. Same series as the supply study (MDR rows).
DDD-004,demography,Population,108.44,million,2040,UN WPP 2024 medium variant via World Bank,DIE-36,VN-direct,Medium,inferred,Peaks at about 110.0 million in 2049 on this series. Same series as the supply study (MDR rows).
DDD-005,demography,Population,109.69,million,2045,UN WPP 2024 medium variant via World Bank,DIE-36,VN-direct,Medium,inferred,Peaks at about 110.0 million in 2049 on this series. Same series as the supply study (MDR rows).
DDD-006,demography,Population,110.01,million,2050,UN WPP 2024 medium variant via World Bank,DIE-36,VN-direct,Medium,inferred,Peaks at about 110.0 million in 2049 on this series. Same series as the supply study (MDR rows).
DDD-007,demography,Share of population aged 65 and over,9.5,%,2025,UN WPP 2024 via World Bank,DIE-36,VN-direct,Medium,revealed,
DDD-008,demography,Share of population aged 65 and over,13.9,%,2035,UN WPP 2024 via World Bank,DIE-36,VN-direct,Medium,inferred,
DDD-009,demography,Share of population aged 65 and over,20.0,%,2050,UN WPP 2024 via World Bank,DIE-36,VN-direct,Medium,inferred,
DDD-010,urbanisation,Urban share of population,24.4,%,2000,"World Bank WDI (UN WUP, national definitions)",DIE-36,VN-direct,Medium,revealed,National definition; may change after the July 2025 administrative reorganisation.
DDD-011,urbanisation,Urban share of population,30.3,%,2010,"World Bank WDI (UN WUP, national definitions)",DIE-36,VN-direct,Medium,revealed,National definition; may change after the July 2025 administrative reorganisation.
DDD-012,urbanisation,Urban share of population,35.6,%,2020,"World Bank WDI (UN WUP, national definitions)",DIE-36,VN-direct,Medium,revealed,National definition; may change after the July 2025 administrative reorganisation.
DDD-013,urbanisation,Urban share of population,38.8,%,2025,"World Bank WDI (UN WUP, national definitions)",DIE-36,VN-direct,Medium,revealed,National definition; may change after the July 2025 administrative reorganisation.
DDD-014,income,"GDP per person, PPP",7275,constant 2021 international USD,2010,World Bank WDI NY.GDP.PCAP.PP.KD,DIE-09,VN-direct,High,revealed,
DDD-015,income,"GDP per person, PPP",9248,constant 2021 international USD,2015,World Bank WDI NY.GDP.PCAP.PP.KD,DIE-09,VN-direct,High,revealed,
DDD-016,income,"GDP per person, PPP",11851,constant 2021 international USD,2020,World Bank WDI NY.GDP.PCAP.PP.KD,DIE-09,VN-direct,High,revealed,
DDD-017,income,"GDP per person, PPP",13535,constant 2021 international USD,2023,World Bank WDI NY.GDP.PCAP.PP.KD,DIE-09,VN-direct,High,revealed,
DDD-018,income,"GDP per person, PPP",15457,constant 2021 international USD,2025,World Bank WDI NY.GDP.PCAP.PP.KD,DIE-09,VN-direct,High,revealed,
DDD-019,income,Share of people in households consuming at least USD 12 per person per day,29.2,%,2010,"World Bank PIP, VHLSS consumption, PPP (PIP default at access, believed 2021 PPP)",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 12 line. A proxy for the consuming middle class; not an official definition.
DDD-020,income,Share of people in households consuming at least USD 20 per person per day,10.7,%,2010,"World Bank PIP, as above",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 20 line.
DDD-021,income,Share of people in households consuming at least USD 12 per person per day,46.7,%,2016,"World Bank PIP, VHLSS consumption, PPP (PIP default at access, believed 2021 PPP)",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 12 line. A proxy for the consuming middle class; not an official definition.
DDD-022,income,Share of people in households consuming at least USD 20 per person per day,17.8,%,2016,"World Bank PIP, as above",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 20 line.
DDD-023,income,Share of people in households consuming at least USD 12 per person per day,59.6,%,2020,"World Bank PIP, VHLSS consumption, PPP (PIP default at access, believed 2021 PPP)",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 12 line. A proxy for the consuming middle class; not an official definition.
DDD-024,income,Share of people in households consuming at least USD 20 per person per day,27.6,%,2020,"World Bank PIP, as above",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 20 line.
DDD-025,income,Share of people in households consuming at least USD 12 per person per day,57.0,%,2022,"World Bank PIP, VHLSS consumption, PPP (PIP default at access, believed 2021 PPP)",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 12 line. A proxy for the consuming middle class; not an official definition.
DDD-026,income,Share of people in households consuming at least USD 20 per person per day,24.6,%,2022,"World Bank PIP, as above",DIE-35,VN-direct,Medium,revealed,Our calculation: 100 minus PIP headcount at a USD 20 line.
DDD-027,income,Mean household consumption per person per day,16.59,USD PPP per day,2022,World Bank PIP,DIE-35,VN-direct,Medium,revealed,Median 13.32.
DDD-028,income,Average income per person per month,5.4,million VND,2024,NSO VHLSS 2024,DIE-06,VN-direct,High,revealed,"+9.1% on 2023; urban 6.9, rural 4.5."
DDD-029,diet,Meat intake,136.4,g per person per day,2020,NIN General Nutrition Survey 2019 to 2020,DIE-01; DIE-02,VN-direct,Medium,revealed,84 g in 2010; urban 155.3 g in 2020; recommendation 50 to 80 g.
DDD-030,diet,Animal share of protein supply,42.3,%,2023,FAOSTAT FBS,DIE-07,VN-direct,High,revealed,"21.1% in 1990 and 28.0% in 2000 (historic series, DIE-08)."
DDD-031,diet,Meat food supply per person,60.5,kg carcass weight per year,2023,FAOSTAT FBS,DIE-07,VN-direct,High,revealed,41.0 kg in 2010 (new series).
DDD-032,diet,"Meat food use per person (pork, poultry, beef, sheep)",49.83,kg retail weight per year,2025,OECD-FAO Outlook 2026 to 2035 baseline,DIE-11,VN-direct,Medium,revealed,
DDD-033,diet,"Meat food use per person (pork, poultry, beef, sheep)",56.84,kg retail weight per year,2030,OECD-FAO Outlook 2026 to 2035 baseline,DIE-11,VN-direct,Medium,inferred,
DDD-034,diet,"Meat food use per person (pork, poultry, beef, sheep)",62.16,kg retail weight per year,2035,OECD-FAO Outlook 2026 to 2035 baseline,DIE-11,VN-direct,Medium,inferred,"Model projection. Our conversion of 2035 to carcass weight (pork /0.78, poultry /0.88, beef /0.70): about 76.6 kg."
DDD-035,diet,Total meat food use (four meats),5.06,million tonnes retail weight,2025,Our multiplication: OECD-FAO per person x UN WPP population,DIE-11; DIE-36,VN-direct,Low,inferred,Derived; +1.56 million tonnes (+31%) from 2025 to 2035.
DDD-036,diet,Total meat food use (four meats),5.93,million tonnes retail weight,2030,Our multiplication: OECD-FAO per person x UN WPP population,DIE-11; DIE-36,VN-direct,Low,inferred,Derived; +1.56 million tonnes (+31%) from 2025 to 2035.
DDD-037,diet,Total meat food use (four meats),6.62,million tonnes retail weight,2035,Our multiplication: OECD-FAO per person x UN WPP population,DIE-11; DIE-36,VN-direct,Low,inferred,Derived; +1.56 million tonnes (+31%) from 2025 to 2035.
DDD-038,diet,Fish food use per person,42.4,kg live weight equivalent per year,2025,OECD-FAO Outlook 2026 to 2035,DIE-11,VN-direct,Medium,revealed,
DDD-039,diet,Fish food use per person,46.79,kg live weight equivalent per year,2035,OECD-FAO Outlook 2026 to 2035,DIE-11,VN-direct,Medium,inferred,
