topic,claim_a,claim_b,position_taken,notes
Price parity in Germany,"Plant-based meat was 45% more expensive per kg than animal meat in 2024 (sales-weighted Circana, GLB-09)","Meat substitutes had reached price parity in German supermarkets (unweighted shelf sample, GLB-15)","Use the sales-weighted premium (+45%) for demand modelling; parity applies to the cheapest private-label items, not to what people actually buy on average","Both can be true: parity at the low end of the shelf, premium in the basket"
Price parity in the Netherlands,"A basket of the cheapest plant-based versions of 12 products was cheaper than the animal basket in most Dutch supermarkets (ProVeg, cited in GLB-10)","Plant-based meat averaged 35% more per kg than animal meat in 2024 (Circana, GLB-10)","Prefer the sales-weighted average for sizing; note that even where cheap parity options exist, volume fell",Same logic as Germany
Sign of plant-based meat own-price elasticity,"US scanner studies find negative, elastic demand: -0.84 to -1.55 (GLB-16) and -1.23 for plant-based beef (GLB-03)",Dutch store-level scanner study finds a positive own-price elasticity of +1.52 (GLB-21),"Use -0.8 to -1.6 as the working range; treat the Dutch positive sign as an artefact of rapid variety and quality growth in 2015 to 2018, as its authors suggest",The Dutch paper is a working paper and its full text was not readable
Is plant-based meat a substitute or complement for meat?,"Substitute for chicken, turkey, fish (GLB-16); plant-based beef patties substitute for beef patties (GLB-20)","Complement for beef and pork (GLB-16); complement for beef, poultry and fish in the Netherlands (GLB-21); cross-price effects small (GLB-24; GLB-26)",No firm sign; assume cross-price effects on meat are small and do not assume one-for-one displacement,Relationship varies by cut and format
US plant-based meat household penetration in 2021,19% of households bought plant-based meat in 2021 (GLB-02),The 2025 release gives a 2021 high of 20% (GLB-01),Quote 19 to 20% for the 2021 peak and use the current release (20% to 11%) for the trend because both ends share one method,Data revisions between GFI releases
US natural-channel share of plant-based meat,14% of natural-channel meat dollar sales in 2021 (GLB-02),About 3% in 2025 (GLB-01),Do not interpret as a collapse; channel definitions probably changed. Not used in headline findings,Logged to stop misuse
Effect of Lidl Germany's price parity,"Vegan sales rose more than 30% in six months after October 2023 parity (company claim, GLB-13; GLB-14)",German plant-based meat market volume rose 6.2% in 2024 and fell 1.7% in 2025 (GLB-09; GLB-08),Price parity by one retailer may mainly shift share between retailers; the national category did not take off,No independent evaluation found
Stated versus revealed demand in Southeast Asia,"76% of interested consumers say they would buy plant-based meat at price parity (GLB-48, stated)","In the Netherlands, widespread private-label parity coincided with falling plant-based meat volumes and a flat protein split (GLB-10; GLB-12; GLB-08, revealed)","Weight revealed evidence; treat stated parity intent as an upper bound for trial, not repeat purchase",Also consistent with the PTC review (GLB-32)
Stated versus revealed demand in China,60.1% of an age and gender matched online sample said they had eaten plant-based meat (GLB-51),Beyond Meat sold under 600 units a month on Tmall and several start-ups closed by 2023 (GLB-50),Stated trial figures from online panels overstate the market; use revealed evidence,Revealed evidence here is journalistic and Low confidence
Blind-taste 'parity' of blended products,"In blind tastings, US consumers favoured a 70% beef and 30% mushroom blend over plant-based alternatives (GLB-30)","When told the ingredients, demand for the blend fell (GLB-30); Dutch hybrid products are too small to move the protein split (GLB-12)",Hybrids can win on taste but should not be sold on a 'less meat' message alone,Relevant to Vietnamese hybrid formats (for example pork and mushroom fillings)
Thai meat substitute premium over processed meat,'Around 40% more' (GLB-53 text),"736 vs 430 THB per kg, which is 71% more (GLB-53 figures)",Report the THB figures and the 71% arithmetic; flag the source's rounding,Internal inconsistency in one source
Vegetarian default effect size,Defaults move vegetarian choice from 2 to 12% to 86 to 89% (GLB-37) and triple plant-based choice (GLB-38),Randomised trials with at least one day of follow-up show a pooled effect of SMD 0.07 across all meat-reduction interventions (GLB-39),"Defaults reliably change the meal served; lasting net reduction in meat eaten is not shown. Size institutional channels by meals served, not by diet change","Garnett (GLB-35) found no rebound at other cafeteria mealtimes, which supports some real reduction"
Long-range market forecasts,"Alternative proteins 10% of meat by 2025 (GLB-45), USD 140 billion by 2029 (GLB-44), USD 162 billion plant-based by 2030 (GLB-43), 11% of protein by 2035 (GLB-42)","Global plant-based meat and seafood retail USD 6.6 billion in 2025, about 0.5% of meat value (GLB-05)",Do not use these forecasts as base cases; label Part VI scenarios as exploratory and anchor them on observed ceilings,See data_forecast_track_record.csv
