series,measure,basis,years,n_years,mean_monthly_cv,pre_vu_lan_index,years_pre_vu_lan_above_1,pre_tet_index,years_pre_tet_above_1,vu_lan_month_index,tet_month_index,source_ids,evidence_label,confidence,demand_evidence_type,notes
"China exports to Viet Nam, HS 2106.10",net weight,"China-reported, FOB",2019 to 2024,6,0.52,1.33,5 of 6,1.17,2 of 5,1.03,0.38,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to World, HS 2106.10",net weight,"China-reported, FOB",2019 to 2024,6,0.16,1.04,4 of 6,1.01,4 of 5,1.02,0.81,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Thailand, HS 2106.10",net weight,"China-reported, FOB",2019 to 2024,6,0.38,1.02,1 of 6,1.19,2 of 5,0.91,0.86,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Viet Nam, HS 1109",net weight,"China-reported, FOB",2019 to 2024,6,0.35,1.2,5 of 6,0.89,2 of 5,0.96,0.53,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to World, HS 1109",net weight,"China-reported, FOB",2019 to 2024,6,0.28,1.18,6 of 6,0.95,2 of 5,1.02,0.77,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Thailand, HS 1109",net weight,"China-reported, FOB",2019 to 2024,6,0.32,1.12,4 of 6,1.12,3 of 5,1.16,0.78,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Viet Nam, HS 3504",net weight,"China-reported, FOB",2019 to 2024,6,0.45,0.79,1 of 6,1.18,3 of 5,0.98,0.63,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Thailand, HS 3504",net weight,"China-reported, FOB",2019 to 2024,6,0.29,0.91,2 of 6,1.11,3 of 5,0.97,0.91,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Viet Nam, HS 2309.90 (feed control)",net weight,"China-reported, FOB",2019 to 2024,6,0.2,0.97,3 of 6,1.01,4 of 5,0.98,0.69,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to World, HS 2309.90 (feed control)",net weight,"China-reported, FOB",2019 to 2024,6,0.15,0.94,1 of 6,1.04,3 of 5,0.88,0.88,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Thailand, HS 2309.90 (feed control)",net weight,"China-reported, FOB",2019 to 2024,6,0.26,0.83,0 of 6,1.12,5 of 5,0.85,0.83,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Viet Nam, HS 3504",FOB value,"China-reported, FOB",2019 to 2024,6,0.36,0.84,2 of 6,1.09,3 of 5,0.98,0.69,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to World, HS 3504",FOB value,"China-reported, FOB",2019 to 2024,6,0.12,1.03,4 of 6,0.98,2 of 5,1.02,0.9,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Viet Nam, HS 2106.10",FOB value,"China-reported, FOB",2019 to 2024,6,0.4,1.22,5 of 6,1.19,3 of 5,1.04,0.47,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to World, HS 2106.10",FOB value,"China-reported, FOB",2019 to 2024,6,0.15,1.01,3 of 6,1.01,2 of 5,1.04,0.85,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to Viet Nam, HS 1109",FOB value,"China-reported, FOB",2019 to 2024,6,0.37,1.2,5 of 6,0.87,2 of 5,0.93,0.55,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"China exports to World, HS 1109",FOB value,"China-reported, FOB",2019 to 2024,6,0.3,1.18,6 of 6,0.96,2 of 5,1.01,0.79,BRD-05; BRD-07,VN-adjacent,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"Viet Nam share of China exports, HS 3504",share of FOB value,"China-reported, ratio",2019 to 2024,6,0.35,0.81,1 of 6,1.12,4 of 5,0.96,0.77,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"Viet Nam share of China exports, HS 2106.10",share of net weight,"China-reported, ratio",2019 to 2024,6,0.52,1.26,5 of 6,1.2,2 of 5,1.02,0.5,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"Viet Nam share of China exports, HS 1109",share of net weight,"China-reported, ratio",2019 to 2024,6,0.45,0.98,2 of 6,0.97,3 of 5,0.93,0.77,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
"Viet Nam share of China exports, HS 2309.90 (feed control)",share of net weight,"China-reported, ratio",2019 to 2024,6,0.17,1.02,3 of 6,0.98,3 of 5,1.1,0.8,BRD-05; BRD-07,VN-direct,Medium,revealed,"Pre-event index = mean of the two months before the Gregorian month holding lunar 1/1 (Tet) or lunar 7/15 (Vu Lan). CV = standard deviation of monthly values over their mean, averaged over years (our calculation)."
