record_id,school_en,date,protein_dishes_vi,protein_codes,tofu_day,energy_kcal,protein_pct_energy,animal_protein_pct_of_protein,software_animal_share_standard_pct,meets_animal_share_standard,protein_g_per_lunch,animal_protein_g,non_animal_protein_g,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-N01,Nguyen Trai Primary (Hanoi),2026-03-16,Thịt lợn kho tàu + trứng gà kho,pork+egg,no,669.4,21.2,72.0,48 or more,yes,35.5,25.5,9.9,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N02,Nguyen Trai Primary (Hanoi),2026-03-17,Gà phi lê xá xíu + đậu phụ sốt thịt,chicken+tofu,yes,692.6,21.1,47.9,48 or more,no,36.5,17.5,19.0,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N03,Nguyen Trai Primary (Hanoi),2026-03-18,Cá basa chiên giòn + giò lụa rim,fish+pork_proc,no,772.7,11.0,27.4,48 or more,no,21.2,5.8,15.4,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N04,Nguyen Trai Primary (Hanoi),2026-03-19,Thịt lợn viên sốt cà chua + trứng gà tráng,pork_proc+egg,no,748.8,16.7,70.1,48 or more,yes,31.3,21.9,9.3,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N05,Nguyen Trai Primary (Hanoi),2026-03-20,Bò kho + đậu sốt cà chua,beef+tofu,yes,732.0,15.4,32.6,48 or more,no,28.2,9.2,19.0,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N06,Nguyen Trai Primary (Hanoi),2026-03-23,Thịt lợn rán ngũ vị + trứng đảo bông,pork+egg,no,684.7,20.8,71.7,48 or more,yes,35.6,25.5,10.1,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N07,Nguyen Trai Primary (Hanoi),2026-03-24,Bò hầm vang + đậu rán sốt cà chua,beef+tofu,yes,736.4,15.2,32.9,48 or more,no,28.0,9.2,18.8,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N08,Nguyen Trai Primary (Hanoi),2026-03-25,Thịt lợn sốt chua ngọt + trứng rán,pork+egg,no,654.5,21.9,71.2,48 or more,yes,35.8,25.5,10.3,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N09,Nguyen Trai Primary (Hanoi),2026-03-26,"Cá, thịt lợn viên chiên + chả nạc rim",fish+pork_proc,no,792.7,12.3,35.9,48 or more,no,24.4,8.8,15.6,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N10,Nguyen Trai Primary (Hanoi),2026-03-27,Thịt gà tẩm vừng rán + đậu phụ sốt Tứ Xuyên,chicken+tofu,yes,765.4,19.0,50.8,48 or more,yes,36.4,18.5,17.9,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
