record_id,food,method,diaas_older_child_adult,diaas_young_child_6_to_36_months,pdcaas,limiting_amino_acid,diaas_used_low_older_child,diaas_used_high_older_child,source_ids,evidence_label,confidence,demand_evidence_type,notes
NQR-PQ01,"Pork cuts, hams and sausages (9 products)","growing pig, ileal (in vivo)",113 to 137,101 to 127 (chorizo 99),,none above 100; sulphur amino acids in chorizo (young-child pattern),100,100,NQR-07,general,High,,Capped at 100 for cost adjustment. Ground pork values of 111 to 119 are cited in the same paper (pattern not stated in the citing sentence).
NQR-PQ02,Beef products,growing pig (cited) and in vitro,"99 to 130 (pig, cited); 135 (in vitro)",,,,100,100,NQR-07; NQR-09,general,Medium,,Range quoted in NQR-07 discussion; 135 from INFOGEST in vitro (NQR-09).
NQR-PQ03,Chicken meat,in vitro (INFOGEST),123,,,none,100,100,NQR-09,general,Medium,,No in vivo chicken value retrieved.
NQR-PQ04,"Hen eggs, fried, boiled or scrambled","growing pig, ileal (in vivo)",above 100 (excellent),above 100 (excellent),,none,100,100,NQR-08,general,High,,Exact values not retrieved; cooking method did not change DIAAS; DIAAS of single foods was additive in mixed meals.
NQR-PQ05,Cow milk and dairy,growing pig and in vitro,"123 to 142 (dairy, cited); 131 (skim milk powder, pig); 123 (skim milk powder); 143 (UHT milk, in vitro)","112 (skim milk powder, pig); 105 (skim milk powder)",,none,100,100,NQR-07; NQR-06; NQR-11; NQR-09,general,High,,
NQR-PQ06,Soy milk,review of in vivo data; in vitro,99 (in vitro),90.7 (one dataset); 85 (in vitro),,"valine (in vitro, older pattern)",91,99,NQR-05; NQR-09,general,Medium,,"Low value is the young-child-pattern figure, used as a conservative floor."
NQR-PQ07,Tofu,review of in vivo data (2 datasets); in vitro,98 (in vitro),"63.7 plus or minus 11.7 (in vivo, n=2); 84 (in vitro)",78.9 (n=3),sulphur amino acids,64,98,NQR-05; NQR-09,general,Low,,Sources disagree (see disagreements.csv). Coagulation may raise endogenous losses and lower tofu digestibility (NQR-05).
NQR-PQ08,Soy protein isolate,growing pig,87 (pig); 98,74 (pig); 84; review mean 82.4,"96.5 (review, not post-processed)",sulphur amino acids,,,NQR-06; NQR-11; NQR-05; NQR-15,general,High,,"In pigs, PDCAAS-like values were greater than DIAAS for soy isolate, soy flour, pea and wheat on the young-child pattern (NQR-15), so PDCAAS flatters plant proteins."
NQR-PQ09,Soy protein concentrate; defatted soy flour,review of in vivo data,,87.7 (concentrate); 77.2 (flour),103.4 (concentrate); 81.3 (flour),"sulphur amino acids, then lysine",,,NQR-05,general,Medium,,
NQR-PQ10,Extruded or textured soy,review of in vivo data,,"65 to 97 (extruded soybean, two studies)","65 (textured soy protein, one study)",sulphur amino acids,65,97,NQR-05,general,Low,,No DIAAS for a commercial textured vegetable protein as eaten in a dish was found. Range used for textured soy in the cost table.
NQR-PQ11,Soy-based meat analogue (Swiss product),in vitro (INFOGEST),110,,,none,100,100,NQR-09,general,Medium,,Processed soy analogue scored higher than tofu or soy drink in the same study.
NQR-PQ12,Plant-based sausages: soy; wheat (seitan type); wheat and soy,in vitro (tiny-TIM),86 (soy); 33 (wheat); 41 (wheat and soy); pork sausage 116,,,sulphur amino acids (soy); lysine (wheat),33,86,NQR-10,general,Medium,,Reference pattern not stated in the abstract. Wheat value used as the gluten proxy.
NQR-PQ13,"Plant-based burgers (Impossible, Beyond) against beef",growing pig,Impossible similar to 80% lean beef; both below 93% lean beef,below 93% lean beef,,,,,NQR-12; NQR-13,general,Low,,Values not retrieved: the paper is paywalled and PubMed returned a captcha; statement taken from a citing paper (NQR-13).
NQR-PQ14,Wheat (raw grain); wheat gluten proxy,growing pig,54; 66,45; 56,,lysine,33,66,NQR-11; NQR-06; NQR-10,general,Medium,,Gluten is lower in lysine than whole wheat; we found no pig DIAAS for vital wheat gluten.
NQR-PQ15,"Mung bean, cooked",growing pig; human child ileal digestibility,86,68,,leucine (older); lysine (young),69,86,SCI-41; SCI-42,general,High,,"Low value is our calculation: 86 x 0.8, because human digestibility in children was about 20% below the pig value (DG-110)."
NQR-PQ16,White rice,growing pig,60,"50; 37 (polished, cooked)",,lysine,60,60,NQR-06; NQR-11,general,High,,Human child ileal digestibility of rice 78.5% (SCI-42).
NQR-PQ17,Mycoprotein (Fusarium venenatum),human ileostomy data (cited),,,0.996,,,,NQR-14,general,Medium,,Secondary citation; no DIAAS found. No mycoprotein is made or sold in Vietnam (supply chapters).
NQR-PQ18,"Minced pork with 20%, 25% or 30% of its protein from textured soy",our calculation (additive lower bound),97.2 to 101.8 (textured soy at 65); 106.8 to 108.2 (at 97),"90.2 to 93.8 (textured soy at 65, pork at 101)",,,97,108,NQR-07; NQR-08; NQR-05,general,Medium,,"Lower bound = protein-weighted average of component DIAAS (pork 111 older, 101 young); true value is higher because soy lysine and pork sulphur amino acids complement. DIAAS additivity shown in pigs (NQR-08)."
NQR-PQ19,School lunch: 110 g raw rice plus protein dish,our calculation (additive lower bound),rice plus 90 g pork: at least 93.8; rice plus 80 g tofu: 62 to 79; rice plus 40 g dry textured soy: 63.5 to 85.6,,,lysine (rice),,,NQR-06; NQR-07; NQR-05; NQR-09; PMR-24,VN-adjacent,Low,inferred,"Lower bounds only. Even at the bound, rice plus tofu gives 10.8 to 13.8 g of DIAAS-adjusted protein."
