actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
APR-A01,"Ministry of Health (MOH), incl. Department of Disease Prevention and Vietnam Food Administration",policy,national ministry,Viet Nam,Nutrition Strategy targets (stunting below 15% by 2030; overweight caps; salt below 7 g a day); school-meal nutrition guidance; shift-meal and disease-prevention nutrition guidance; front-of-pack labelling; lead drafter of the Food Safety Law revision.,"School meals: animal protein 'ít nhất 4 - 5 ngày trong tuần, xen kẽ đạm có nguồn gốc thực vật (đậu các loại, đậu phụ) ít nhất 2 lần mỗi tuần' (animal protein at least 4 to 5 days a week, alternating with plant protein, legumes and tofu, at least twice a week).",Viet Nam only,"High. Sets the rules that decide whether plant or blended protein can enter school and shift meals and how products are labelled. Has already written a plant-protein slot into school guidance (Dec 2025) and adult guidance (Jul 2026). Needs cost, protein-quality and micronutrient evidence on specific products, not consumer attitudes.",APR-01; APR-04; APR-16; APR-17; APR-07; APR-08,VN-direct,High,"No MOH document we read names alternative, novel or plant-based protein products; guidance names legumes and tofu only. Food Safety Law vote now May 2027."
APR-A02,"National Institute of Nutrition (NIN, Vien Dinh duong)",research,public research institute (MOH),Viet Nam,"Recommended nutrient intakes (Decision 116/QD-VDD, 12 Feb 2026); Ten tips to 2030; food composition tables; school-meal guidance and menu tools; national nutrition surveys; SHiFT and BDN strategic partner; industry MoUs for research and communication.","Ten tips, tip 3: 'nên ăn cá, thịt gia cầm và các loại hạt trong bữa ăn hằng ngày; ăn có mức độ các loại thịt đỏ' (eat fish, poultry and nuts, seeds and legumes daily; eat red meat in moderation).",Viet Nam only,"High. The technical gatekeeper for any nutrition claim, menu inclusion or food composition entry. Would need protein quality (DIAAS), iron and zinc bioavailability and composition data for Vietnamese dishes before endorsing a plant or blended product for children.",APR-17; APR-16; APR-04; APR-23; APR-24; APR-42; APR-18,VN-direct,High,"Still cites 2020 survey figures in September 2026; we found no newer national survey results. Signs MoUs with firms (for example a supplement distributor, Sep 2026), a model an alternative-protein firm could use."
APR-A03,"Ministry of Education and Training (MOET), with its school-meal partners",policy,national ministry,Viet Nam,School Health Programme 2026 to 2035 (Decision 973/QD-TTg); unified national school nutrition menu; rules on ban tru meal organisation; food safety after the 2026 pork case; boarding and border-school lunches.,Plans to 'xây dựng thực đơn dinh dưỡng thống nhất trên toàn quốc' (build a unified national nutrition menu).,Viet Nam only; priority to remote and ethnic minority areas,"High. The buyer-side rule maker for about 15.5 million primary and lower secondary pupils (Part VI figure). A unified menu and ban tru rules would fix formats, frequencies and cost norms for school protein. Ajinomoto's menu software (4,262 schools by 2023, company claim) is a practical gate for new ingredients.",APR-12; APR-13; APR-06; APR-09; APR-41; APR-45,VN-direct,Medium,"Decision 973 text itself not read (news report). Ajinomoto School Meal Project recorded here as a MOET partner, not as a separate actor."
APR-A04,Ministry of Agriculture and Environment (MAE),policy,national ministry,Viet Nam,"Lead of the National Action Plan on Food Systems Transformation (Decision 300); FST Partnership (47 partners, Oct 2024) and International Support Group; provincial FST pilots; livestock strategy (58 to 62 kg meat per person by 2030); methane cap; food safety of primary products.","Decision 300 task 5(a): 'Xây dựng và theo dõi bảng cân đối thực phẩm cấp quốc gia, cấp vùng, cấp tỉnh' (build and monitor food balance sheets at national, regional and provincial level).",Viet Nam; Mekong Delta and northern uplands pilots,"Medium. MAE's stated goals are supply-side (more meat, lower emissions per unit, exports). It would use demand evidence to size the food balance sheets and to judge whether protein diversification belongs in the NAP-FST M&E. Its livestock targets pull against MOH's advice to moderate red meat.",APR-02; APR-03; APR-10; APR-25; APR-23; APR-30,VN-direct,High,"Decision 300 contains no protein, meat or plant-protein target in the parts read."
APR-A05,"Politburo, National Assembly and Government (cross-cutting resolutions, laws and fiscal decisions)",policy,legislature and party-state centre,Viet Nam,"Resolution 72 (health, 9 Sep 2025); Resolution 71 (education, 22 Aug 2025) requiring legal rules on school nutrition; Law on Disease Prevention 114/2025/QH15 (in force 1 Jul 2026); Food Safety Law revision (first reading Oct 2026, vote May 2027); excise on sugary drinks from 2027 (Law 66/2025/QH15); border-commune lunch support (Decree 339/2025).","Resolution 72: nutrition must ensure 'cân đối về khẩu phần, thành phần dinh dưỡng, chất lượng bữa ăn, phù hợp với thể trạng, văn hóa và điều kiện kinh tế của người Việt Nam' (balanced rations and meal quality suited to Vietnamese physique, culture and economic conditions).",Viet Nam only,"High for timing and scope: these instruments set the windows (Food Safety Law, school-nutrition rule, excise) in which demand evidence can be used. None names protein sources.",APR-05; APR-06; APR-14; APR-15; APR-07; APR-19; APR-20; APR-22; APR-09,VN-direct,High,"Ministry of Finance's role (excise, lunch budgets) is recorded under this row."
APR-A06,Ministry of Industry and Trade (MOIT),policy,national ministry,Viet Nam,"Under the Nutrition Strategy: research, production, branding, trade promotion and market development for fortified and 'healthy' foods; food safety for its product groups until the new law; trade promotion.","Decision 02 assigns MOIT to promote 'phát triển thị trường sản phẩm thực phẩm tăng cường bổ sung vi chất dinh dưỡng, thực phẩm lành mạnh' (market development for fortified and healthy foods).",Viet Nam,"Low to Medium. Could treat protein-dense plant foods as 'healthy foods' for trade promotion, but no instrument or criteria were found. Dairy strategy (Decision 309) pushes 'school meals with fresh milk', a competing protein.",APR-01; APR-11,VN-direct,Medium,Lead ministry of Decision 309 not verified.
APR-A07,Ministry of Science and Technology (MOST),policy,national ministry,Viet Nam,Under the Nutrition Strategy: fund S&T tasks on nutrition and food suited to Vietnamese; national standards and labelling rules for foods and fortified products. Biotechnology and strategic-technology programmes (covered in Parts I to V).,"Decision 02: MOST to 'tăng cường bố trí kinh phí, ngân sách thực hiện các nhiệm vụ khoa học và công nghệ về dinh dưỡng, thực phẩm' (increase funding for S&T tasks on nutrition and food).",Viet Nam,Low. We found no demand-side interest stated by MOST beyond standards and funding S&T on nutrition and food. Its demand question is whether a funded project has a named adopter.,APR-01,VN-direct,Medium,Web search budget ran out before MOST's 2026 programme documents could be checked.
APR-A08,"Provincial People's Committees and city departments (Hanoi, Ho Chi Minh City, Dong Thap, Son La, border provinces)",policy,sub-national government,Viet Nam,"Fund and supervise school meals and school health plans; set meal ceilings; run food-safety departments; pilot provincial FST plans (Dong Thap, Son La); deliver border-commune lunch support.","HCMC Food Safety Department (Sep 2026): not to let ban tru meals be interrupted for long, while tightening kitchen and supplier controls.",Viet Nam; stunting hotspots in northern uplands,"High for public-meal volume. Provinces buy and regulate the meals. They would need cost per meal, supplier documents and food-safety assurance for any new protein, and evidence that it improves protein or micronutrients per VND.",APR-09; APR-23; APR-45; APR-04,VN-direct,Medium,"Hanoi subsidy and ceilings already in Part VI (CHN-28, CHN-29)."
APR-A09,"Vietnamese food-systems research partners of the NAP-FST: VAAS, IPSARD (now ISPAE) and Can Tho University",research,public research bodies and university,Viet Nam,"SHiFT and BDN strategic partners (VAAS, IPSARD); FST training of trainers (Can Tho University); food-environment policy analysis (IPSARD co-authored Food-EPI); soil and crop databases (VAAS).",SHiFT: Can Tho University staff 'have taken a strong interest in leading the rollout of the ToT program'.,Viet Nam,Medium. They shape the evidence base used by MAE and provinces for the NAP-FST. A protein-diversification indicator or legume value-chain study would need them. No stated interest in alternative protein found.,APR-23; APR-24; APR-26; APR-25,VN-direct,Medium,HUST food technology not examined in this group (no primary page retrieved).
APR-A10,"CGIAR in Viet Nam: Alliance of Bioversity International and CIAT, IFPRI, ILRI (Better Diets and Nutrition; Sustainable Animal and Aquatic Foods; One Health)",research,international research centres,Viet Nam; Southeast Asia,"Sustainable healthy diets through food systems transformation; food-environment policy (Food-EPI); provincial FST plans and M&E; food safety in pork chains (ILRI, FSTWG priorities 2026 to 2030).",Food-EPI: '74% of indicators scored low or very low'; school food policies exist 'but most measures remain non-mandatory'.,Viet Nam is one of three BDN target countries,Medium to High. Produces the diet and food-environment evidence Vietnamese ministries cite. Would want tested evidence on how public-meal standards and food environments shift protein choices. CIAT staff have published on the political economy of the protein transition (cited in Food-EPI).,APR-23; APR-24; APR-26; APR-30,VN-direct,High,No CGIAR Viet Nam activity on alternative protein found.
