source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
LBL-01,"Ministry of Health. Thông tư 29/2023/TT-BYT hướng dẫn nội dung, cách ghi thành phần dinh dưỡng, giá trị dinh dưỡng trên nhãn thực phẩm, 30 Dec 2023. Text on Thư Viện Pháp Luật.",Thông tư 29/2023/TT-BYT,Ministry of Health (signed by Deputy Minister Do Xuan Tuyen),2023-12-30,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Thong-tu-29-2023-TT-BYT-ghi-thanh-phan-dinh-duong-tren-nhan-thuc-pham-509492.aspx,,gov/statistics,2026-09-25,"Read via fetch tool (extracts). In force 15 Feb 2024; Art 5 five mandatory nutrients incl. chất đạm; Art 6 per 100 g, 100 ml or serving; % of reference value optional; Appendix II protein reference 50 g; Art 8 comply by 31 Dec 2025, from 1 Jan 2026 no non-compliant labels; Art 9 stock may be sold to expiry. No claim provisions. The page shows it replaced by Circular 30/2026/TT-BYT."
LBL-02,"Ministry of Health. Thông tư 30/2026/TT-BYT hướng dẫn nội dung, cách ghi thành phần dinh dưỡng, giá trị dinh dưỡng trên nhãn thực phẩm, 9 Jul 2026, in force 10 Jul 2026. Text on Thư Viện Pháp Luật.",Thông tư 30/2026/TT-BYT,Ministry of Health (signed by Deputy Minister Do Xuan Tuyen),2026-07-09,https://thuvienphapluat.vn/van-ban/Thuong-mai/Thong-tu-30-2026-TT-BYT-huong-dan-noi-dung-cach-ghi-thanh-phan-dinh-duong-tren-nhan-thuc-pham-713960.aspx,,gov/statistics,2026-09-25,"Read via fetch tool (extracts). Replaces Circular 29/2023. Art 1(2) exemptions incl. point m: food made by small food businesses (Decree 15/2018 Art 3(10)); Art 5 energy, protein, carbohydrate, fat, sodium; Art 6(1) per 100 g, 100 ml or serving; Art 6(2) % reference value optional; Art 6(4) tolerances per Art 49(1) of Decree 37/2026; Appendix II protein 50 g. No claim or front-of-pack provisions found."
LBL-03,Ministry of Science and Technology. Tiêu chuẩn quốc gia TCVN 14429:2025 Hướng dẫn sử dụng công bố dinh dưỡng và công bố khuyến cáo về sức khỏe. Page on Thư Viện Pháp Luật.,TCVN 14429:2025 Hướng dẫn sử dụng công bố dinh dưỡng và công bố khuyến cáo về sức khỏe,"MOST; drafted by TCVN/TC/F6, proposed by the Vietnam Standards and Quality Institute",2025,https://thuvienphapluat.vn/TCVN/Linh-vuc-khac/TCVN-14429-2025-Huong-dan-su-dung-cong-bo-dinh-duong-cong-bo-khuyen-cao-su-khoe-921813.aspx,,gov/statistics,2026-09-25,Read via fetch tool (two extracts). Built on CAC/GL 23-1997 rev 2013. Table 1 protein: source (nguồn cung cấp) 10% NRV per 100 g (solids) or 5% NRV per 100 kcal or 10% NRV per serving; high (cao) twice source. Comparative claims need a 25% relative difference. Health claims must be accepted or approved by the national competent authority. Claims require nutrition labelling. No per 100 ml protein condition and no synonym list seen in the extracts. Voluntary national standard; issuing decision number not seen.
LBL-04,Ministry of Science and Technology. Tiêu chuẩn quốc gia TCVN 7088:2025 Hướng dẫn ghi nhãn dinh dưỡng. Page on Thư Viện Pháp Luật.,TCVN 7088:2025 Hướng dẫn ghi nhãn dinh dưỡng,MOST,2025,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-7088-2025-Huong-dan-ghi-nhan-dinh-duong-921812.aspx,,gov/statistics,2026-09-25,Read via fetch tool. Based on CXG 2-1985 rev 2021; replaces TCVN 7088:2015; NRV-R protein 50 g (general population over 36 months); refers to TCVN 14429:2025 for claims.
LBL-05,"Ministry of Health. Thông tư 43/2014/TT-BYT quy định về quản lý thực phẩm chức năng, in force 24 Nov 2014. Text on Thư Viện Pháp Luật.",Thông tư 43/2014/TT-BYT,Ministry of Health,2014-11-24,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Thong-tu-43-2014-TT-BYT-quan-ly-thuc-pham-chuc-nang-258938.aspx,,gov/statistics,2026-09-25,"Read via fetch tool. Art 8(1): claims for added vitamins, minerals, amino acids, fatty acids, enzymes, probiotics, prebiotics only at 10% RNI or more, per serving or per 100 g; Codex applies where no Vietnamese RNI. Art 8(2): health claims need 10% RNI and specific scientific evidence. Protein is not named. Listed as in force; its registration article is overtaken by Decree 15/2018 (package REG-02)."
LBL-06,"Government. Nghị định 43/2017/NĐ-CP về nhãn hàng hóa, 14 Apr 2017, in force 1 Jun 2017. Text on Thư Viện Pháp Luật.",Nghị định 43/2017/NĐ-CP về nhãn hàng hóa,Government of Viet Nam,2017-04-14,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-43-2017-ND-CP-nhan-hang-hoa-346310.aspx,,gov/statistics,2026-09-25,"Read via fetch tool. Art 9 labels truthful, clear, accurate, reflecting the true nature of goods; Art 11 name must not mislead about nature, use or composition; Art 13(4) an ingredient named in the product name must be quantified; Art 18(1) extra content truthful. Replaced by Decree 37/2026 per LBL-08; wording carried over per LBL-09."
LBL-07,"Government. Nghị định 37/2026/NĐ-CP hướng dẫn Luật Chất lượng sản phẩm, hàng hóa, 23 Jan 2026, in force on issue. Text on Thư Viện Pháp Luật.",Nghị định 37/2026/NĐ-CP,Government of Viet Nam,2026-01-23,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-37-2026-ND-CP-bien-phap-to-chuc-Luat-Chat-luong-san-pham-hang-hoa-691138.aspx,,gov/statistics,2026-09-25,"Read only to Art 32 (page truncated in the fetch tool). Chapter III section 3 covers digital product passports and electronic labels; the label chapter (IV), Art 49 nutrient tolerances and Art 98 transition were not visible. Low to Medium on label content."
LBL-08,"Customs of Viet Nam. Công văn 11816/CHQ-GSQL hướng dẫn các quy định mới liên quan đến ghi nhãn hàng hóa theo Nghị định 37/2026/NĐ-CP, 12 Feb 2026.",Công văn 11816/CHQ-GSQL năm 2026,Customs of Viet Nam (Customs Supervision Department),2026-02-12,https://thuvienphapluat.vn/cong-van/Thuong-mai/Cong-van-11816-CHQ-GSQL-2026-huong-dan-cac-quy-dinh-moi-theo-Nghi-dinh-37-2026-ND-CP-695292.aspx,,gov/statistics,2026-09-25,"Read via fetch tool. States that Decree 37/2026 (in force from issue, 23 Jan 2026) replaces Decree 43/2017 on goods labels and amending Decree 111/2021; cites Art 37(4), 42(2), 47, chapter IV section 3 (electronic labels) and Art 98 (transition)."
LBL-09,"Thư Viện Pháp Luật exact-phrase searches, run 25 Sep 2026, for ""bắt buộc phải ghi định lượng"", ""được sử dụng làm tên hay một phần của tên hàng hóa"", ""không được làm hiểu sai lệch về bản chất"" and ""biến đổi gen bên cạnh tên"".",Search results (four exact-phrase queries),Thư Viện Pháp Luật,2026-09-25,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=%22%C4%91%C6%B0%E1%BB%A3c%20s%E1%BB%AD%20d%E1%BB%A5ng%20l%C3%A0m%20t%C3%AAn%20hay%20m%E1%BB%99t%20ph%E1%BA%A7n%20c%E1%BB%A7a%20t%C3%AAn%20h%C3%A0ng%20h%C3%B3a%22&match=True&area=0,,database,2026-09-25,"Decree 37/2026 is returned by all four phrase searches (no snippet shown), so the quantitative-ingredient trigger, the misleading-name rule and the GM label wording appear in its text. Index evidence, not a read of the articles: Medium."
LBL-10,"Ministry of Agriculture and Rural Development and Ministry of Science and Technology. Thông tư liên tịch 45/2015/TTLT-BNNPTNT-BKHCN hướng dẫn ghi nhãn đối với thực phẩm biến đổi gen bao gói sẵn, 23 Nov 2015, in force 8 Jan 2016.",Thông tư liên tịch 45/2015/TTLT-BNNPTNT-BKHCN,MARD (now MAE) and MOST,2015-11-23,https://thuvienphapluat.vn/van-ban/Thuong-mai/Thong-tu-lien-tich-45-2015-TTLT-BNNPTNT-BKHCN-ghi-nhan-thuc-pham-bien-doi-gen-bao-goi-san-297390.aspx,,gov/statistics,2026-09-25,"Read via fetch tool. Art 1(1) applies when at least one GM ingredient is more than 5% of total ingredients; Art 1(2)(a) excludes GM food in which neither the modified gene nor its product can be detected; (b) fresh and unpackaged GM food; (c) emergencies. Art 4 wording ""biến đổi gen"" beside the ingredient name. Listed as in force."
LBL-11,Ministry of Science and Technology. Tiêu chuẩn quốc gia TCVN 7049:2020 Thịt chế biến đã qua xử lý nhiệt. Page on Thư Viện Pháp Luật.,TCVN 7049:2020 Thịt chế biến đã qua xử lý nhiệt,MOST,2020,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-7049-2020-Thit-che-bien-da-qua-xu-ly-nhiet-919247.aspx,,gov/statistics,2026-09-25,"Read via fetch tool (two extracts). Covers heat-treated processed meat (core above 70 C), excludes canned meat; main materials chilled or frozen meat; optional materials listed as seasonings; no minimum meat or protein content; physico-chemical limits only ammonia and peroxide; labelling per current rules. Replaces TCVN 7049:2002."
LBL-12,Ministry of Science and Technology. Tiêu chuẩn quốc gia TCVN 7048:2020 Thịt hộp. Page on Thư Viện Pháp Luật.,TCVN 7048:2020 Thịt hộp,MOST,2020,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-7048-2020-Thit-hop-919248.aspx,,gov/statistics,2026-09-25,Read via fetch tool. No minimum meat content; the maker self-declares the meat share by weight (4.2.2); labelling per current rules.
LBL-13,Ministry of Science and Technology. Tiêu chuẩn quốc gia TCVN 7050:2020 Thịt chế biến không qua xử lý nhiệt. Page on Thư Viện Pháp Luật.,TCVN 7050:2020 Thịt chế biến không qua xử lý nhiệt,MOST,2020,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-7050-2020-Thit-che-bien-khong-qua-xu-ly-nhiet-919188.aspx,,gov/statistics,2026-09-25,Read via fetch tool. Ready-to-eat processed meat not heat treated above 70 C; no minimum meat content; plant proteins not mentioned; labelling per current rules.
LBL-14,Ministry of Science and Technology. Tiêu chuẩn quốc gia TCVN 14416:2025 (ISO 23722:2021) Thịt và sản phẩm thịt: Từ vựng. Page on Thư Viện Pháp Luật.,"TCVN 14416:2025 Thịt và sản phẩm thịt, Từ vựng",MOST,2025,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-14416-2025-ISO-23722-2021-Thit-va-san-pham-thit-Tu-vung-921943.aspx,,gov/statistics,2026-09-25,"Read via fetch tool. Identical to ISO 23722:2021; defines meat (3.33) and meat product (3.35); no term for meat analogue, extender or meat content seen in the extract."
